"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_ISI","count_block1","count_block2","count_block3","count_error_feedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_ISI","time_block1","time_block2","time_block3","time_error_feedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","972","972","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Sep 18 20:00:47 2022","1500","The main experiment item","yes","C:/Users/cici_/Downloads/CS-Subject-1.osexp","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/cici_/Downloads/YB-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","s","NA","NA","s","972","NA","38352","NA","NA","972","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","NA","41060","NA","NA","NA","2699","NA","NA","41118","2707","NA","NA","41220","42192","41116","41219","CS-FlankerTask","1","972","1","yes","1024"
"100","100","1047.5","1047.5","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","1","0","0","0","1","0","1","0","1","0","0","0","1","1","1","1","Sun Sep 18 20:00:47 2022","1500","The main experiment item","yes","C:/Users/cici_/Downloads/CS-Subject-1.osexp","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/cici_/Downloads/YB-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","s","NA","NA","s","1123","NA","38352","NA","NA","1123","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","42212","41060","NA","NA","NA","2699","NA","NA","43272","2707","NA","NA","43373","44496","43269","43373","CS-FlankerTask","2","2095","2","yes","1024"
"100","100","928.3333333333334","928.3333333333334","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","2","0","0","0","2","0","2","0","2","0","0","0","2","2","2","2","Sun Sep 18 20:00:47 2022","1500","The main experiment item","yes","C:/Users/cici_/Downloads/CS-Subject-1.osexp","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/cici_/Downloads/YB-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","s","NA","NA","h","690","NA","38352","NA","NA","690","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","44512","41060","NA","NA","NA","2699","NA","NA","45574","2707","NA","NA","45675","46366","45571","45675","CS-FlankerTask","3","2785","3","yes","1024"
"100","100","863.5","863.5","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","3","0","0","0","3","0","3","0","3","0","0","0","3","3","3","3","Sun Sep 18 20:00:47 2022","1500","The main experiment item","yes","C:/Users/cici_/Downloads/CS-Subject-1.osexp","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/cici_/Downloads/YB-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","s","NA","NA","h","669","NA","38352","NA","NA","669","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","46381","41060","NA","NA","NA","2699","NA","NA","47441","2707","NA","NA","47542","48211","47438","47542","CS-FlankerTask","4","3454","4","yes","1024"
"100","100","814.2","814.2","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","4","0","0","0","4","0","4","0","4","0","0","0","4","4","4","4","Sun Sep 18 20:00:47 2022","1500","The main experiment item","yes","C:/Users/cici_/Downloads/CS-Subject-1.osexp","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/cici_/Downloads/YB-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","s","NA","NA","s","617","NA","38352","NA","NA","617","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","48227","41060","NA","NA","NA","2699","NA","NA","49287","2707","NA","NA","49388","50005","49284","49388","CS-FlankerTask","5","4071","5","yes","1024"
"100","100","820.8333333333334","820.8333333333334","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","5","0","0","0","5","0","5","0","5","0","0","0","5","5","5","5","Sun Sep 18 20:00:47 2022","1500","The main experiment item","yes","C:/Users/cici_/Downloads/CS-Subject-1.osexp","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/cici_/Downloads/YB-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","s","NA","NA","h","854","NA","38352","NA","NA","854","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","50011","41060","NA","NA","NA","2699","NA","NA","51071","2707","NA","NA","51172","52027","51069","51172","CS-FlankerTask","6","4925","6","yes","1024"
"100","100","788.5714285714286","788.5714285714286","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","6","0","0","0","6","0","6","0","6","0","0","0","6","6","6","6","Sun Sep 18 20:00:47 2022","1500","The main experiment item","yes","C:/Users/cici_/Downloads/CS-Subject-1.osexp","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/cici_/Downloads/YB-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","s","NA","NA","s","595","NA","38352","NA","NA","595","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","52032","41060","NA","NA","NA","2699","NA","NA","53091","2707","NA","NA","53192","53788","53089","53192","CS-FlankerTask","7","5520","7","yes","1024"
"100","100","755.375","755.375","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","7","0","0","0","7","0","7","0","7","0","0","0","7","7","7","7","Sun Sep 18 20:00:47 2022","1500","The main experiment item","yes","C:/Users/cici_/Downloads/CS-Subject-1.osexp","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/cici_/Downloads/YB-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","s","NA","NA","h","523","NA","38352","NA","NA","523","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","53803","41060","NA","NA","NA","2699","NA","NA","54862","2707","NA","NA","54963","55486","54860","54963","CS-FlankerTask","8","6043","8","yes","1024"
"100","100","721.6666666666666","721.6666666666666","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","8","0","0","0","8","0","8","0","8","0","0","0","8","8","8","8","Sun Sep 18 20:00:47 2022","1500","The main experiment item","yes","C:/Users/cici_/Downloads/CS-Subject-1.osexp","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/cici_/Downloads/YB-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","s","NA","NA","s","452","NA","38352","NA","NA","452","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","55501","41060","NA","NA","NA","2699","NA","NA","56597","2707","NA","NA","56700","57153","56594","56700","CS-FlankerTask","9","6495","9","yes","1024"
"100","100","713.9","713.9","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","9","0","0","0","9","0","9","0","9","0","0","0","9","9","9","9","Sun Sep 18 20:00:47 2022","1500","The main experiment item","yes","C:/Users/cici_/Downloads/CS-Subject-1.osexp","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/cici_/Downloads/YB-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","s","NA","NA","s","644","NA","38352","NA","NA","644","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","57170","41060","NA","NA","NA","2699","NA","NA","58273","2707","NA","NA","58375","59020","58269","58375","CS-FlankerTask","10","7139","10","yes","1024"
