"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_ISI","count_block1","count_block2","count_block3","count_error_feedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_ISI","time_block1","time_block2","time_block3","time_error_feedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","635","635","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Sep 25 21:08:21 2022","1500","The main experiment item","yes","CS-Subject-1.osexp","C:/Users/cici_/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/cici_/Downloads/F56-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","space","NA","NA","s","635","NA","49960","NA","NA","635","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","NA","53802","NA","NA","NA","3834","NA","NA","53920","3841","NA","NA","54023","54659","53918","54022","CS-FlankerTask","1","635","1","yes","1024"
"100","100","633.5","633.5","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","1","0","0","0","1","0","1","0","1","0","0","0","1","1","1","1","Sun Sep 25 21:08:21 2022","1500","The main experiment item","yes","CS-Subject-1.osexp","C:/Users/cici_/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/cici_/Downloads/F56-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","space","NA","NA","h","632","NA","49960","NA","NA","632","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","54683","53802","NA","NA","NA","3834","NA","NA","55786","3841","NA","NA","55888","56521","55783","55888","CS-FlankerTask","2","1267","2","yes","1024"
"100","100","723.6666666666666","723.6666666666666","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","2","0","0","0","2","0","2","0","2","0","0","0","2","2","2","2","Sun Sep 25 21:08:21 2022","1500","The main experiment item","yes","CS-Subject-1.osexp","C:/Users/cici_/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/cici_/Downloads/F56-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","space","NA","NA","s","904","NA","49960","NA","NA","904","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","56538","53802","NA","NA","NA","3834","NA","NA","57637","3841","NA","NA","57739","58644","57633","57739","CS-FlankerTask","3","2171","3","yes","1024"
"100","100","699.75","699.75","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","3","0","0","0","3","0","3","0","3","0","0","0","3","3","3","3","Sun Sep 25 21:08:21 2022","1500","The main experiment item","yes","CS-Subject-1.osexp","C:/Users/cici_/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/cici_/Downloads/F56-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","space","NA","NA","s","628","NA","49960","NA","NA","628","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","58661","53802","NA","NA","NA","3834","NA","NA","59755","3841","NA","NA","59857","60486","59751","59857","CS-FlankerTask","4","2799","4","yes","1024"
"100","100","667.8","667.8","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","4","0","0","0","4","0","4","0","4","0","0","0","4","4","4","4","Sun Sep 25 21:08:21 2022","1500","The main experiment item","yes","CS-Subject-1.osexp","C:/Users/cici_/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/cici_/Downloads/F56-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","space","NA","NA","s","540","NA","49960","NA","NA","540","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","60492","53802","NA","NA","NA","3834","NA","NA","61594","3841","NA","NA","61696","62236","61590","61696","CS-FlankerTask","5","3339","5","yes","1024"
"100","100","664.5","664.5","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","5","0","0","0","5","0","5","0","5","0","0","0","5","5","5","5","Sun Sep 25 21:08:21 2022","1500","The main experiment item","yes","CS-Subject-1.osexp","C:/Users/cici_/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/cici_/Downloads/F56-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","space","NA","NA","s","648","NA","49960","NA","NA","648","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","62253","53802","NA","NA","NA","3834","NA","NA","63346","3841","NA","NA","63448","64097","63342","63448","CS-FlankerTask","6","3987","6","yes","1024"
"100","100","643.8571428571429","643.8571428571429","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","6","0","0","0","6","0","6","0","6","0","0","0","6","6","6","6","Sun Sep 25 21:08:21 2022","1500","The main experiment item","yes","CS-Subject-1.osexp","C:/Users/cici_/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/cici_/Downloads/F56-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","space","NA","NA","s","520","NA","49960","NA","NA","520","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","64114","53802","NA","NA","NA","3834","NA","NA","65214","3841","NA","NA","65316","65836","65211","65316","CS-FlankerTask","7","4507","7","yes","1024"
"100","100","664.875","664.875","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","7","0","0","0","7","0","7","0","7","0","0","0","7","7","7","7","Sun Sep 25 21:08:21 2022","1500","The main experiment item","yes","CS-Subject-1.osexp","C:/Users/cici_/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/cici_/Downloads/F56-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","space","NA","NA","h","812","NA","49960","NA","NA","812","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","65854","53802","NA","NA","NA","3834","NA","NA","66953","3841","NA","NA","67055","67868","66950","67055","CS-FlankerTask","8","5319","8","yes","1024"
"100","100","651.6666666666666","651.6666666666666","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","8","0","0","0","8","0","8","0","8","0","0","0","8","8","8","8","Sun Sep 25 21:08:21 2022","1500","The main experiment item","yes","CS-Subject-1.osexp","C:/Users/cici_/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/cici_/Downloads/F56-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","space","NA","NA","s","546","NA","49960","NA","NA","546","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","67884","53802","NA","NA","NA","3834","NA","NA","68974","3841","NA","NA","69077","69624","68971","69077","CS-FlankerTask","9","5865","9","yes","1024"
"100","100","643.2","643.2","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","9","0","0","0","9","0","9","0","9","0","0","0","9","9","9","9","Sun Sep 25 21:08:21 2022","1500","The main experiment item","yes","CS-Subject-1.osexp","C:/Users/cici_/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/cici_/Downloads/F56-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","space","NA","NA","s","567","NA","49960","NA","NA","567","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","69641","53802","NA","NA","NA","3834","NA","NA","70772","3841","NA","NA","70874","71442","70768","70874","CS-FlankerTask","10","6432","10","yes","1024"
