"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_Instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_Closing","count_ISI","count_Instructions1","count_Instructions2","count_Instructions3","count_error_feedback","count_experiment","count_faster","count_fixation","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Closing","response_Instructions1","response_Instructions2","response_Instructions3","response_keyboard_response","response_time","response_time_Closing","response_time_Instructions1","response_time_Instructions2","response_time_Instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_Closing","time_ISI","time_Instructions1","time_Instructions2","time_Instructions3","time_error_feedback","time_experiment","time_faster","time_fixation","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","711","711","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Sep 19 12:11:53 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/AV-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","h","NA","NA","s","711","NA","68217","NA","NA","711","2","legacy","1024","2","48000","-16","experiment","HHSHH","0","even","71297","NA","NA","NA","NA","3079","NA","NA","NA","3068","NA","71394","71496","72208","71393","71495","Flanker Task","1","711","1","yes","1024"
"100","100","645","645","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","1","0","0","0","1","0","1","1","1","1","1","1","Sun Sep 19 12:11:53 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/AV-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","h","NA","NA","h","579","NA","68217","NA","NA","579","2","legacy","1024","2","48000","-16","experiment","HHHHH","0","even","71297","NA","NA","NA","72218","3079","NA","NA","NA","3068","NA","73282","73383","73963","73280","73383","Flanker Task","2","1290","2","yes","1024"
"100","100","595.6666666666666","595.6666666666666","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","2","0","0","0","2","0","2","2","2","2","2","2","Sun Sep 19 12:11:53 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/AV-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","h","NA","NA","h","497","NA","68217","NA","NA","497","2","legacy","1024","2","48000","-16","experiment","HHHHH","0","even","71297","NA","NA","NA","73967","3079","NA","NA","NA","3068","NA","75030","75131","75628","75028","75131","Flanker Task","3","1787","3","yes","1024"
"100","100","588","588","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","3","0","0","0","3","0","3","3","3","3","3","3","Sun Sep 19 12:11:53 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/AV-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","h","NA","NA","h","565","NA","68217","NA","NA","565","2","legacy","1024","2","48000","-16","experiment","SSHSS","0","even","71297","NA","NA","NA","75633","3079","NA","NA","NA","3068","NA","76702","76803","77368","76699","76803","Flanker Task","4","2352","4","yes","1024"
"100","100","563.4","563.4","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","4","0","0","0","4","0","4","4","4","4","4","4","Sun Sep 19 12:11:53 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/AV-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","h","NA","NA","s","465","NA","68217","NA","NA","465","2","legacy","1024","2","48000","-16","experiment","HHSHH","0","even","71297","NA","NA","NA","77374","3079","NA","NA","NA","3068","NA","78437","78538","79004","78435","78538","Flanker Task","5","2817","5","yes","1024"
"100","100","562.1666666666666","562.1666666666666","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","5","0","0","0","5","0","5","5","5","5","5","5","Sun Sep 19 12:11:53 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/AV-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","h","NA","NA","h","556","NA","68217","NA","NA","556","2","legacy","1024","2","48000","-16","experiment","SSHSS","0","even","71297","NA","NA","NA","79007","3079","NA","NA","NA","3068","NA","80072","80173","80729","80071","80173","Flanker Task","6","3373","6","yes","1024"
"100","100","548.2857142857143","548.2857142857143","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","6","0","0","0","6","0","6","6","6","6","6","6","Sun Sep 19 12:11:53 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/AV-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","h","NA","NA","s","465","NA","68217","NA","NA","465","2","legacy","1024","2","48000","-16","experiment","SSSSS","0","even","71297","NA","NA","NA","80734","3079","NA","NA","NA","3068","NA","81797","81898","82364","81794","81898","Flanker Task","7","3838","7","yes","1024"
"100","100","550.75","550.75","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","7","0","0","0","7","0","7","7","7","7","7","7","Sun Sep 19 12:11:53 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/AV-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","h","NA","NA","s","568","NA","68217","NA","NA","568","2","legacy","1024","2","48000","-16","experiment","SSSSS","0","even","71297","NA","NA","NA","82370","3079","NA","NA","NA","3068","NA","83435","83536","84104","83433","83536","Flanker Task","8","4406","8","yes","1024"
"100","100","541.4444444444445","541.4444444444445","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","8","0","0","0","8","0","8","8","8","8","8","8","Sun Sep 19 12:11:53 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/AV-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","h","NA","NA","s","467","NA","68217","NA","NA","467","2","legacy","1024","2","48000","-16","experiment","SSSSS","0","even","71297","NA","NA","NA","84108","3079","NA","NA","NA","3068","NA","85171","85272","85740","85169","85272","Flanker Task","9","4873","9","yes","1024"
"100","100","529.3","529.3","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","9","0","0","0","9","0","9","9","9","9","9","9","Sun Sep 19 12:11:53 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/AV-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","h","NA","NA","s","420","NA","68217","NA","NA","420","2","legacy","1024","2","48000","-16","experiment","HHSHH","0","even","71297","NA","NA","NA","85745","3079","NA","NA","NA","3068","NA","86809","86910","87330","86806","86910","Flanker Task","10","5293","10","yes","1024"
"100","100","522.1818181818181","522.1818181818181","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","10","0","0","0","10","0","10","10","10","10","10","10","Sun Sep 19 12:11:53 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/AV-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","h","NA","NA","s","451","NA","68217","NA","NA","451","2","legacy","1024","2","48000","-16","experiment","SSSSS","0","even","71297","NA","NA","NA","87335","3079","NA","NA","NA","3068","NA","88398","88499","88950","88396","88499","Flanker Task","11","5744","11","yes","1024"
