"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_Instructions","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_Finish","count_Fixation","count_ISI","count_Instructions","count_Instructions2","count_Instructions3","count_Sequence","count_Stimulus","count_errorFeedback","count_experiment","count_faster","count_keyboard_response","count_logger","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finish","response_Instructions","response_Instructions2","response_Instructions3","response_keyboard_response","response_time","response_time_Finish","response_time_Instructions","response_time_Instructions2","response_time_Instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_Finish","time_Fixation","time_ISI","time_Instructions","time_Instructions2","time_Instructions3","time_Sequence","time_Stimulus","time_errorFeedback","time_experiment","time_faster","time_keyboard_response","time_logger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","608","608","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09/25/21 22:11:33","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-2.csv","legacy","Kafkaesque Koffka","3.2.8","0","s","NA","h","NA","NA","s","608","NA","6920","NA","NA","608","2","legacy","1024","2","48000","-16","experiment","hhshh","2","even","9482","NA","NA","NA","9637","NA","2561","NA","NA","9635","9740","NA","2552","NA","9740","10348","Flanker Task","1","608","1","yes","1024"
"100","100","602","602","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","1","1","0","0","0","1","1","1","0","1","1","1","09/25/21 22:11:33","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-2.csv","legacy","Kafkaesque Koffka","3.2.8","0","h","NA","h","NA","NA","h","596","NA","6920","NA","NA","596","2","legacy","1024","2","48000","-16","experiment","sshss","2","even","9482","NA","NA","NA","11433","10357","2561","NA","NA","11430","11534","NA","2552","NA","11534","12131","Flanker Task","2","1204","2","yes","1024"
"66.6666666667","66.6666666667","546","546","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","h","0","0","0","0","2","2","0","0","0","2","2","2","0","2","2","2","09/25/21 22:11:33","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-2.csv","legacy","Kafkaesque Koffka","3.2.8","0","s","NA","h","NA","NA","s","434","NA","6920","NA","NA","434","2","legacy","1024","2","48000","-16","experiment","sshss","2","even","9482","NA","NA","NA","13211","12136","2561","NA","NA","13209","13314","NA","2552","NA","13314","13749","Flanker Task","2","1638","3","yes","1024"
"75","75","530.75","530.75","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","3","3","0","0","0","3","3","3","0","3","3","3","09/25/21 22:11:33","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-2.csv","legacy","Kafkaesque Koffka","3.2.8","0","s","NA","h","NA","NA","s","485","NA","6920","NA","NA","485","2","legacy","1024","2","48000","-16","experiment","hhshh","2","even","9482","NA","NA","NA","15332","14260","2561","NA","NA","15330","15435","13757","2552","NA","15435","15920","Flanker Task","3","2123","4","yes","1024"
"80","80","516.4","516.4","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","4","4","0","0","0","4","4","4","0","4","4","4","09/25/21 22:11:33","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-2.csv","legacy","Kafkaesque Koffka","3.2.8","0","s","NA","h","NA","NA","s","459","NA","6920","NA","NA","459","2","legacy","1024","2","48000","-16","experiment","sssss","2","even","9482","NA","NA","NA","17000","15928","2561","NA","NA","16998","17104","13757","2552","NA","17104","17563","Flanker Task","4","2582","5","yes","1024"
"66.6666666667","66.6666666667","505","505","black","legacy","legacy","legacy","0","congruent","uniform","0","undefined","0","h","0","0","0","0","5","5","0","0","0","5","5","5","0","5","5","5","09/25/21 22:11:33","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-2.csv","legacy","Kafkaesque Koffka","3.2.8","0","s","NA","h","NA","NA","s","448","NA","6920","NA","NA","448","2","legacy","1024","2","48000","-16","experiment","hhhhh","2","even","9482","NA","NA","NA","18650","17572","2561","NA","NA","18647","18753","13757","2552","NA","18753","19202","Flanker Task","4","3030","6","yes","1024"
"71.4285714286","71.4285714286","495.142857143","495.142857143","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","6","6","0","0","0","6","6","6","0","6","6","6","09/25/21 22:11:33","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-2.csv","legacy","Kafkaesque Koffka","3.2.8","0","s","NA","h","NA","NA","s","436","NA","6920","NA","NA","436","2","legacy","1024","2","48000","-16","experiment","hhshh","2","even","9482","NA","NA","NA","20781","19711","2561","NA","NA","20779","20882","19210","2552","NA","20882","21318","Flanker Task","5","3466","7","yes","1024"
"75","75","494","494","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","7","7","0","0","0","7","7","7","0","7","7","7","09/25/21 22:11:33","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-2.csv","legacy","Kafkaesque Koffka","3.2.8","0","h","NA","h","NA","NA","h","486","NA","6920","NA","NA","486","2","legacy","1024","2","48000","-16","experiment","hhhhh","2","even","9482","NA","NA","NA","22397","21323","2561","NA","NA","22395","22500","19210","2552","NA","22500","22987","Flanker Task","6","3952","8","yes","1024"
"66.6666666667","66.6666666667","477.333333333","477.333333333","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","h","0","0","0","0","8","8","0","0","0","8","8","8","0","8","8","8","09/25/21 22:11:33","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-2.csv","legacy","Kafkaesque Koffka","3.2.8","0","s","NA","h","NA","NA","s","344","NA","6920","NA","NA","344","2","legacy","1024","2","48000","-16","experiment","sshss","2","even","9482","NA","NA","NA","24063","22991","2561","NA","NA","24061","24166","19210","2552","NA","24166","24511","Flanker Task","6","4296","9","yes","1024"
"70","70","474.7","474.7","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","9","9","0","0","0","9","9","9","0","9","9","9","09/25/21 22:11:33","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-2.csv","legacy","Kafkaesque Koffka","3.2.8","0","s","NA","h","NA","NA","s","451","NA","6920","NA","NA","451","2","legacy","1024","2","48000","-16","experiment","sssss","2","even","9482","NA","NA","NA","26098","25023","2561","NA","NA","26095","26201","24520","2552","NA","26201","26653","Flanker Task","7","4747","10","yes","1024"
