"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","condition","correct","correct_instructions","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_Faster","count_Finish","count_ISI","count_errorFeedback","count_experiment","count_fixation","count_instruction3","count_instructions","count_instructions2","count_keyboard_response","count_new_logger","count_new_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finish","response_errorFeedback","response_instruction3","response_instructions","response_instructions2","response_keyboard_response","response_time","response_time_Finish","response_time_errorFeedback","response_time_instruction3","response_time_instructions","response_time_instructions2","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_Faster","time_Finish","time_ISI","time_errorFeedback","time_experiment","time_fixation","time_instruction3","time_instructions","time_instructions2","time_keyboard_response","time_new_logger","time_new_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","width"
"100","100","1310","1310","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Thu Sep 14 17:23:32 2023","1500","The main experiment item","True","ewm FlankerTask3.osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 ","False","mono","False","18","no","white","no","yes","768","legacy","0","0","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 /subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","NA","h","NA","s","1310.0","NA","NA","NA","7071","NA","1310","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","9077","NA","NA","NA","NA","NA","NA","1922","9121","NA","2000","NA","9226","10536","9114","9225","FlankerTask.3","1","1310.0","1","1024"
"100","100","943","943","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","1","0","1","1","0","1","0","0","0","1","1","1","1","Thu Sep 14 17:23:32 2023","1500","The main experiment item","True","ewm FlankerTask3.osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 ","False","mono","False","18","no","white","no","yes","768","legacy","1","1","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 /subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","NA","h","NA","h","577.0","NA","NA","NA","7071","NA","577","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","9077","NA","NA","NA","NA","10542","NA","1922","11579","NA","2000","NA","11682","12260","11578","11681","FlankerTask.3","2","1887.0","2","1024"
"100","100","808","808","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","2","0","2","2","0","2","0","0","0","2","2","2","2","Thu Sep 14 17:23:32 2023","1500","The main experiment item","True","ewm FlankerTask3.osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 ","False","mono","False","18","no","white","no","yes","768","legacy","2","2","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 /subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","NA","h","NA","h","539.0","NA","NA","NA","7071","NA","539","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","9077","NA","NA","NA","NA","12263","NA","1922","13300","NA","2000","NA","13402","13944","13299","13402","FlankerTask.3","3","2426.0","3","1024"
"100","100","706","706","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","3","0","3","3","0","3","0","0","0","3","3","3","3","Thu Sep 14 17:23:32 2023","1500","The main experiment item","True","ewm FlankerTask3.osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 ","False","mono","False","18","no","white","no","yes","768","legacy","3","3","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 /subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","NA","h","NA","s","398.0","NA","NA","NA","7071","NA","398","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","9077","NA","NA","NA","NA","13946","NA","1922","14983","NA","2000","NA","15085","15483","14982","15085","FlankerTask.3","4","2824.0","4","1024"
"100","100","680","680","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","4","0","4","4","0","4","0","0","0","4","4","4","4","Thu Sep 14 17:23:32 2023","1500","The main experiment item","True","ewm FlankerTask3.osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 ","False","mono","False","18","no","white","no","yes","768","legacy","4","4","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 /subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","NA","h","NA","h","577.0","NA","NA","NA","7071","NA","577","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","9077","NA","NA","NA","NA","15486","NA","1922","16524","NA","2000","NA","16626","17204","16522","16626","FlankerTask.3","5","3401.0","5","1024"
"100","100","667","667","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","5","0","5","5","0","5","0","0","0","5","5","5","5","Thu Sep 14 17:23:32 2023","1500","The main experiment item","True","ewm FlankerTask3.osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 ","False","mono","False","18","no","white","no","yes","768","legacy","5","5","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 /subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","NA","h","NA","s","603.0","NA","NA","NA","7071","NA","603","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","9077","NA","NA","NA","NA","17207","NA","1922","18245","NA","2000","NA","18348","18951","18243","18347","FlankerTask.3","6","4004.0","6","1024"
"100","100","650","650","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","6","0","6","6","0","6","0","0","0","6","6","6","6","Thu Sep 14 17:23:32 2023","1500","The main experiment item","True","ewm FlankerTask3.osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 ","False","mono","False","18","no","white","no","yes","768","legacy","6","6","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 /subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","NA","h","NA","h","551.0","NA","NA","NA","7071","NA","551","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","9077","NA","NA","NA","NA","18954","NA","1922","19991","NA","2000","NA","20094","20646","19990","20094","FlankerTask.3","7","4555.0","7","1024"
"100","100","716","716","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","7","0","7","7","0","7","0","0","0","7","7","7","7","Thu Sep 14 17:23:32 2023","1500","The main experiment item","True","ewm FlankerTask3.osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 ","False","mono","False","18","no","white","no","yes","768","legacy","7","7","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 /subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","NA","h","NA","s","1173.0","NA","NA","NA","7071","NA","1173","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","9077","NA","NA","NA","NA","20649","NA","1922","21687","NA","2000","NA","21790","22964","21685","21789","FlankerTask.3","8","5728.0","8","1024"
"100","100","709","709","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","8","0","8","8","0","8","0","0","0","8","8","8","8","Thu Sep 14 17:23:32 2023","1500","The main experiment item","True","ewm FlankerTask3.osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 ","False","mono","False","18","no","white","no","yes","768","legacy","8","8","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 /subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","NA","h","NA","s","659.0","NA","NA","NA","7071","NA","659","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","9077","NA","NA","NA","NA","22967","NA","1922","24009","NA","2000","NA","24111","24771","24007","24111","FlankerTask.3","9","6387.0","9","1024"
"100","100","684","684","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","9","0","9","9","0","9","0","0","0","9","9","9","9","Thu Sep 14 17:23:32 2023","1500","The main experiment item","True","ewm FlankerTask3.osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 ","False","mono","False","18","no","white","no","yes","768","legacy","9","9","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 /subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","NA","h","NA","h","460.0","NA","NA","NA","7071","NA","460","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","9077","NA","NA","NA","NA","24774","NA","1922","25806","NA","2000","NA","25908","26369","25804","25908","FlankerTask.3","10","6847.0","10","1024"
