acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instructions1,correct_keyboard_response,correct_response,count_ISI,count_Instructions1,count_block1,count_block2,count_block3,count_errorFeedback,count_experiment,count_faster,count_finish,count_instructions2,count_instructions3,count_keyboard_response,count_logger,count_new_sketchpad,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Instructions1,response_finish,response_instructions2,response_instructions3,response_keyboard_response,response_time,response_time_Instructions1,response_time_finish,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_ISI,time_Instructions1,time_block1,time_block2,time_block3,time_errorFeedback,time_experiment,time_faster,time_finish,time_instructions2,time_instructions3,time_keyboard_response,time_logger,time_new_sketchpad,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,1142,1142,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fri Sep 18 21:35:23 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources,no,mono,no,18,no,white,no,no,768,legacy,0,0,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources/th-subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,h,NA,NA,NA,h,1142,4131,NA,NA,NA,1142,2,legacy,1024,2,48000,-16,experiment,SSHSS,0,even,NA,4853,9009,NA,NA,NA,4666,NA,NA,NA,NA,9401,10545,9235,9134,9400,Flanker Task,1,1142,1,yes,1024
100,100,934.5,934.5,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,Fri Sep 18 21:35:23 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources,no,mono,no,18,no,white,no,no,768,legacy,1,1,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources/th-subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,h,NA,NA,NA,h,727,4131,NA,NA,NA,727,2,legacy,1024,2,48000,-16,experiment,HHHHH,0,even,10612,4853,9009,NA,NA,NA,4666,NA,NA,NA,NA,12112,12848,11952,11870,12112,Flanker Task,2,1869,2,yes,1024
100,100,799,799,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,2,0,0,0,0,2,0,2,0,0,0,2,2,2,2,2,Fri Sep 18 21:35:23 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources,no,mono,no,18,no,white,no,no,768,legacy,2,2,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources/th-subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,h,NA,NA,NA,h,528,4131,NA,NA,NA,528,2,legacy,1024,2,48000,-16,experiment,HHHHH,0,even,12906,4853,9009,NA,NA,NA,4666,NA,NA,NA,NA,14223,14753,14056,13992,14223,Flanker Task,3,2397,3,yes,1024
75,75,974.25,974.25,black,legacy,legacy,legacy,0,congruent,uniform,0,undefined,0,s,3,0,0,0,0,3,0,3,0,0,0,3,3,3,3,3,Fri Sep 18 21:35:23 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources,no,mono,no,18,no,white,no,no,768,legacy,3,3,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources/th-subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,None,h,NA,NA,NA,None,1500,4131,NA,NA,NA,1500,2,legacy,1024,2,48000,-16,experiment,SSSSS,0,even,14813,4853,9009,NA,NA,NA,4666,NA,NA,NA,NA,16183,17683,15991,15889,16182,Flanker Task,3,3897,4,yes,1024
80,80,907,907,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,4,0,0,0,0,4,0,4,0,0,0,4,4,4,4,4,Fri Sep 18 21:35:23 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources,no,mono,no,18,no,white,no,no,768,legacy,4,4,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources/th-subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,h,NA,NA,NA,h,638,4131,NA,NA,NA,638,2,legacy,1024,2,48000,-16,experiment,SSHSS,0,even,18312,4853,9009,NA,NA,17757,4666,NA,NA,NA,NA,19632,20273,19468,19409,19631,Flanker Task,4,4535,5,yes,1024
83.33333333,83.33333333,836.8333333,836.8333333,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,5,0,0,0,0,5,0,5,0,0,0,5,5,5,5,5,Fri Sep 18 21:35:23 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources,no,mono,no,18,no,white,no,no,768,legacy,5,5,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources/th-subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,h,NA,NA,NA,s,486,4131,NA,NA,NA,486,2,legacy,1024,2,48000,-16,experiment,HHSHH,0,even,20348,4853,9009,NA,NA,17757,4666,NA,NA,NA,NA,21648,22136,21483,21427,21648,Flanker Task,5,5021,6,yes,1024
85.71428571,85.71428571,819.7142857,819.7142857,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,6,0,0,0,0,6,0,6,0,0,0,6,6,6,6,6,Fri Sep 18 21:35:23 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources,no,mono,no,18,no,white,no,no,768,legacy,6,6,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources/th-subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,h,NA,NA,NA,s,717,4131,NA,NA,NA,717,2,legacy,1024,2,48000,-16,experiment,HHSHH,0,even,22193,4853,9009,NA,NA,17757,4666,NA,NA,NA,NA,23490,24209,23331,23267,23490,Flanker Task,6,5738,7,yes,1024
75,75,762.5,762.5,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,s,7,0,0,0,0,7,0,7,0,0,0,7,7,7,7,7,Fri Sep 18 21:35:23 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources,no,mono,no,18,no,white,no,no,768,legacy,7,7,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources/th-subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,h,NA,NA,NA,h,362,4131,NA,NA,NA,362,2,legacy,1024,2,48000,-16,experiment,HHSHH,0,even,24294,4853,9009,NA,NA,17757,4666,NA,NA,NA,NA,25589,25953,25428,25370,25589,Flanker Task,6,6100,8,yes,1024
66.66666667,66.66666667,725.1111111,725.1111111,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,h,8,0,0,0,0,8,0,8,0,0,0,8,8,8,8,8,Fri Sep 18 21:35:23 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources,no,mono,no,18,no,white,no,no,768,legacy,8,8,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources/th-subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,h,NA,NA,NA,s,426,4131,NA,NA,NA,426,2,legacy,1024,2,48000,-16,experiment,SSHSS,0,even,26565,4853,9009,NA,NA,26009,4666,NA,NA,NA,NA,27888,28321,27704,27650,27888,Flanker Task,6,6526,9,yes,1024
70,70,763.7,763.7,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,9,0,0,0,0,9,0,9,0,0,0,9,9,9,9,9,Fri Sep 18 21:35:23 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources,no,mono,no,18,no,white,no,no,768,legacy,9,9,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources/th-subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,h,NA,NA,NA,s,1111,4131,NA,NA,NA,1111,2,legacy,1024,2,48000,-16,experiment,SSSSS,0,even,28978,4853,9009,NA,NA,28421,4666,NA,NA,NA,NA,30273,31385,30115,30057,30272,Flanker Task,7,7637,10,yes,1024
