"Stimulus","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_ISI","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","new_column_1","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ISI","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"NA","0","0","1500","1500","black","legacy","legacy","legacy","0","congruent","uniform","0","undefined","0","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sat Sep 25 19:21:31 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/rayra/Documents/subject-2.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","None","NA","h","NA","NA","None","1500","NA","54996","NA","NA","1500","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","58681","NA","NA","NA","NA","3680","NA","NA","58780","3684","NA","NA","58882","60382","58778","58882","Flanker Task","0","1500","1","yes","1024"
"NA","50","50","1263.5","1263.5","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","1","1","0","1","0","1","0","0","0","1","1","1","1","Sat Sep 25 19:21:31 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/rayra/Documents/subject-2.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","h","NA","h","NA","NA","h","1027","NA","54996","NA","NA","1027","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","58681","NA","NA","60896","60393","3680","NA","NA","62025","3684","NA","NA","62128","63156","62022","62128","Flanker Task","1","2527","2","yes","1024"
"NA","66.66666666666667","66.66666666666667","1094.6666666666667","1094.6666666666667","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","2","2","0","2","0","2","0","0","0","2","2","2","2","Sat Sep 25 19:21:31 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/rayra/Documents/subject-2.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","s","NA","h","NA","NA","s","757","NA","54996","NA","NA","757","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","58681","NA","NA","63163","60393","3680","NA","NA","64299","3684","NA","NA","64402","65160","64296","64402","Flanker Task","2","3284","3","yes","1024"
"NA","75","75","1013.5","1013.5","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","3","3","0","3","0","3","0","0","0","3","3","3","3","Sat Sep 25 19:21:31 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/rayra/Documents/subject-2.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","h","NA","h","NA","NA","h","770","NA","54996","NA","NA","770","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","58681","NA","NA","65167","60393","3680","NA","NA","66288","3684","NA","NA","66391","67161","66285","66391","Flanker Task","3","4054","4","yes","1024"
"NA","80","80","960.4","960.4","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","4","4","0","4","0","4","0","0","0","4","4","4","4","Sat Sep 25 19:21:31 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/rayra/Documents/subject-2.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","s","NA","h","NA","NA","s","748","NA","54996","NA","NA","748","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","58681","NA","NA","67168","60393","3680","NA","NA","68278","3684","NA","NA","68381","69130","68276","68381","Flanker Task","4","4802","5","yes","1024"
"NA","83.33333333333333","83.33333333333333","917.6666666666666","917.6666666666666","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","5","5","0","5","0","5","0","0","0","5","5","5","5","Sat Sep 25 19:21:31 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/rayra/Documents/subject-2.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","s","NA","h","NA","NA","s","704","NA","54996","NA","NA","704","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","58681","NA","NA","69136","60393","3680","NA","NA","70279","3684","NA","NA","70382","71087","70276","70382","Flanker Task","5","5506","6","yes","1024"
"NA","85.71428571428571","85.71428571428571","875","875","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","6","6","0","6","0","6","0","0","0","6","6","6","6","Sat Sep 25 19:21:31 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/rayra/Documents/subject-2.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","s","NA","h","NA","NA","s","619","NA","54996","NA","NA","619","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","58681","NA","NA","71094","60393","3680","NA","NA","72225","3684","NA","NA","72329","72949","72221","72329","Flanker Task","6","6125","7","yes","1024"
"NA","87.5","87.5","882.875","882.875","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","7","7","0","7","0","7","0","0","0","7","7","7","7","Sat Sep 25 19:21:31 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/rayra/Documents/subject-2.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","s","NA","h","NA","NA","s","938","NA","54996","NA","NA","938","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","58681","NA","NA","72957","60393","3680","NA","NA","74113","3684","NA","NA","74216","75154","74110","74216","Flanker Task","7","7063","8","yes","1024"
"NA","88.88888888888889","88.88888888888889","850.3333333333334","850.3333333333334","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","8","8","0","8","0","8","0","0","0","8","8","8","8","Sat Sep 25 19:21:31 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/rayra/Documents/subject-2.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","s","NA","h","NA","NA","s","590","NA","54996","NA","NA","590","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","58681","NA","NA","75160","60393","3680","NA","NA","76272","3684","NA","NA","76375","76965","76269","76375","Flanker Task","8","7653","9","yes","1024"
"NA","90","90","818.4","818.4","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","9","9","0","9","0","9","0","0","0","9","9","9","9","Sat Sep 25 19:21:31 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/rayra/Documents/subject-2.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","s","NA","h","NA","NA","s","531","NA","54996","NA","NA","531","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","58681","NA","NA","76973","60393","3680","NA","NA","78112","3684","NA","NA","78216","78748","78109","78216","Flanker Task","9","8184","10","yes","1024"
"NA","90.9090909090909","90.9090909090909","806.8181818181819","806.8181818181819","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","10","10","0","10","0","10","0","0","0","10","10","10","10","Sat Sep 25 19:21:31 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/rayra/Documents/subject-2.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","h","NA","h","NA","NA","h","691","NA","54996","NA","NA","691","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","58681","NA","NA","78757","60393","3680","NA","NA","79902","3684","NA","NA","80006","80697","79899","80006","Flanker Task","10","8875","11","yes","1024"
"NA","91.66666666666667","91.66666666666667","797.1666666666666","797.1666666666666","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","11","11","0","11","0","11","0","0","0","11","11","11","11","Sat Sep 25 19:21:31 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/rayra/Documents/subject-2.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","s","NA","h","NA","NA","s","691","NA","54996","NA","NA","691","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","58681","NA","NA","80705","60393","3680","NA","NA","81858","3684","NA","NA","81961","82652","81854","81961","Flanker Task","11","9566","12","yes","1024"
"NA","92.3076923076923","92.3076923076923","784.6153846153846","784.6153846153846","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","12","12","0","12","0","12","0","0","0","12","12","12","12","Sat Sep 25 19:21:31 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","12","12","C:/Users/rayra/Documents/subject-2.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","h","NA","h","NA","NA","h","634","NA","54996","NA","NA","634","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","58681","NA","NA","82659","60393","3680","NA","NA","83792","3684","NA","NA","83896","84531","83790","83896","Flanker Task","12","10200","13","yes","1024"
"NA","92.85714285714286","92.85714285714286","771.2857142857143","771.2857142857143","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","13","13","0","13","0","13","0","0","0","13","13","13","13","Sat Sep 25 19:21:31 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","13","13","C:/Users/rayra/Documents/subject-2.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","h","NA","h","NA","NA","h","598","NA","54996","NA","NA","598","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","58681","NA","NA","84538","60393","3680","NA","NA","85671","3684","NA","NA","85775","86373","85668","85775","Flanker Task","13","10798","14","yes","1024"
"NA","93.33333333333333","93.33333333333333","764.0666666666667","764.0666666666667","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","14","14","0","14","0","14","0","0","0","14","14","14","14","Sat Sep 25 19:21:31 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","14","14","C:/Users/rayra/Documents/subject-2.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","s","NA","h","NA","NA","s","663","NA","54996","NA","NA","663","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","58681","NA","NA","86381","60393","3680","NA","NA","87523","3684","NA","NA","87627","88291","87520","87627","Flanker Task","14","11461","15","yes","1024"
"NA","93.75","93.75","754.875","754.875","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","15","15","0","15","0","15","0","0","0","15","15","15","15","Sat Sep 25 19:21:31 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","15","15","C:/Users/rayra/Documents/subject-2.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","s","NA","h","NA","NA","s","617","NA","54996","NA","NA","617","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","58681","NA","NA","88299","60393","3680","NA","NA","89460","3684","NA","NA","89564","90182","89458","89564","Flanker Task","15","12078","16","yes","1024"
"NA","94.11764705882354","94.11764705882354","754.7058823529412","754.7058823529412","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","16","16","0","16","0","16","0","0","0","16","16","16","16","Sat Sep 25 19:21:31 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","16","16","C:/Users/rayra/Documents/subject-2.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","h","NA","h","NA","NA","h","752","NA","54996","NA","NA","752","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","58681","NA","NA","90188","60393","3680","NA","NA","91329","3684","NA","NA","91432","92184","91326","91432","Flanker Task","16","12830","17","yes","1024"
"NA","94.44444444444444","94.44444444444444","747.9444444444445","747.9444444444445","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","17","17","0","17","0","17","0","0","0","17","17","17","17","Sat Sep 25 19:21:31 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","17","17","C:/Users/rayra/Documents/subject-2.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","h","NA","h","NA","NA","h","633","NA","54996","NA","NA","633","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","58681","NA","NA","92192","60393","3680","NA","NA","93299","3684","NA","NA","93402","94036","93296","93402","Flanker Task","17","13463","18","yes","1024"
"NA","94.73684210526316","94.73684210526316","751.1052631578947","751.1052631578947","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","18","18","0","18","0","18","0","0","0","18","18","18","18","Sat Sep 25 19:21:31 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","18","18","C:/Users/rayra/Documents/subject-2.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","h","NA","h","NA","NA","h","808","NA","54996","NA","NA","808","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","58681","NA","NA","94044","60393","3680","NA","NA","95183","3684","NA","NA","95287","96096","95180","95287","Flanker Task","18","14271","19","yes","1024"
"NA","95","95","743.25","743.25","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","19","19","0","19","0","19","0","0","0","19","19","19","19","Sat Sep 25 19:21:31 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","19","19","C:/Users/rayra/Documents/subject-2.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","h","NA","h","NA","NA","h","594","NA","54996","NA","NA","594","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","58681","NA","NA","96104","60393","3680","NA","NA","97247","3684","NA","NA","97350","97944","97244","97350","Flanker Task","19","14865","20","yes","1024"
