acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instructions1,correct_new_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ErrorFeedback,count_Faster,count_Finish,count_Fixation,count_ISI,count_Instructions1,count_Instructions2,count_Instructions3,count_Stimulus,count_experiment,count_new_keyboard_response,count_new_logger,count_new_sequence,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Finish,response_Instructions1,response_Instructions2,response_Instructions3,response_new_keyboard_response,response_time,response_time_Finish,response_time_Instructions1,response_time_Instructions2,response_time_Instructions3,response_time_new_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ErrorFeedback,time_Faster,time_Finish,time_Fixation,time_ISI,time_Instructions1,time_Instructions2,time_Instructions3,time_Stimulus,time_experiment,time_new_keyboard_response,time_new_logger,time_new_sequence,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,670,670,black,xpyriment,legacy,legacy,0,Congruent,uniform,1,undefined,1,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/26/19 11:20,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/hosan/Desktop/TB_subject-04.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,670,NA,2395,NA,NA,670,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,14659,NA,NA,NA,NA,NA,16135,NA,12262,NA,NA,16240,12237,16240,16910,16110,Flanker Task ,1,670,1,yes,1024
100,100,590.5,590.5,black,xpyriment,legacy,legacy,0,Incongruent,uniform,1,undefined,1,s,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,9/26/19 11:20,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/hosan/Desktop/TB_subject-04.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,511,NA,2395,NA,NA,511,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,14659,NA,NA,NA,NA,NA,19497,17096,12262,NA,NA,19606,12237,19606,20117,19473,Flanker Task ,2,1181,2,yes,1024
100,100,556.3333333,556.3333333,black,xpyriment,legacy,legacy,0,Incongruent,uniform,1,undefined,1,h,0,0,0,2,2,0,2,2,0,0,0,2,0,2,2,2,9/26/19 11:20,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/hosan/Desktop/TB_subject-04.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,488,NA,2395,NA,NA,488,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,14659,NA,NA,NA,NA,NA,22333,20185,12262,NA,NA,22438,12237,22438,22927,22308,Flanker Task ,3,1669,3,yes,1024
100,100,536.75,536.75,black,xpyriment,legacy,legacy,0,Incongruent,uniform,1,undefined,1,s,0,0,0,3,3,0,3,3,0,0,0,3,0,3,3,3,9/26/19 11:20,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/hosan/Desktop/TB_subject-04.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,478,NA,2395,NA,NA,478,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,14659,NA,NA,NA,NA,NA,25317,23238,12262,NA,NA,25422,12237,25423,25901,25293,Flanker Task ,4,2147,4,yes,1024
100,100,523,523,black,xpyriment,legacy,legacy,0,Incongruent,uniform,1,undefined,1,s,0,0,0,4,4,0,4,4,0,0,0,4,0,4,4,4,9/26/19 11:20,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/hosan/Desktop/TB_subject-04.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,468,NA,2395,NA,NA,468,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,14659,NA,NA,NA,NA,NA,28407,26283,12262,NA,NA,28513,12237,28513,28981,28384,Flanker Task ,5,2615,5,yes,1024
100,100,495.6666667,495.6666667,black,xpyriment,legacy,legacy,0,Congruent,uniform,1,undefined,1,s,0,0,0,5,5,0,5,5,0,0,0,5,0,5,5,5,9/26/19 11:20,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/hosan/Desktop/TB_subject-04.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,359,NA,2395,NA,NA,359,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,14659,NA,NA,NA,NA,NA,31263,29144,12262,NA,NA,31369,12237,31369,31728,31240,Flanker Task ,6,2974,6,yes,1024
100,100,495.7142857,495.7142857,black,xpyriment,legacy,legacy,0,Incongruent,uniform,1,undefined,1,h,0,0,0,6,6,0,6,6,0,0,0,6,0,6,6,6,9/26/19 11:20,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/hosan/Desktop/TB_subject-04.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,496,NA,2395,NA,NA,496,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,14659,NA,NA,NA,NA,NA,34140,32050,12262,NA,NA,34248,12237,34248,34745,34117,Flanker Task ,7,3470,7,yes,1024
100,100,517.125,517.125,black,xpyriment,legacy,legacy,0,Incongruent,uniform,1,undefined,1,s,0,0,0,7,7,0,7,7,0,0,0,7,0,7,7,7,9/26/19 11:20,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/hosan/Desktop/TB_subject-04.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,667,NA,2395,NA,NA,667,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,14659,NA,NA,NA,NA,NA,37000,34928,12262,NA,NA,37106,12237,37106,37774,36976,Flanker Task ,8,4137,8,yes,1024
88.88888889,88.88888889,543.2222222,543.2222222,black,xpyriment,legacy,legacy,0,Congruent,uniform,0,undefined,0,s,0,0,0,8,8,0,8,8,0,0,0,8,0,8,8,8,9/26/19 11:20,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/hosan/Desktop/TB_subject-04.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,752,NA,2395,NA,NA,752,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,14659,NA,NA,NA,NA,NA,40077,37816,12262,NA,NA,40182,12237,40182,40934,40052,Flanker Task ,8,4889,9,yes,1024
90,90,545.6,545.6,black,xpyriment,legacy,legacy,0,Congruent,uniform,1,undefined,1,s,0,0,0,9,9,0,9,9,0,0,0,9,0,9,9,9,9/26/19 11:20,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/hosan/Desktop/TB_subject-04.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,567,NA,2395,NA,NA,567,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,14659,NA,NA,41127,NA,NA,44038,41633,12262,NA,NA,44144,12237,44144,44712,44014,Flanker Task ,9,5456,10,yes,1024
