"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","condition","correct","correct_instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_ISI","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ISI","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","width"
"0","0","1500","1500","black","legacy","legacy","legacy","incongruent","0","undefined","0","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Wed Sep 20 10:58:28 2023","1500","The main experiment item","True","Lab2.1.osexp","/Users/test/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","0","0","/Users/test/Downloads/at-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","None","NA","h","NA","NA","None","1500.0","NA","13963","NA","NA","1500","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","18089","NA","NA","NA","NA","4010","NA","NA","18148","4101","NA","NA","18252","19752","18142","18251","Lab 2-1","0","1500.0","1","1024"
"50","50","1099","1099","black","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","1","1","0","1","0","1","0","0","0","1","1","1","1","Wed Sep 20 10:58:28 2023","1500","The main experiment item","True","Lab2.1.osexp","/Users/test/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","1","1","/Users/test/Downloads/at-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","NA","NA","h","699.0","NA","13963","NA","NA","699","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","18089","NA","NA","20275","19758","4010","NA","NA","21323","4101","NA","NA","21426","22126","21320","21425","Lab 2-1","1","2199.0","2","1024"
"66","66","952","952","black","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","2","2","0","2","0","2","0","0","0","2","2","2","2","Wed Sep 20 10:58:28 2023","1500","The main experiment item","True","Lab2.1.osexp","/Users/test/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","2","2","/Users/test/Downloads/at-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","NA","NA","h","657.0","NA","13963","NA","NA","657","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","18089","NA","NA","22129","19758","4010","NA","NA","23169","4101","NA","NA","23273","23931","23166","23272","Lab 2-1","2","2856.0","3","1024"
"75","75","841","841","black","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","3","3","0","3","0","3","0","0","0","3","3","3","3","Wed Sep 20 10:58:28 2023","1500","The main experiment item","True","Lab2.1.osexp","/Users/test/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","3","3","/Users/test/Downloads/at-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","NA","NA","h","510.0","NA","13963","NA","NA","510","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","18089","NA","NA","23935","19758","4010","NA","NA","24986","4101","NA","NA","25090","25600","24983","25089","Lab 2-1","3","3366.0","4","1024"
"80","80","791","791","black","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","4","4","0","4","0","4","0","0","0","4","4","4","4","Wed Sep 20 10:58:28 2023","1500","The main experiment item","True","Lab2.1.osexp","/Users/test/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","4","4","/Users/test/Downloads/at-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","NA","NA","s","591.0","NA","13963","NA","NA","591","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","18089","NA","NA","25604","19758","4010","NA","NA","26651","4101","NA","NA","26756","27348","26648","26755","Lab 2-1","4","3957.0","5","1024"
"66","66","744","744","black","legacy","legacy","legacy","incongruent","0","undefined","0","s","0","0","0","5","5","0","5","0","5","0","0","0","5","5","5","5","Wed Sep 20 10:58:28 2023","1500","The main experiment item","True","Lab2.1.osexp","/Users/test/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","5","5","/Users/test/Downloads/at-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","NA","NA","h","510.0","NA","13963","NA","NA","510","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","18089","NA","NA","27351","19758","4010","NA","NA","28398","4101","NA","NA","28501","29012","28395","28501","Lab 2-1","4","4467.0","6","1024"
"71","71","754","754","black","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","6","6","0","6","0","6","0","0","0","6","6","6","6","Wed Sep 20 10:58:28 2023","1500","The main experiment item","True","Lab2.1.osexp","/Users/test/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","6","6","/Users/test/Downloads/at-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","NA","NA","h","811.0","NA","13963","NA","NA","811","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","18089","NA","NA","29518","29015","4010","NA","NA","30563","4101","NA","NA","30667","31479","30560","30666","Lab 2-1","5","5278.0","7","1024"
"75","75","736","736","black","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","7","7","0","7","0","7","0","0","0","7","7","7","7","Wed Sep 20 10:58:28 2023","1500","The main experiment item","True","Lab2.1.osexp","/Users/test/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","7","7","/Users/test/Downloads/at-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","NA","NA","h","615.0","NA","13963","NA","NA","615","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","18089","NA","NA","31482","29015","4010","NA","NA","32527","4101","NA","NA","32631","33247","32524","32630","Lab 2-1","6","5893.0","8","1024"
"77","77","725","725","black","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","8","8","0","8","0","8","0","0","0","8","8","8","8","Wed Sep 20 10:58:28 2023","1500","The main experiment item","True","Lab2.1.osexp","/Users/test/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","8","8","/Users/test/Downloads/at-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","NA","NA","h","635.0","NA","13963","NA","NA","635","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","18089","NA","NA","33250","29015","4010","NA","NA","34295","4101","NA","NA","34399","35035","34293","34399","Lab 2-1","7","6528.0","9","1024"
"80","80","726","726","black","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","0","9","9","0","9","0","9","0","0","0","9","9","9","9","Wed Sep 20 10:58:28 2023","1500","The main experiment item","True","Lab2.1.osexp","/Users/test/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","9","9","/Users/test/Downloads/at-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","NA","NA","s","739.0","NA","13963","NA","NA","739","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","18089","NA","NA","35039","29015","4010","NA","NA","36087","4101","NA","NA","36190","36930","36084","36190","Lab 2-1","8","7267.0","10","1024"
