acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_new_keyboard_response,correct_response,count_ISI,count_block1,count_block2,count_block3,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instructions1,count_instructions2,count_instructions3,count_new_keyboard_response,count_new_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instructions1,response_instructions2,response_instructions3,response_new_keyboard_response,response_time,response_time_finish,response_time_instructions1,response_time_instructions2,response_time_instructions3,response_time_new_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_ISI,time_block1,time_block2,time_block3,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instructions1,time_instructions2,time_instructions3,time_new_keyboard_response,time_new_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
0,0,1500,1500,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wed Sep 25 09:12:25 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 2,no,mono,no,18,no,white,no,yes,768,legacy,0,0,/Users/kaylicolpitts/Desktop/adv quant/lab 2/KC-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,None,NA,s,NA,NA,None,1500,NA,35259,NA,NA,1500,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,NA,38756,NA,NA,NA,3467,NA,NA,38853,3488,NA,NA,38965,40465,38842,38965,FlankerTask,0,1500,1,yes,1024
50,50,1059,1059,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,Wed Sep 25 09:12:25 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 2,no,mono,no,18,no,white,no,yes,768,legacy,1,1,/Users/kaylicolpitts/Desktop/adv quant/lab 2/KC-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,618,NA,35259,NA,NA,618,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,40995,38756,NA,NA,40483,3467,NA,NA,42094,3488,NA,NA,42206,42825,42082,42206,FlankerTask,1,2118,2,yes,1024
66.66666667,66.66666667,913,913,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,2,0,0,0,2,0,2,0,2,0,0,0,2,2,2,2,Wed Sep 25 09:12:25 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 2,no,mono,no,18,no,white,no,yes,768,legacy,2,2,/Users/kaylicolpitts/Desktop/adv quant/lab 2/KC-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,621,NA,35259,NA,NA,621,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,42840,38756,NA,NA,40483,3467,NA,NA,43932,3488,NA,NA,44045,44667,43920,44045,FlankerTask,2,2739,3,yes,1024
75,75,809.5,809.5,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,3,0,0,0,3,0,3,0,3,0,0,0,3,3,3,3,Wed Sep 25 09:12:25 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 2,no,mono,no,18,no,white,no,yes,768,legacy,3,3,/Users/kaylicolpitts/Desktop/adv quant/lab 2/KC-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,499,NA,35259,NA,NA,499,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,44682,38756,NA,NA,40483,3467,NA,NA,45776,3488,NA,NA,45889,46389,45763,45889,FlankerTask,3,3238,4,yes,1024
80,80,730.6,730.6,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,4,0,0,0,4,0,4,0,4,0,0,0,4,4,4,4,Wed Sep 25 09:12:25 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 2,no,mono,no,18,no,white,no,yes,768,legacy,4,4,/Users/kaylicolpitts/Desktop/adv quant/lab 2/KC-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,415,NA,35259,NA,NA,415,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,46404,38756,NA,NA,40483,3467,NA,NA,47495,3488,NA,NA,47608,48024,47483,47608,FlankerTask,4,3653,5,yes,1024
83.33333333,83.33333333,722.6666667,722.6666667,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,5,0,0,0,5,0,5,0,5,0,0,0,5,5,5,5,Wed Sep 25 09:12:25 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 2,no,mono,no,18,no,white,no,yes,768,legacy,5,5,/Users/kaylicolpitts/Desktop/adv quant/lab 2/KC-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,683,NA,35259,NA,NA,683,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,48039,38756,NA,NA,40483,3467,NA,NA,49131,3488,NA,NA,49246,49930,49119,49246,FlankerTask,5,4336,6,yes,1024
85.71428571,85.71428571,685.2857143,685.2857143,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,6,0,0,0,6,0,6,0,6,0,0,0,6,6,6,6,Wed Sep 25 09:12:25 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 2,no,mono,no,18,no,white,no,yes,768,legacy,6,6,/Users/kaylicolpitts/Desktop/adv quant/lab 2/KC-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,461,NA,35259,NA,NA,461,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,49946,38756,NA,NA,40483,3467,NA,NA,51037,3488,NA,NA,51151,51613,51024,51151,FlankerTask,6,4797,7,yes,1024
87.5,87.5,649.625,649.625,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,7,0,0,0,7,0,7,0,7,0,0,0,7,7,7,7,Wed Sep 25 09:12:25 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 2,no,mono,no,18,no,white,no,yes,768,legacy,7,7,/Users/kaylicolpitts/Desktop/adv quant/lab 2/KC-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,400,NA,35259,NA,NA,400,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,51628,38756,NA,NA,40483,3467,NA,NA,52722,3488,NA,NA,52834,53235,52707,52834,FlankerTask,7,5197,8,yes,1024
88.88888889,88.88888889,633.2222222,633.2222222,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,8,0,0,0,8,0,8,0,8,0,0,0,8,8,8,8,Wed Sep 25 09:12:25 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 2,no,mono,no,18,no,white,no,yes,768,legacy,8,8,/Users/kaylicolpitts/Desktop/adv quant/lab 2/KC-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,502,NA,35259,NA,NA,502,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,53252,38756,NA,NA,40483,3467,NA,NA,54344,3488,NA,NA,54457,54960,54332,54457,FlankerTask,8,5699,9,yes,1024
90,90,612.4,612.4,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,9,0,0,0,9,0,9,0,9,0,0,0,9,9,9,9,Wed Sep 25 09:12:25 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 2,no,mono,no,18,no,white,no,yes,768,legacy,9,9,/Users/kaylicolpitts/Desktop/adv quant/lab 2/KC-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,425,NA,35259,NA,NA,425,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,54976,38756,NA,NA,40483,3467,NA,NA,56067,3488,NA,NA,56180,56606,56055,56179,FlankerTask,9,6124,10,yes,1024
90.90909091,90.90909091,591.9090909,591.9090909,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,10,0,0,0,10,0,10,0,10,0,0,0,10,10,10,10,Wed Sep 25 09:12:25 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 2,no,mono,no,18,no,white,no,yes,768,legacy,10,10,/Users/kaylicolpitts/Desktop/adv quant/lab 2/KC-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,387,NA,35259,NA,NA,387,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,56621,38756,NA,NA,40483,3467,NA,NA,57712,3488,NA,NA,57825,58213,57700,57825,FlankerTask,10,6511,11,yes,1024
91.66666667,91.66666667,588,588,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,11,0,0,0,11,0,11,0,11,0,0,0,11,11,11,11,Wed Sep 25 09:12:25 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 2,no,mono,no,18,no,white,no,yes,768,legacy,11,11,/Users/kaylicolpitts/Desktop/adv quant/lab 2/KC-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,545,NA,35259,NA,NA,545,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,58227,38756,NA,NA,40483,3467,NA,NA,59321,3488,NA,NA,59433,59979,59308,59433,FlankerTask,11,7056,12,yes,1024
92.30769231,92.30769231,573.6923077,573.6923077,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,12,0,0,0,12,0,12,0,12,0,0,0,12,12,12,12,Wed Sep 25 09:12:25 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 2,no,mono,no,18,no,white,no,yes,768,legacy,12,12,/Users/kaylicolpitts/Desktop/adv quant/lab 2/KC-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,402,NA,35259,NA,NA,402,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,59994,38756,NA,NA,40483,3467,NA,NA,61084,3488,NA,NA,61196,61599,61072,61196,FlankerTask,12,7458,13,yes,1024
92.85714286,92.85714286,575.7857143,575.7857143,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,13,0,0,0,13,0,13,0,13,0,0,0,13,13,13,13,Wed Sep 25 09:12:25 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 2,no,mono,no,18,no,white,no,yes,768,legacy,13,13,/Users/kaylicolpitts/Desktop/adv quant/lab 2/KC-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,603,NA,35259,NA,NA,603,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,61614,38756,NA,NA,40483,3467,NA,NA,62706,3488,NA,NA,62819,63424,62694,62819,FlankerTask,13,8061,14,yes,1024
93.33333333,93.33333333,579.2666667,579.2666667,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,14,0,0,0,14,0,14,0,14,0,0,0,14,14,14,14,Wed Sep 25 09:12:25 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 2,no,mono,no,18,no,white,no,yes,768,legacy,14,14,/Users/kaylicolpitts/Desktop/adv quant/lab 2/KC-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,628,NA,35259,NA,NA,628,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,63439,38756,NA,NA,40483,3467,NA,NA,64531,3488,NA,NA,64644,65274,64519,64644,FlankerTask,14,8689,15,yes,1024
