"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","condition","correct","correct_instructions1_sketchpad","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_Finish_sketchpad","count_ISI_sketchpad","count_Sequence","count_errorFeedback_sketchpad","count_experiment","count_faster_sketchpad","count_fixation_sketchpad","count_instructions1_sketchpad","count_keyboard_response","count_logger","count_new_1_sketchpad","count_new_sketchpad","count_stimulus_sketchpad","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finish_sketchpad","response_instructions1_sketchpad","response_keyboard_response","response_new_1_sketchpad","response_new_sketchpad","response_time","response_time_Finish_sketchpad","response_time_instructions1_sketchpad","response_time_keyboard_response","response_time_new_1_sketchpad","response_time_new_sketchpad","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_Finish_sketchpad","time_ISI_sketchpad","time_Sequence","time_errorFeedback_sketchpad","time_experiment","time_faster_sketchpad","time_fixation_sketchpad","time_instructions1_sketchpad","time_keyboard_response","time_logger","time_new_1_sketchpad","time_new_sketchpad","time_stimulus_sketchpad","title","total_correct","total_response_time","total_responses","width"
"100","100","789","789","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","0","0","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","h","NA","NA","789.0","NA","39738","789","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","41410","NA","NA","NA","NA","41455","NA","1670","NA","41456","1672","41557","42346","NA","NA","41557","Flanker task","1","789.0","1","1024"
"100","100","714","714","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","0","0","1","1","1","0","1","1","0","1","1","0","0","1","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","1","1","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","s","NA","NA","639.0","NA","39738","639","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","41410","NA","NA","NA","42355","43380","NA","1670","NA","43381","1672","43482","44121","NA","NA","43482","Flanker task","2","1428.0","2","1024"
"100","100","674","674","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","0","2","2","2","0","2","2","0","2","2","0","0","2","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","2","2","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","s","NA","NA","596.0","NA","39738","596","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","41410","NA","NA","NA","44125","45150","NA","1670","NA","45150","1672","45251","45848","NA","NA","45251","Flanker task","3","2024.0","3","1024"
"100","100","643","643","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","0","0","3","3","3","0","3","3","0","3","3","0","0","3","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","3","3","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","s","NA","NA","550.0","NA","39738","550","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","41410","NA","NA","NA","45852","46881","NA","1670","NA","46882","1672","46982","47532","NA","NA","46982","Flanker task","4","2574.0","4","1024"
"80","80","600","600","#3d3846","legacy","legacy","legacy","incongruent","0","undefined","0","h","0","0","0","0","4","4","4","0","4","4","0","4","4","0","0","4","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","4","4","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","s","NA","NA","427.0","NA","39738","427","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","41410","NA","NA","NA","47536","48565","NA","1670","NA","48566","1672","48666","49093","NA","NA","48666","Flanker task","4","3001.0","5","1024"
"83","83","600","600","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","0","5","5","5","0","5","5","0","5","5","0","0","5","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","5","5","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","h","NA","NA","600.0","NA","39738","600","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","41410","NA","NA","NA","49627","50654","49127","1670","NA","50655","1672","50755","51355","NA","NA","50755","Flanker task","5","3601.0","6","1024"
"85","85","579","579","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","0","0","6","6","6","0","6","6","0","6","6","0","0","6","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","6","6","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","s","NA","NA","452.0","NA","39738","452","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","41410","NA","NA","NA","51359","52384","49127","1670","NA","52384","1672","52484","52936","NA","NA","52484","Flanker task","6","4053.0","7","1024"
"87","87","574","574","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","0","7","7","7","0","7","7","0","7","7","0","0","7","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","7","7","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","s","NA","NA","543.0","NA","39738","543","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","41410","NA","NA","NA","52961","53987","49127","1670","NA","53988","1672","54088","54631","NA","NA","54088","Flanker task","7","4596.0","8","1024"
"88","88","577","577","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","0","8","8","8","0","8","8","0","8","8","0","0","8","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","8","8","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","h","NA","NA","597.0","NA","39738","597","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","41410","NA","NA","NA","54663","55689","49127","1670","NA","55690","1672","55790","56387","NA","NA","55790","Flanker task","8","5193.0","9","1024"
"90","90","565","565","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","0","9","9","9","0","9","9","0","9","9","0","0","9","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","9","9","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","s","NA","NA","460.0","NA","39738","460","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","41410","NA","NA","NA","56426","57454","49127","1670","NA","57455","1672","57555","58015","NA","NA","57555","Flanker task","9","5653.0","10","1024"
