"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_Instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_Instructions1","count_Instructions2","count_Instructions3","count_error_feedback","count_experiment","count_faster","count_fixation","count_isi","count_keyboard_response","count_logger","count_new_sketchpad_2","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","psychopy_waitblanking","repeat_cycle","response","response_Instructions1","response_Instructions2","response_Instructions3","response_keyboard_response","response_new_sketchpad_2","response_time","response_time_Instructions1","response_time_Instructions2","response_time_Instructions3","response_time_keyboard_response","response_time_new_sketchpad_2","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_Instructions1","time_Instructions2","time_Instructions3","time_error_feedback","time_experiment","time_faster","time_fixation","time_isi","time_keyboard_response","time_logger","time_new_sketchpad_2","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","505","505","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Fri Sep 23 19:32:16 2022","1500","The main experiment item","yes","lab_2.1.osexp","C:\Users\joey.knofczynski\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/joey.knofczynski/Downloads/subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","s","s","NA","NA","s","NA","505","1955","NA","NA","505","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","4162","NA","NA","2205","NA","NA","NA","2197","NA","4218","NA","4321","4827","NA","4216","4320","Lab 2.1","1","505","1","yes","1024"
"100","100","470.5","470.5","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","0","0","1","0","1","1","1","1","1","0","1","1","Fri Sep 23 19:32:16 2022","1500","The main experiment item","yes","lab_2.1.osexp","C:\Users\joey.knofczynski\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/joey.knofczynski/Downloads/subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","s","s","NA","NA","s","NA","436","1955","NA","NA","436","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","4162","NA","NA","2205","NA","NA","NA","2197","NA","5887","4833","5990","6428","NA","5883","5990","Lab 2.1","2","941","2","yes","1024"
"100","100","442.6666666666667","442.6666666666667","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","0","0","2","0","2","2","2","2","2","0","2","2","Fri Sep 23 19:32:16 2022","1500","The main experiment item","yes","lab_2.1.osexp","C:\Users\joey.knofczynski\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/joey.knofczynski/Downloads/subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","h","s","NA","NA","h","NA","387","1955","NA","NA","387","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","4162","NA","NA","2205","NA","NA","NA","2197","NA","7486","6432","7587","7975","NA","7483","7587","Lab 2.1","3","1328","3","yes","1024"
"100","100","435.75","435.75","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","0","0","3","0","3","3","3","3","3","0","3","3","Fri Sep 23 19:32:16 2022","1500","The main experiment item","yes","lab_2.1.osexp","C:\Users\joey.knofczynski\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/joey.knofczynski/Downloads/subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","s","s","NA","NA","s","NA","415","1955","NA","NA","415","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","4162","NA","NA","2205","NA","NA","NA","2197","NA","9032","7979","9135","9551","NA","9030","9135","Lab 2.1","4","1743","4","yes","1024"
"80","80","423.8","423.8","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","h","0","0","0","0","0","0","4","0","4","4","4","4","4","0","4","4","Fri Sep 23 19:32:16 2022","1500","The main experiment item","yes","lab_2.1.osexp","C:\Users\joey.knofczynski\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/joey.knofczynski/Downloads/subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","s","s","NA","NA","s","NA","376","1955","NA","NA","376","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","4162","NA","NA","2205","NA","NA","NA","2197","NA","10611","9555","10713","11089","NA","10609","10713","Lab 2.1","4","2119","5","yes","1024"
"83.33333333333333","83.33333333333333","421.3333333333333","421.3333333333333","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","0","0","5","0","5","5","5","5","5","0","5","5","Fri Sep 23 19:32:16 2022","1500","The main experiment item","yes","lab_2.1.osexp","C:\Users\joey.knofczynski\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/joey.knofczynski/Downloads/subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","s","s","NA","NA","s","NA","409","1955","NA","NA","409","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","4162","NA","NA","2205","NA","NA","11094","2197","NA","12648","11595","12751","13161","NA","12645","12751","Lab 2.1","5","2528","6","yes","1024"
"85.71428571428571","85.71428571428571","428.2857142857143","428.2857142857143","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","0","0","6","0","6","6","6","6","6","0","6","6","Fri Sep 23 19:32:16 2022","1500","The main experiment item","yes","lab_2.1.osexp","C:\Users\joey.knofczynski\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/joey.knofczynski/Downloads/subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","h","s","NA","NA","h","NA","470","1955","NA","NA","470","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","4162","NA","NA","2205","NA","NA","11094","2197","NA","14221","13165","14323","14793","NA","14217","14323","Lab 2.1","6","2998","7","yes","1024"
"87.5","87.5","433.375","433.375","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","0","0","7","0","7","7","7","7","7","0","7","7","Fri Sep 23 19:32:16 2022","1500","The main experiment item","yes","lab_2.1.osexp","C:\Users\joey.knofczynski\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/joey.knofczynski/Downloads/subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","h","s","NA","NA","h","NA","469","1955","NA","NA","469","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","4162","NA","NA","2205","NA","NA","11094","2197","NA","15859","14797","15961","16430","NA","15855","15961","Lab 2.1","7","3467","8","yes","1024"
"88.88888888888889","88.88888888888889","425.6666666666667","425.6666666666667","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","0","0","8","0","8","8","8","8","8","0","8","8","Fri Sep 23 19:32:16 2022","1500","The main experiment item","yes","lab_2.1.osexp","C:\Users\joey.knofczynski\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/joey.knofczynski/Downloads/subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","s","s","NA","NA","s","NA","364","1955","NA","NA","364","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","4162","NA","NA","2205","NA","NA","11094","2197","NA","17486","16434","17588","17953","NA","17483","17588","Lab 2.1","8","3831","9","yes","1024"
"90","90","426.8","426.8","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","0","0","9","0","9","9","9","9","9","0","9","9","Fri Sep 23 19:32:16 2022","1500","The main experiment item","yes","lab_2.1.osexp","C:\Users\joey.knofczynski\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/joey.knofczynski/Downloads/subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","h","s","NA","NA","h","NA","437","1955","NA","NA","437","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","4162","NA","NA","2205","NA","NA","11094","2197","NA","19012","17957","19114","19551","NA","19007","19114","Lab 2.1","9","4268","10","yes","1024"
