"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_Instruction","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_Errorfeedback","count_Finish","count_Fixation","count_ISI","count_Instruction","count_Instruction2","count_Instruction3","count_experiment","count_faster","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finish","response_Instruction","response_Instruction2","response_Instruction3","response_keyboard_response","response_time","response_time_Finish","response_time_Instruction","response_time_Instruction2","response_time_Instruction3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_Errorfeedback","time_Finish","time_Fixation","time_ISI","time_Instruction","time_Instruction2","time_Instruction3","time_experiment","time_faster","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","1500","1500","black","legacy","legacy","legacy","0","incongruent ","uniform","0","undefined","0","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sat Sep 19 10:43:40 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Users/kaylaredder/Desktop/fr-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","None","NA","q","NA","NA","None","1500","NA","58728","NA","NA","1500","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","61198","NA","NA","NA","NA","61249","NA","2461","NA","NA","2446","NA","61363","62863","61238","61363","Flanker Task ","0","1500","1","yes","1024"
"50","50","1158","1158","black","legacy","legacy","legacy","0","congruent ","uniform","1","undefined","1","s","0","0","0","1","0","1","1","0","0","0","0","1","1","1","1","1","Sat Sep 19 10:43:40 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Users/kaylaredder/Desktop/fr-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","q","NA","NA","s","816","NA","58728","NA","NA","816","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","61198","NA","NA","62885","NA","64466","63398","2461","NA","NA","2446","NA","64580","65397","64454","64580","Flanker Task ","1","2316","2","yes","1024"
"66.66666666666667","66.66666666666667","999.6666666666666","999.6666666666666","black","legacy","legacy","legacy","0","incongruent ","uniform","1","undefined","1","h","0","0","0","2","0","2","2","0","0","0","0","2","2","2","2","2","Sat Sep 19 10:43:40 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Users/kaylaredder/Desktop/fr-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","q","NA","NA","h","683","NA","58728","NA","NA","683","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","61198","NA","NA","62885","NA","66476","65418","2461","NA","NA","2446","NA","66590","67274","66464","66590","Flanker Task ","2","2999","3","yes","1024"
"75","75","916.5","916.5","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","3","0","3","3","0","0","0","0","3","3","3","3","3","Sat Sep 19 10:43:40 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Users/kaylaredder/Desktop/fr-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","q","NA","NA","s","667","NA","58728","NA","NA","667","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","61198","NA","NA","62885","NA","68352","67294","2461","NA","NA","2446","NA","68466","69134","68340","68466","Flanker Task ","3","3666","4","yes","1024"
"80","80","860.2","860.2","black","legacy","legacy","legacy","0","incongruent ","uniform","1","undefined","1","h","0","0","0","4","0","4","4","0","0","0","0","4","4","4","4","4","Sat Sep 19 10:43:40 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Users/kaylaredder/Desktop/fr-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","q","NA","NA","h","635","NA","58728","NA","NA","635","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","61198","NA","NA","62885","NA","70210","69154","2461","NA","NA","2446","NA","70324","70960","70199","70324","Flanker Task ","4","4301","5","yes","1024"
"83.33333333333333","83.33333333333333","797.3333333333334","797.3333333333334","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","5","0","5","5","0","0","0","0","5","5","5","5","5","Sat Sep 19 10:43:40 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Users/kaylaredder/Desktop/fr-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","q","NA","NA","s","483","NA","58728","NA","NA","483","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","61198","NA","NA","62885","NA","72054","70996","2461","NA","NA","2446","NA","72168","72652","72042","72167","Flanker Task ","5","4784","6","yes","1024"
"85.71428571428571","85.71428571428571","761.1428571428571","761.1428571428571","black","legacy","legacy","legacy","0","incongruent ","uniform","1","undefined","1","h","0","0","0","6","0","6","6","0","0","0","0","6","6","6","6","6","Sat Sep 19 10:43:40 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Users/kaylaredder/Desktop/fr-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","q","NA","NA","h","544","NA","58728","NA","NA","544","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","61198","NA","NA","62885","NA","73730","72673","2461","NA","NA","2446","NA","73843","74388","73719","73843","Flanker Task ","6","5328","7","yes","1024"
"87.5","87.5","742.75","742.75","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","7","0","7","7","0","0","0","0","7","7","7","7","7","Sat Sep 19 10:43:40 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Users/kaylaredder/Desktop/fr-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","q","NA","NA","h","614","NA","58728","NA","NA","614","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","61198","NA","NA","62885","NA","75465","74408","2461","NA","NA","2446","NA","75579","76194","75453","75579","Flanker Task ","7","5942","8","yes","1024"
"88.88888888888889","88.88888888888889","732.4444444444445","732.4444444444445","black","legacy","legacy","legacy","0","incongruent ","uniform","1","undefined","1","h","0","0","0","8","0","8","8","0","0","0","0","8","8","8","8","8","Sat Sep 19 10:43:40 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Users/kaylaredder/Desktop/fr-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","q","NA","NA","h","650","NA","58728","NA","NA","650","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","61198","NA","NA","62885","NA","77271","76214","2461","NA","NA","2446","NA","77385","78036","77259","77385","Flanker Task ","8","6592","9","yes","1024"
"90","90","705.6","705.6","black","legacy","legacy","legacy","0","congruent ","uniform","1","undefined","1","s","0","0","0","9","0","9","9","0","0","0","0","9","9","9","9","9","Sat Sep 19 10:43:40 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Users/kaylaredder/Desktop/fr-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","q","NA","NA","s","464","NA","58728","NA","NA","464","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","61198","NA","NA","62885","NA","79113","78056","2461","NA","NA","2446","NA","79227","79692","79101","79227","Flanker Task ","9","7056","10","yes","1024"
