"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_Instruction","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_Errorfeedback","count_Finish","count_Fixation","count_ISI","count_Instruction","count_Instruction2","count_Instruction3","count_experiment","count_faster","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finish","response_Instruction","response_Instruction2","response_Instruction3","response_keyboard_response","response_time","response_time_Finish","response_time_Instruction","response_time_Instruction2","response_time_Instruction3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_Errorfeedback","time_Finish","time_Fixation","time_ISI","time_Instruction","time_Instruction2","time_Instruction3","time_experiment","time_faster","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1199","1199","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sat Sep 19 16:35:34 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Users/kaylaredder/Desktop/mr-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","1199","NA","114959","NA","NA","1199","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","117476","NA","NA","NA","NA","117528","NA","2501","NA","NA","2486","NA","117643","118843","117516","117643","Flanker Task ","1","1199","1","yes","1024"
"100","100","1030.5","1030.5","black","legacy","legacy","legacy","0","incongruent ","uniform","1","undefined","1","h","0","0","0","1","0","1","1","0","0","0","0","1","1","1","1","1","Sat Sep 19 16:35:34 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Users/kaylaredder/Desktop/mr-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","862","NA","114959","NA","NA","862","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","117476","NA","NA","NA","NA","119945","118877","2501","NA","NA","2486","NA","120059","120922","119933","120059","Flanker Task ","2","2061","2","yes","1024"
"100","100","886","886","black","legacy","legacy","legacy","0","incongruent ","uniform","1","undefined","1","h","0","0","0","2","0","2","2","0","0","0","0","2","2","2","2","2","Sat Sep 19 16:35:34 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Users/kaylaredder/Desktop/mr-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","597","NA","114959","NA","NA","597","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","117476","NA","NA","NA","NA","122003","120946","2501","NA","NA","2486","NA","122118","122716","121992","122118","Flanker Task ","3","2658","3","yes","1024"
"100","100","864.5","864.5","black","legacy","legacy","legacy","0","congruent ","uniform","1","undefined","1","s","0","0","0","3","0","3","3","0","0","0","0","3","3","3","3","3","Sat Sep 19 16:35:34 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Users/kaylaredder/Desktop/mr-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","800","NA","114959","NA","NA","800","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","117476","NA","NA","NA","NA","123796","122737","2501","NA","NA","2486","NA","123910","124711","123784","123910","Flanker Task ","4","3458","4","yes","1024"
"100","100","853.2","853.2","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","4","0","4","4","0","0","0","0","4","4","4","4","4","Sat Sep 19 16:35:34 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Users/kaylaredder/Desktop/mr-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","808","NA","114959","NA","NA","808","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","117476","NA","NA","NA","NA","125790","124732","2501","NA","NA","2486","NA","125904","126713","125777","125904","Flanker Task ","5","4266","5","yes","1024"
"100","100","807.8333333333334","807.8333333333334","black","legacy","legacy","legacy","0","congruent ","uniform","1","undefined","1","s","0","0","0","5","0","5","5","0","0","0","0","5","5","5","5","5","Sat Sep 19 16:35:34 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Users/kaylaredder/Desktop/mr-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","581","NA","114959","NA","NA","581","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","117476","NA","NA","NA","NA","127791","126734","2501","NA","NA","2486","NA","127904","128486","127779","127904","Flanker Task ","6","4847","6","yes","1024"
"100","100","771.2857142857143","771.2857142857143","black","legacy","legacy","legacy","0","congruent ","uniform","1","undefined","1","s","0","0","0","6","0","6","6","0","0","0","0","6","6","6","6","6","Sat Sep 19 16:35:34 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Users/kaylaredder/Desktop/mr-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","552","NA","114959","NA","NA","552","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","117476","NA","NA","NA","NA","129564","128507","2501","NA","NA","2486","NA","129678","130231","129552","129678","Flanker Task ","7","5399","7","yes","1024"
"100","100","759.125","759.125","black","legacy","legacy","legacy","0","incongruent ","uniform","1","undefined","1","h","0","0","0","7","0","7","7","0","0","0","0","7","7","7","7","7","Sat Sep 19 16:35:34 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Users/kaylaredder/Desktop/mr-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","674","NA","114959","NA","NA","674","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","117476","NA","NA","NA","NA","131321","130263","2501","NA","NA","2486","NA","131435","132110","131309","131435","Flanker Task ","8","6073","8","yes","1024"
"100","100","723.7777777777778","723.7777777777778","black","legacy","legacy","legacy","0","congruent ","uniform","1","undefined","1","s","0","0","0","8","0","8","8","0","0","0","0","8","8","8","8","8","Sat Sep 19 16:35:34 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Users/kaylaredder/Desktop/mr-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","441","NA","114959","NA","NA","441","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","117476","NA","NA","NA","NA","133188","132131","2501","NA","NA","2486","NA","133302","133744","133176","133302","Flanker Task ","9","6514","9","yes","1024"
"100","100","701.8","701.8","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","9","0","9","9","0","0","0","0","9","9","9","9","9","Sat Sep 19 16:35:34 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Users/kaylaredder/Desktop/mr-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","504","NA","114959","NA","NA","504","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","117476","NA","NA","NA","NA","134823","133766","2501","NA","NA","2486","NA","134938","135443","134811","134938","Flanker Task ","10","7018","10","yes","1024"
