acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ISI,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instruction2,count_instruction3,count_instructions1,count_keyboard_response,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instruction2,response_instruction3,response_instructions1,response_keyboard_response,response_time,response_time_finish,response_time_instruction2,response_time_instruction3,response_time_instructions1,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ISI,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instruction2,time_instruction3,time_instructions1,time_keyboard_response,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
0,0,524,524,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thu Sep 22 13:00:18 2022,1500,The main experiment item,yes,Flanker_Task_by_Katherine_Hays.osexp,/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame,no,mono,no,18,no,white,no,no,768,legacy,0,0,/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/subject-4.csv,legacy,Lentiform Loewenfeld,3.3.12,0,s,NA,NA,NA,s,s,524,NA,NA,NA,254185,524,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,255820,NA,NA,NA,NA,1480,NA,NA,255857,NA,NA,1619,255963,256498,255852,255963,Flanker Task (by Katherine Hays),0,524,1,yes,1024
0,0,504.5,504.5,black,legacy,legacy,legacy,0,congruent,uniform,0,undefined,0,h,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,Thu Sep 22 13:00:18 2022,1500,The main experiment item,yes,Flanker_Task_by_Katherine_Hays.osexp,/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame,no,mono,no,18,no,white,no,no,768,legacy,1,1,/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/subject-4.csv,legacy,Lentiform Loewenfeld,3.3.12,0,s,NA,NA,NA,s,s,485,NA,NA,NA,254185,485,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,255820,NA,NA,257008,256503,1480,NA,NA,258071,NA,NA,1619,258175,258661,258066,258175,Flanker Task (by Katherine Hays),0,1009,2,yes,1024
33.33333333,33.33333333,489.6666667,489.6666667,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,2,2,0,2,0,2,0,0,0,2,2,2,2,Thu Sep 22 13:00:18 2022,1500,The main experiment item,yes,Flanker_Task_by_Katherine_Hays.osexp,/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame,no,mono,no,18,no,white,no,no,768,legacy,2,2,/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/subject-4.csv,legacy,Lentiform Loewenfeld,3.3.12,0,s,NA,NA,NA,s,s,460,NA,NA,NA,254185,460,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,255820,NA,NA,259169,258665,1480,NA,NA,260212,NA,NA,1619,260316,260776,260208,260316,Flanker Task (by Katherine Hays),1,1469,3,yes,1024
50,50,477.25,477.25,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,3,3,0,3,0,3,0,0,0,3,3,3,3,Thu Sep 22 13:00:18 2022,1500,The main experiment item,yes,Flanker_Task_by_Katherine_Hays.osexp,/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame,no,mono,no,18,no,white,no,no,768,legacy,3,3,/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/subject-4.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,NA,NA,s,h,440,NA,NA,NA,254185,440,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,255820,NA,NA,260781,258665,1480,NA,NA,261821,NA,NA,1619,261924,262365,261817,261924,Flanker Task (by Katherine Hays),2,1909,4,yes,1024
60,60,517.2,517.2,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,4,4,0,4,0,4,0,0,0,4,4,4,4,Thu Sep 22 13:00:18 2022,1500,The main experiment item,yes,Flanker_Task_by_Katherine_Hays.osexp,/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame,no,mono,no,18,no,white,no,no,768,legacy,4,4,/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/subject-4.csv,legacy,Lentiform Loewenfeld,3.3.12,0,s,NA,NA,NA,s,s,677,NA,NA,NA,254185,677,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,255820,NA,NA,262369,258665,1480,NA,NA,263409,NA,NA,1619,263514,264192,263406,263514,Flanker Task (by Katherine Hays),3,2586,5,yes,1024
66.66666667,66.66666667,553.8333333,553.8333333,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,5,5,0,5,0,5,0,0,0,5,5,5,5,Thu Sep 22 13:00:18 2022,1500,The main experiment item,yes,Flanker_Task_by_Katherine_Hays.osexp,/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame,no,mono,no,18,no,white,no,no,768,legacy,5,5,/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/subject-4.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,NA,NA,s,h,737,NA,NA,NA,254185,737,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,255820,NA,NA,264196,258665,1480,NA,NA,265233,NA,NA,1619,265337,266075,265228,265337,Flanker Task (by Katherine Hays),4,3323,6,yes,1024
71.42857143,71.42857143,557.4285714,557.4285714,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,6,6,0,6,0,6,0,0,0,6,6,6,6,Thu Sep 22 13:00:18 2022,1500,The main experiment item,yes,Flanker_Task_by_Katherine_Hays.osexp,/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame,no,mono,no,18,no,white,no,no,768,legacy,6,6,/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/subject-4.csv,legacy,Lentiform Loewenfeld,3.3.12,0,s,NA,NA,NA,s,s,579,NA,NA,NA,254185,579,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,255820,NA,NA,266079,258665,1480,NA,NA,267121,NA,NA,1619,267226,267806,267116,267226,Flanker Task (by Katherine Hays),5,3902,7,yes,1024
75,75,546,546,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,7,7,0,7,0,7,0,0,0,7,7,7,7,Thu Sep 22 13:00:18 2022,1500,The main experiment item,yes,Flanker_Task_by_Katherine_Hays.osexp,/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame,no,mono,no,18,no,white,no,no,768,legacy,7,7,/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/subject-4.csv,legacy,Lentiform Loewenfeld,3.3.12,0,s,NA,NA,NA,s,s,466,NA,NA,NA,254185,466,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,255820,NA,NA,267810,258665,1480,NA,NA,268851,NA,NA,1619,268954,269421,268846,268954,Flanker Task (by Katherine Hays),6,4368,8,yes,1024
77.77777778,77.77777778,531.5555556,531.5555556,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,8,8,0,8,0,8,0,0,0,8,8,8,8,Thu Sep 22 13:00:18 2022,1500,The main experiment item,yes,Flanker_Task_by_Katherine_Hays.osexp,/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame,no,mono,no,18,no,white,no,no,768,legacy,8,8,/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/subject-4.csv,legacy,Lentiform Loewenfeld,3.3.12,0,s,NA,NA,NA,s,s,416,NA,NA,NA,254185,416,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,255820,NA,NA,269425,258665,1480,NA,NA,270464,NA,NA,1619,270569,270985,270460,270568,Flanker Task (by Katherine Hays),7,4784,9,yes,1024
80,80,521.5,521.5,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,9,9,0,9,0,9,0,0,0,9,9,9,9,Thu Sep 22 13:00:18 2022,1500,The main experiment item,yes,Flanker_Task_by_Katherine_Hays.osexp,/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame,no,mono,no,18,no,white,no,no,768,legacy,9,9,/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/subject-4.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,NA,NA,s,h,431,NA,NA,NA,254185,431,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,255820,NA,NA,270990,258665,1480,NA,NA,272028,NA,NA,1619,272133,272565,272023,272133,Flanker Task (by Katherine Hays),8,5215,10,yes,1024
