acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_ISI,count_block1,count_block2,count_block3,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instruction3,count_instructions1,count_instructions2,count_keyboard_response,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instruction3,response_instructions1,response_instructions2,response_keyboard_response,response_time,response_time_finish,response_time_instruction3,response_time_instructions1,response_time_instructions2,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_ISI,time_block1,time_block2,time_block3,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instruction3,time_instructions1,time_instructions2,time_keyboard_response,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,1100,1100,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/27/19 17:47,1500,The main experiment item,yes,Flankertask.osexp,C:\Users\Edgar\Documents\Edgar School\Fall 2019\Lab 2-1,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/Edgar/Documents/Edgar School/Fall 2019/Lab 2-2/OJ-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,space,NA,h,1100,NA,NA,25471,NA,1100,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,NA,32872,NA,NA,NA,7378,NA,NA,33267,NA,7398,NA,33372,34473,33259,33372,Flanker task,1,1100,1,yes,1024
100,100,944.5,944.5,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,9/27/19 17:47,1500,The main experiment item,yes,Flankertask.osexp,C:\Users\Edgar\Documents\Edgar School\Fall 2019\Lab 2-1,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/Edgar/Documents/Edgar School/Fall 2019/Lab 2-2/OJ-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,space,NA,s,789,NA,NA,25471,NA,789,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,34573,32872,NA,NA,NA,7378,NA,NA,35813,NA,7398,NA,35918,36708,35806,35918,Flanker task,2,1889,2,yes,1024
100,100,818.6666667,818.6666667,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,2,0,0,0,2,0,2,0,2,0,0,0,2,2,2,2,9/27/19 17:47,1500,The main experiment item,yes,Flankertask.osexp,C:\Users\Edgar\Documents\Edgar School\Fall 2019\Lab 2-1,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/Edgar/Documents/Edgar School/Fall 2019/Lab 2-2/OJ-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,space,NA,s,567,NA,NA,25471,NA,567,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,36787,32872,NA,NA,NA,7378,NA,NA,38019,NA,7398,NA,38124,38693,38012,38124,Flanker task,3,2456,3,yes,1024
100,100,736.5,736.5,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,3,0,0,0,3,0,3,0,3,0,0,0,3,3,3,3,9/27/19 17:47,1500,The main experiment item,yes,Flankertask.osexp,C:\Users\Edgar\Documents\Edgar School\Fall 2019\Lab 2-1,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/Edgar/Documents/Edgar School/Fall 2019/Lab 2-2/OJ-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,space,NA,s,490,NA,NA,25471,NA,490,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,38758,32872,NA,NA,NA,7378,NA,NA,40035,NA,7398,NA,40141,40632,40028,40140,Flanker task,4,2946,4,yes,1024
100,100,676,676,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,4,0,0,0,4,0,4,0,4,0,0,0,4,4,4,4,9/27/19 17:47,1500,The main experiment item,yes,Flankertask.osexp,C:\Users\Edgar\Documents\Edgar School\Fall 2019\Lab 2-1,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/Edgar/Documents/Edgar School/Fall 2019/Lab 2-2/OJ-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,space,NA,h,434,NA,NA,25471,NA,434,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,40688,32872,NA,NA,NA,7378,NA,NA,41921,NA,7398,NA,42026,42462,41914,42026,Flanker task,5,3380,5,yes,1024
100,100,642.5,642.5,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,5,0,0,0,5,0,5,0,5,0,0,0,5,5,5,5,9/27/19 17:47,1500,The main experiment item,yes,Flankertask.osexp,C:\Users\Edgar\Documents\Edgar School\Fall 2019\Lab 2-1,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/Edgar/Documents/Edgar School/Fall 2019/Lab 2-2/OJ-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,space,NA,s,475,NA,NA,25471,NA,475,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,42517,32872,NA,NA,NA,7378,NA,NA,43773,NA,7398,NA,43879,44356,43766,43879,Flanker task,6,3855,6,yes,1024
100,100,622,622,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,6,0,0,0,6,0,6,0,6,0,0,0,6,6,6,6,9/27/19 17:47,1500,The main experiment item,yes,Flankertask.osexp,C:\Users\Edgar\Documents\Edgar School\Fall 2019\Lab 2-1,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/Edgar/Documents/Edgar School/Fall 2019/Lab 2-2/OJ-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,space,NA,s,499,NA,NA,25471,NA,499,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,44403,32872,NA,NA,NA,7378,NA,NA,45647,NA,7398,NA,45754,46254,45639,45754,Flanker task,7,4354,7,yes,1024
100,100,609.25,609.25,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,7,0,0,0,7,0,7,0,7,0,0,0,7,7,7,7,9/27/19 17:47,1500,The main experiment item,yes,Flankertask.osexp,C:\Users\Edgar\Documents\Edgar School\Fall 2019\Lab 2-1,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/Edgar/Documents/Edgar School/Fall 2019/Lab 2-2/OJ-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,space,NA,h,520,NA,NA,25471,NA,520,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,46313,32872,NA,NA,NA,7378,NA,NA,47550,NA,7398,NA,47656,48177,47543,47656,Flanker task,8,4874,8,yes,1024
100,100,599.1111111,599.1111111,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,8,0,0,0,8,0,8,0,8,0,0,0,8,8,8,8,9/27/19 17:47,1500,The main experiment item,yes,Flankertask.osexp,C:\Users\Edgar\Documents\Edgar School\Fall 2019\Lab 2-1,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/Edgar/Documents/Edgar School/Fall 2019/Lab 2-2/OJ-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,space,NA,s,518,NA,NA,25471,NA,518,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,48248,32872,NA,NA,NA,7378,NA,NA,49492,NA,7398,NA,49599,50118,49484,49598,Flanker task,9,5392,9,yes,1024
100,100,616.5,616.5,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,9,0,0,0,9,0,9,0,9,0,0,0,9,9,9,9,9/27/19 17:47,1500,The main experiment item,yes,Flankertask.osexp,C:\Users\Edgar\Documents\Edgar School\Fall 2019\Lab 2-1,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/Edgar/Documents/Edgar School/Fall 2019/Lab 2-2/OJ-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,space,NA,h,773,NA,NA,25471,NA,773,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,50173,32872,NA,NA,NA,7378,NA,NA,51438,NA,7398,NA,51543,52317,51430,51543,Flanker task,10,6165,10,yes,1024
