acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ISI,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instruction2,count_instructions1,count_instructions3,count_keyboard_response,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instruction2,response_instructions1,response_instructions3,response_keyboard_response,response_time,response_time_finish,response_time_instruction2,response_time_instructions1,response_time_instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ISI,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instruction2,time_instructions1,time_instructions3,time_keyboard_response,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,956,956,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thu Sep 19 21:13:52 2019,1500,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,0,0,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,s,NA,h,956,NA,NA,52436,NA,956,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,55151,NA,NA,NA,NA,2673,NA,NA,55266,NA,2705,NA,55381,56339,55255,55381,Flanker Task,1,956,1,yes,1024
100,100,800.5,800.5,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,Thu Sep 19 21:13:52 2019,1500,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,1,1,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,s,NA,s,645,NA,NA,52436,NA,645,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,55151,NA,NA,56362,NA,2673,NA,NA,57493,NA,2705,NA,57608,58255,57482,57608,Flanker Task,2,1601,2,yes,1024
100,100,769,769,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,2,2,0,2,0,2,0,0,0,2,2,2,2,Thu Sep 19 21:13:52 2019,1500,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,2,2,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,s,NA,s,706,NA,NA,52436,NA,706,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,55151,NA,NA,58269,NA,2673,NA,NA,59368,NA,2705,NA,59479,60187,59357,59479,Flanker Task,3,2307,3,yes,1024
100,100,718.25,718.25,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,3,3,0,3,0,3,0,0,0,3,3,3,3,Thu Sep 19 21:13:52 2019,1500,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,3,3,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,s,NA,h,566,NA,NA,52436,NA,566,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,55151,NA,NA,60201,NA,2673,NA,NA,61300,NA,2705,NA,61411,61979,61289,61411,Flanker Task,4,2873,4,yes,1024
100,100,702.6,702.6,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,4,4,0,4,0,4,0,0,0,4,4,4,4,Thu Sep 19 21:13:52 2019,1500,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,4,4,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,s,NA,s,640,NA,NA,52436,NA,640,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,55151,NA,NA,61994,NA,2673,NA,NA,63114,NA,2705,NA,63230,63871,63103,63229,Flanker Task,5,3513,5,yes,1024
100,100,683.8333333,683.8333333,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,5,5,0,5,0,5,0,0,0,5,5,5,5,Thu Sep 19 21:13:52 2019,1500,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,5,5,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,s,NA,h,590,NA,NA,52436,NA,590,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,55151,NA,NA,63885,NA,2673,NA,NA,64984,NA,2705,NA,65100,65691,64973,65100,Flanker Task,6,4103,6,yes,1024
100,100,669,669,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,6,6,0,6,0,6,0,0,0,6,6,6,6,Thu Sep 19 21:13:52 2019,1500,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,6,6,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,s,NA,s,580,NA,NA,52436,NA,580,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,55151,NA,NA,65709,NA,2673,NA,NA,66826,NA,2705,NA,66941,67522,66815,66941,Flanker Task,7,4683,7,yes,1024
100,100,654.75,654.75,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,7,7,0,7,0,7,0,0,0,7,7,7,7,Thu Sep 19 21:13:52 2019,1500,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,7,7,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,s,NA,h,555,NA,NA,52436,NA,555,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,55151,NA,NA,67538,NA,2673,NA,NA,68636,NA,2705,NA,68752,69309,68625,68751,Flanker Task,8,5238,8,yes,1024
100,100,646.6666667,646.6666667,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,8,8,0,8,0,8,0,0,0,8,8,8,8,Thu Sep 19 21:13:52 2019,1500,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,8,8,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,s,NA,s,582,NA,NA,52436,NA,582,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,55151,NA,NA,69342,NA,2673,NA,NA,70457,NA,2705,NA,70573,71157,70446,70572,Flanker Task,9,5820,9,yes,1024
100,100,636.9,636.9,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,9,9,0,9,0,9,0,0,0,9,9,9,9,Thu Sep 19 21:13:52 2019,1500,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,9,9,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-3.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,s,NA,h,549,NA,NA,52436,NA,549,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,55151,NA,NA,71172,NA,2673,NA,NA,72271,NA,2705,NA,72385,72936,72259,72385,Flanker Task,10,6369,10,yes,1024
