"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","condition","correct","correct_Instuctions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_ISI","count_Instructions2","count_Instructions3","count_Instuctions1","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Instructions2","response_Instructions3","response_Instuctions1","response_finish","response_keyboard_response","response_time","response_time_Instructions2","response_time_Instructions3","response_time_Instuctions1","response_time_finish","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ISI","time_Instructions2","time_Instructions3","time_Instuctions1","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","width"
"100","100","559","559","#000000","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","0","0","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","h","NA","h","559.0","NA","NA","29464","NA","559","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","33668","NA","NA","NA","NA","NA","4203","NA","4198","NA","NA","33719","33820","34380","33718","33820","Flanker Task","1","559.0","1","1024"
"50","50","456","456","#000000","legacy","legacy","legacy","congruent","0","undefined","0","s","0","0","0","1","0","0","0","1","0","1","0","1","1","1","1","1","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","1","1","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","h","NA","h","354.0","NA","NA","29464","NA","354","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","33668","NA","NA","34394","NA","NA","4203","NA","4198","NA","NA","35441","35542","35897","35438","35542","Flanker Task","1","913.0","2","1024"
"66","66","429","429","#000000","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","2","0","0","0","2","0","2","0","2","2","2","2","2","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","2","2","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","h","NA","s","376.0","NA","NA","29464","NA","376","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","33668","NA","NA","36401","NA","NA","4203","35900","4198","NA","NA","37438","37539","37915","37435","37539","Flanker Task","2","1289.0","3","1024"
"75","75","421","421","#000000","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","0","3","0","0","0","3","0","3","0","3","3","3","3","3","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","3","3","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","h","NA","s","396.0","NA","NA","29464","NA","396","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","33668","NA","NA","37926","NA","NA","4203","35900","4198","NA","NA","38969","39070","39467","38966","39070","Flanker Task","3","1685.0","4","1024"
"60","60","408","408","#000000","legacy","legacy","legacy","incongruent","0","undefined","0","h","0","0","0","4","0","0","0","4","0","4","0","4","4","4","4","4","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","4","4","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","h","NA","s","356.0","NA","NA","29464","NA","356","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","33668","NA","NA","39471","NA","NA","4203","35900","4198","NA","NA","40509","40610","40967","40507","40610","Flanker Task","3","2041.0","5","1024"
"66","66","411","411","#000000","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","5","0","0","0","5","0","5","0","5","5","5","5","5","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","5","5","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","h","NA","h","428.0","NA","NA","29464","NA","428","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","33668","NA","NA","41479","NA","NA","4203","40978","4198","NA","NA","42517","42618","43048","42514","42618","Flanker Task","4","2469.0","6","1024"
"71","71","419","419","#000000","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","6","0","0","0","6","0","6","0","6","6","6","6","6","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","6","6","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","h","NA","h","466.0","NA","NA","29464","NA","466","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","33668","NA","NA","43058","NA","NA","4203","40978","4198","NA","NA","44096","44197","44664","44094","44197","Flanker Task","5","2935.0","7","1024"
"75","75","451","451","#000000","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","7","0","0","0","7","0","7","0","7","7","7","7","7","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","7","7","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","h","NA","h","673.0","NA","NA","29464","NA","673","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","33668","NA","NA","44675","NA","NA","4203","40978","4198","NA","NA","45717","45818","46492","45715","45818","Flanker Task","6","3608.0","8","1024"
"77","77","455","455","#000000","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","8","0","0","0","8","0","8","0","8","8","8","8","8","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","8","8","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","h","NA","s","487.0","NA","NA","29464","NA","487","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","33668","NA","NA","46502","NA","NA","4203","40978","4198","NA","NA","47552","47653","48141","47549","47653","Flanker Task","7","4095.0","9","1024"
"70","70","439","439","#000000","legacy","legacy","legacy","incongruent","0","undefined","0","s","0","0","0","9","0","0","0","9","0","9","0","9","9","9","9","9","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","9","9","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","h","NA","h","297.0","NA","NA","29464","NA","297","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","33668","NA","NA","48144","NA","NA","4203","40978","4198","NA","NA","49183","49284","49581","49181","49284","Flanker Task","7","4392.0","10","1024"
