acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,condition,correct,correct_Instructions1,correct_keyboardresponse,correct_response,count_Block1,count_Block2,count_Block3,count_Finish,count_ISI,count_Instructions1,count_Instructions2,count_errorFeedback,count_experiment,count_faster,count_fixation,count_instructions3,count_keyboardresponse,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Finish,response_Instructions1,response_Instructions2,response_instructions3,response_keyboardresponse,response_time,response_time_Finish,response_time_Instructions1,response_time_Instructions2,response_time_instructions3,response_time_keyboardresponse,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_Finish,time_ISI,time_Instructions1,time_Instructions2,time_errorFeedback,time_experiment,time_faster,time_fixation,time_instructions3,time_keyboardresponse,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,width
100,100,924,924,#000000,legacy,legacy,legacy,congruent,1,undefined,1,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thu Sep 21 14:50:55 2023,1500,The main experiment item,FALSE,FlankerTaskLab21.osexp,C:\Users\katjo\OneDrive\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,0,0,C:/Users/katjo/OneDrive/Desktop/KJ-subject-2 41M.csv,legacy,Melodramatic Milgram,4.0.5,0,h,NA,h,NA,NA,h,924,NA,27622,NA,NA,924,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,31875,NA,NA,NA,NA,4252,NA,NA,4243,NA,31957,NA,32058,32982,31956,32057,Flanker Task Lab 2.1,1,924,1,1024
100,100,682,682,#000000,legacy,legacy,legacy,congruent,1,undefined,1,s,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,Thu Sep 21 14:50:55 2023,1500,The main experiment item,FALSE,FlankerTaskLab21.osexp,C:\Users\katjo\OneDrive\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,1,1,C:/Users/katjo/OneDrive/Desktop/KJ-subject-2 41M.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,h,NA,NA,s,441,NA,27622,NA,NA,441,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,31875,NA,NA,NA,32989,4252,NA,NA,4243,NA,34023,NA,34123,34564,34021,34123,Flanker Task Lab 2.1,2,1365,2,1024
66,66,594,594,#000000,legacy,legacy,legacy,congruent,0,undefined,0,s,0,0,0,0,2,0,0,2,0,2,2,0,2,2,2,2,Thu Sep 21 14:50:55 2023,1500,The main experiment item,FALSE,FlankerTaskLab21.osexp,C:\Users\katjo\OneDrive\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,2,2,C:/Users/katjo/OneDrive/Desktop/KJ-subject-2 41M.csv,legacy,Melodramatic Milgram,4.0.5,0,h,NA,h,NA,NA,h,418,NA,27622,NA,NA,418,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,31875,NA,NA,NA,34567,4252,NA,NA,4243,NA,35600,NA,35700,36118,35599,35700,Flanker Task Lab 2.1,2,1783,3,1024
75,75,743,743,#000000,legacy,legacy,legacy,incongruent,1,undefined,1,s,0,0,0,0,3,0,0,3,0,3,3,0,3,3,3,3,Thu Sep 21 14:50:55 2023,1500,The main experiment item,FALSE,FlankerTaskLab21.osexp,C:\Users\katjo\OneDrive\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,3,3,C:/Users/katjo/OneDrive/Desktop/KJ-subject-2 41M.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,h,NA,NA,s,1192,NA,27622,NA,NA,1192,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,31875,NA,NA,NA,36622,4252,NA,36121,4243,NA,37651,NA,37753,38945,37650,37752,Flanker Task Lab 2.1,3,2975,4,1024
80,80,759,759,#000000,legacy,legacy,legacy,incongruent,1,undefined,1,h,0,0,0,0,4,0,0,4,0,4,4,0,4,4,4,4,Thu Sep 21 14:50:55 2023,1500,The main experiment item,FALSE,FlankerTaskLab21.osexp,C:\Users\katjo\OneDrive\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,4,4,C:/Users/katjo/OneDrive/Desktop/KJ-subject-2 41M.csv,legacy,Melodramatic Milgram,4.0.5,0,h,NA,h,NA,NA,h,821,NA,27622,NA,NA,821,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,31875,NA,NA,NA,38953,4252,NA,36121,4243,NA,39980,NA,40081,40903,39978,40081,Flanker Task Lab 2.1,4,3796,5,1024
83,83,738,738,#000000,legacy,legacy,legacy,incongruent,1,undefined,1,s,0,0,0,0,5,0,0,5,0,5,5,0,5,5,5,5,Thu Sep 21 14:50:55 2023,1500,The main experiment item,FALSE,FlankerTaskLab21.osexp,C:\Users\katjo\OneDrive\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,5,5,C:/Users/katjo/OneDrive/Desktop/KJ-subject-2 41M.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,h,NA,NA,s,633,NA,27622,NA,NA,633,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,31875,NA,NA,NA,40930,4252,NA,36121,4243,NA,41961,NA,42061,42695,41960,42061,Flanker Task Lab 2.1,5,4429,6,1024
85,85,707,707,#000000,legacy,legacy,legacy,congruent,1,undefined,1,h,0,0,0,0,6,0,0,6,0,6,6,0,6,6,6,6,Thu Sep 21 14:50:55 2023,1500,The main experiment item,FALSE,FlankerTaskLab21.osexp,C:\Users\katjo\OneDrive\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,6,6,C:/Users/katjo/OneDrive/Desktop/KJ-subject-2 41M.csv,legacy,Melodramatic Milgram,4.0.5,0,h,NA,h,NA,NA,h,523,NA,27622,NA,NA,523,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,31875,NA,NA,NA,42722,4252,NA,36121,4243,NA,43765,NA,43866,44389,43764,43866,Flanker Task Lab 2.1,6,4952,7,1024
87,87,715,715,#000000,legacy,legacy,legacy,incongruent,1,undefined,1,s,0,0,0,0,7,0,0,7,0,7,7,0,7,7,7,7,Thu Sep 21 14:50:55 2023,1500,The main experiment item,FALSE,FlankerTaskLab21.osexp,C:\Users\katjo\OneDrive\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,7,7,C:/Users/katjo/OneDrive/Desktop/KJ-subject-2 41M.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,h,NA,NA,s,772,NA,27622,NA,NA,772,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,31875,NA,NA,NA,44416,4252,NA,36121,4243,NA,45460,NA,45561,46333,45459,45561,Flanker Task Lab 2.1,7,5724,8,1024
88,88,702,702,#000000,legacy,legacy,legacy,congruent,1,undefined,1,s,0,0,0,0,8,0,0,8,0,8,8,0,8,8,8,8,Thu Sep 21 14:50:55 2023,1500,The main experiment item,FALSE,FlankerTaskLab21.osexp,C:\Users\katjo\OneDrive\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,8,8,C:/Users/katjo/OneDrive/Desktop/KJ-subject-2 41M.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,h,NA,NA,s,601,NA,27622,NA,NA,601,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,31875,NA,NA,NA,46341,4252,NA,36121,4243,NA,47374,NA,47476,48077,47373,47475,Flanker Task Lab 2.1,8,6325,9,1024
90,90,682,682,#000000,legacy,legacy,legacy,congruent,1,undefined,1,h,0,0,0,0,9,0,0,9,0,9,9,0,9,9,9,9,Thu Sep 21 14:50:55 2023,1500,The main experiment item,FALSE,FlankerTaskLab21.osexp,C:\Users\katjo\OneDrive\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,9,9,C:/Users/katjo/OneDrive/Desktop/KJ-subject-2 41M.csv,legacy,Melodramatic Milgram,4.0.5,0,h,NA,h,NA,NA,h,497,NA,27622,NA,NA,497,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,31875,NA,NA,NA,48085,4252,NA,36121,4243,NA,49129,NA,49230,49728,49128,49230,Flanker Task Lab 2.1,9,6822,10,1024
