"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_ISI","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ISI","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1311","1311","#800080","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sat Sep 26 11:01:02 2020","1500","The main experiment item","yes","FlankerTaskLab.osexp","/Users/Arianna/Desktop","no","sans","no","18","no","white","no","yes","768","legacy","0","0","/Users/Arianna/Desktop/AG-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","1311","NA","39393","NA","NA","1311","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","42898","NA","NA","NA","NA","3458","NA","NA","42975","3473","NA","NA","43090","44403","42960","43090","Flanker Task Lab 2.1","1","1311","1","yes","1024"
"100","100","890.5","890.5","#800080","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","1","1","0","1","0","1","0","0","0","1","1","1","1","Sat Sep 26 11:01:02 2020","1500","The main experiment item","yes","FlankerTaskLab.osexp","/Users/Arianna/Desktop","no","sans","no","18","no","white","no","yes","768","legacy","1","1","/Users/Arianna/Desktop/AG-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","470","NA","39393","NA","NA","470","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","42898","NA","NA","44433","NA","3458","NA","NA","45543","3473","NA","NA","45666","46137","45526","45665","Flanker Task Lab 2.1","2","1781","2","yes","1024"
"100","100","774","774","#800080","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","2","2","0","2","0","2","0","0","0","2","2","2","2","Sat Sep 26 11:01:02 2020","1500","The main experiment item","yes","FlankerTaskLab.osexp","/Users/Arianna/Desktop","no","sans","no","18","no","white","no","yes","768","legacy","2","2","/Users/Arianna/Desktop/AG-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","541","NA","39393","NA","NA","541","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","42898","NA","NA","46170","NA","3458","NA","NA","47260","3473","NA","NA","47379","47921","47247","47379","Flanker Task Lab 2.1","3","2322","3","yes","1024"
"100","100","691.5","691.5","#800080","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","3","3","0","3","0","3","0","0","0","3","3","3","3","Sat Sep 26 11:01:02 2020","1500","The main experiment item","yes","FlankerTaskLab.osexp","/Users/Arianna/Desktop","no","sans","no","18","no","white","no","yes","768","legacy","3","3","/Users/Arianna/Desktop/AG-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","444","NA","39393","NA","NA","444","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","42898","NA","NA","47947","NA","3458","NA","NA","49035","3473","NA","NA","49150","49595","49021","49150","Flanker Task Lab 2.1","4","2766","4","yes","1024"
"100","100","699.8","699.8","#800080","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","4","4","0","4","0","4","0","0","0","4","4","4","4","Sat Sep 26 11:01:02 2020","1500","The main experiment item","yes","FlankerTaskLab.osexp","/Users/Arianna/Desktop","no","sans","no","18","no","white","no","yes","768","legacy","4","4","/Users/Arianna/Desktop/AG-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","733","NA","39393","NA","NA","733","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","42898","NA","NA","49611","NA","3458","NA","NA","50697","3473","NA","NA","50813","51547","50683","50813","Flanker Task Lab 2.1","5","3499","5","yes","1024"
"100","100","708.6666666666666","708.6666666666666","#800080","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","5","5","0","5","0","5","0","0","0","5","5","5","5","Sat Sep 26 11:01:02 2020","1500","The main experiment item","yes","FlankerTaskLab.osexp","/Users/Arianna/Desktop","no","sans","no","18","no","white","no","yes","768","legacy","5","5","/Users/Arianna/Desktop/AG-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","753","NA","39393","NA","NA","753","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","42898","NA","NA","51575","NA","3458","NA","NA","52661","3473","NA","NA","52778","53532","52648","52778","Flanker Task Lab 2.1","6","4252","6","yes","1024"
"100","100","674.4285714285714","674.4285714285714","#800080","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","6","6","0","6","0","6","0","0","0","6","6","6","6","Sat Sep 26 11:01:02 2020","1500","The main experiment item","yes","FlankerTaskLab.osexp","/Users/Arianna/Desktop","no","sans","no","18","no","white","no","yes","768","legacy","6","6","/Users/Arianna/Desktop/AG-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","469","NA","39393","NA","NA","469","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","42898","NA","NA","53560","NA","3458","NA","NA","54646","3473","NA","NA","54766","55237","54633","54766","Flanker Task Lab 2.1","7","4721","7","yes","1024"
"100","100","664","664","#800080","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","7","7","0","7","0","7","0","0","0","7","7","7","7","Sat Sep 26 11:01:02 2020","1500","The main experiment item","yes","FlankerTaskLab.osexp","/Users/Arianna/Desktop","no","sans","no","18","no","white","no","yes","768","legacy","7","7","/Users/Arianna/Desktop/AG-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","591","NA","39393","NA","NA","591","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","42898","NA","NA","55255","NA","3458","NA","NA","56340","3473","NA","NA","56455","57048","56326","56455","Flanker Task Lab 2.1","8","5312","8","yes","1024"
"100","100","666.2222222222222","666.2222222222222","#800080","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","8","8","0","8","0","8","0","0","0","8","8","8","8","Sat Sep 26 11:01:02 2020","1500","The main experiment item","yes","FlankerTaskLab.osexp","/Users/Arianna/Desktop","no","sans","no","18","no","white","no","yes","768","legacy","8","8","/Users/Arianna/Desktop/AG-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","684","NA","39393","NA","NA","684","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","42898","NA","NA","57072","NA","3458","NA","NA","58157","3473","NA","NA","58275","58960","58144","58275","Flanker Task Lab 2.1","9","5996","9","yes","1024"
"100","100","668.8","668.8","#800080","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","9","9","0","9","0","9","0","0","0","9","9","9","9","Sat Sep 26 11:01:02 2020","1500","The main experiment item","yes","FlankerTaskLab.osexp","/Users/Arianna/Desktop","no","sans","no","18","no","white","no","yes","768","legacy","9","9","/Users/Arianna/Desktop/AG-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","692","NA","39393","NA","NA","692","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","42898","NA","NA","58987","NA","3458","NA","NA","60073","3473","NA","NA","60191","60884","60057","60191","Flanker Task Lab 2.1","10","6688","10","yes","1024"
