"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_Instructions1","correct_Keyboard_Response","correct_response","count_ErrorFeedback","count_FasterFeedback","count_Finish","count_Fixation","count_ISI","count_Instructions1","count_Instructions2","count_Instructions3","count_Keyboard_Response","count_Logger","count_Sequence","count_Stimulus","count_block1","count_block2","count_block3","count_experiment","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finish","response_Instructions1","response_Instructions2","response_Instructions3","response_Keyboard_Response","response_time","response_time_Finish","response_time_Instructions1","response_time_Instructions2","response_time_Instructions3","response_time_Keyboard_Response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_ErrorFeedback","time_FasterFeedback","time_Finish","time_Fixation","time_ISI","time_Instructions1","time_Instructions2","time_Instructions3","time_Keyboard_Response","time_Logger","time_Sequence","time_Stimulus","time_block1","time_block2","time_block3","time_experiment","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","881","881","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09/25/22 20:44:12","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/saudm/OneDrive/Desktop/MK-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","s","NA","NA","s","881","NA","29463","NA","NA","881","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","NA","NA","NA","31837","NA","2304","NA","NA","31942","32823","31836","31939","31779","NA","NA","2299","Flanker Task ","1","881","1","yes","1024"
"100","100","947","947","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","1","1","0","1","1","0","0","0","1","1","1","1","0","0","0","0","09/25/22 20:44:12","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/saudm/OneDrive/Desktop/MK-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","s","NA","NA","s","1013","NA","29463","NA","NA","1013","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","NA","NA","NA","33874","32838","2304","NA","NA","33975","34990","33873","33975","31779","NA","NA","2299","Flanker Task ","2","1894","2","yes","1024"
"100","100","817.666666667","817.666666667","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","2","2","0","2","2","0","0","0","2","2","2","2","0","0","0","0","09/25/22 20:44:12","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/saudm/OneDrive/Desktop/MK-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","s","NA","NA","h","559","NA","29463","NA","NA","559","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","NA","NA","NA","36039","35001","2304","NA","NA","36142","36701","36038","36141","31779","NA","NA","2299","Flanker Task ","3","2453","3","yes","1024"
"100","100","741","741","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","3","3","0","3","3","0","0","0","3","3","3","3","0","0","0","0","09/25/22 20:44:12","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/saudm/OneDrive/Desktop/MK-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","s","NA","NA","h","511","NA","29463","NA","NA","511","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","NA","NA","NA","37749","36714","2304","NA","NA","37849","38361","37748","37849","31779","NA","NA","2299","Flanker Task ","4","2964","4","yes","1024"
"100","100","706.6","706.6","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","4","4","0","4","4","0","0","0","4","4","4","4","0","0","0","0","09/25/22 20:44:12","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/saudm/OneDrive/Desktop/MK-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","s","NA","NA","s","569","NA","29463","NA","NA","569","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","NA","NA","NA","39433","38366","2304","NA","NA","39534","40103","39430","39534","31779","NA","NA","2299","Flanker Task ","5","3533","5","yes","1024"
"100","100","670","670","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","5","5","0","5","5","0","0","0","5","5","5","5","0","0","0","0","09/25/22 20:44:12","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/saudm/OneDrive/Desktop/MK-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","s","NA","NA","h","487","NA","29463","NA","NA","487","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","NA","NA","NA","41156","40108","2304","NA","NA","41257","41744","41154","41257","31779","NA","NA","2299","Flanker Task ","6","4020","6","yes","1024"
"100","100","642.428571429","642.428571429","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","6","6","0","6","6","0","0","0","6","6","6","6","0","0","0","0","09/25/22 20:44:12","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/saudm/OneDrive/Desktop/MK-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","s","NA","NA","h","477","NA","29463","NA","NA","477","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","NA","NA","NA","42802","41747","2304","NA","NA","42903","43380","42800","42903","31779","NA","NA","2299","Flanker Task ","7","4497","7","yes","1024"
"100","100","640.875","640.875","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","7","7","0","7","7","0","0","0","7","7","7","7","0","0","0","0","09/25/22 20:44:12","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/saudm/OneDrive/Desktop/MK-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","s","NA","NA","s","630","NA","29463","NA","NA","630","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","NA","NA","NA","44443","43384","2304","NA","NA","44544","45175","44441","44544","31779","NA","NA","2299","Flanker Task ","8","5127","8","yes","1024"
"100","100","614.666666667","614.666666667","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","8","8","0","8","8","0","0","0","8","8","8","8","0","0","0","0","09/25/22 20:44:12","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/saudm/OneDrive/Desktop/MK-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","s","NA","NA","s","405","NA","29463","NA","NA","405","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","NA","NA","NA","46226","45178","2304","NA","NA","46327","46732","46224","46327","31779","NA","NA","2299","Flanker Task ","9","5532","9","yes","1024"
"100","100","591.7","591.7","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","9","9","0","9","9","0","0","0","9","9","9","9","0","0","0","0","09/25/22 20:44:12","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/saudm/OneDrive/Desktop/MK-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","s","NA","NA","s","385","NA","29463","NA","NA","385","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","NA","NA","NA","47787","46735","2304","NA","NA","47888","48273","47785","47888","31779","NA","NA","2299","Flanker Task ","10","5917","10","yes","1024"
