acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instructions1,correct_keyboard_response,correct_response,count_Faster,count_ISI,count_Instructions1,count_Instructions2,count_Instructions3,count_Stimulus,count_block1,count_block2,count_block3,count_errorFeedback,count_experiment,count_finish,count_fixation,count_keyboard_response,count_new_logger,count_sequence,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Instructions1,response_Instructions2,response_Instructions3,response_finish,response_keyboard_response,response_time,response_time_Instructions1,response_time_Instructions2,response_time_Instructions3,response_time_finish,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Faster,time_ISI,time_Instructions1,time_Instructions2,time_Instructions3,time_Stimulus,time_block1,time_block2,time_block3,time_errorFeedback,time_experiment,time_finish,time_fixation,time_keyboard_response,time_new_logger,time_sequence,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,880,880,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/28/19 13:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,no,768,legacy,0,0,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,h,NA,NA,NA,h,880,39902,NA,NA,NA,880,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,NA,NA,2536,NA,NA,42821,42439,NA,NA,NA,2531,NA,42718,42821,43701,42716,Flanker Task,1,880,1,yes,1024
100,100,773.5,773.5,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,9/28/19 13:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,no,768,legacy,1,1,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,h,NA,NA,NA,h,667,39902,NA,NA,NA,667,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,NA,43753,2536,NA,NA,44953,42439,NA,NA,NA,2531,NA,44849,44954,45621,44846,Flanker Task,2,1547,2,yes,1024
100,100,684.3333333,684.3333333,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,2,2,0,0,0,2,0,0,0,2,0,0,2,2,2,2,9/28/19 13:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,no,768,legacy,2,2,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,h,NA,NA,NA,h,506,39902,NA,NA,NA,506,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,NA,45654,2536,NA,NA,46867,42439,NA,NA,NA,2531,NA,46762,46867,47373,46759,Flanker Task,3,2053,3,yes,1024
100,100,664,664,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,3,3,0,0,0,3,0,0,0,3,0,0,3,3,3,3,9/28/19 13:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,no,768,legacy,3,3,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,h,NA,NA,NA,s,603,39902,NA,NA,NA,603,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,NA,47403,2536,NA,NA,48610,42439,NA,NA,NA,2531,NA,48505,48610,49214,48502,Flanker Task,4,2656,4,yes,1024
100,100,646,646,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,4,4,0,0,0,4,0,0,0,4,0,0,4,4,4,4,9/28/19 13:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,no,768,legacy,4,4,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,h,NA,NA,NA,h,574,39902,NA,NA,NA,574,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,NA,49272,2536,NA,NA,50462,42439,NA,NA,NA,2531,NA,50357,50463,51038,50354,Flanker Task,5,3230,5,yes,1024
100,100,671.3333333,671.3333333,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,5,5,0,0,0,5,0,0,0,5,0,0,5,5,5,5,9/28/19 13:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,no,768,legacy,5,5,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,h,NA,NA,NA,s,798,39902,NA,NA,NA,798,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,NA,51063,2536,NA,NA,52271,42439,NA,NA,NA,2531,NA,52166,52271,53070,52163,Flanker Task,6,4028,6,yes,1024
100,100,646,646,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,6,6,0,0,0,6,0,0,0,6,0,0,6,6,6,6,9/28/19 13:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,no,768,legacy,6,6,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,h,NA,NA,NA,h,494,39902,NA,NA,NA,494,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,NA,53105,2536,NA,NA,54311,42439,NA,NA,NA,2531,NA,54205,54311,54806,54202,Flanker Task,7,4522,7,yes,1024
100,100,641.875,641.875,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,7,7,0,0,0,7,0,0,0,7,0,0,7,7,7,7,9/28/19 13:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,no,768,legacy,7,7,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,h,NA,NA,NA,h,613,39902,NA,NA,NA,613,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,NA,54838,2536,NA,NA,56048,42439,NA,NA,NA,2531,NA,55943,56048,56662,55940,Flanker Task,8,5135,8,yes,1024
100,100,639.1111111,639.1111111,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,8,8,0,0,0,8,0,0,0,8,0,0,8,8,8,8,9/28/19 13:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,no,768,legacy,8,8,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,h,NA,NA,NA,s,617,39902,NA,NA,NA,617,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,NA,56680,2536,NA,NA,57884,42439,NA,NA,NA,2531,NA,57779,57884,58501,57776,Flanker Task,9,5752,9,yes,1024
100,100,634.3,634.3,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,9,9,0,0,0,9,0,0,0,9,0,0,9,9,9,9,9/28/19 13:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,no,768,legacy,9,9,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,h,NA,NA,NA,s,591,39902,NA,NA,NA,591,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,NA,58530,2536,NA,NA,59742,42439,NA,NA,NA,2531,NA,59637,59742,60334,59634,Flanker Task,10,6343,10,yes,1024
100,100,623.5454545,623.5454545,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,10,10,0,0,0,10,0,0,0,10,0,0,10,10,10,10,9/28/19 13:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,no,768,legacy,10,10,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,h,NA,NA,NA,h,516,39902,NA,NA,NA,516,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,NA,60364,2536,NA,NA,61569,42439,NA,NA,NA,2531,NA,61464,61569,62086,61461,Flanker Task,11,6859,11,yes,1024
100,100,623.0833333,623.0833333,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,11,11,0,0,0,11,0,0,0,11,0,0,11,11,11,11,9/28/19 13:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,no,768,legacy,11,11,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,h,NA,NA,NA,h,618,39902,NA,NA,NA,618,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,NA,62114,2536,NA,NA,63315,42439,NA,NA,NA,2531,NA,63212,63315,63934,63209,Flanker Task,12,7477,12,yes,1024
100,100,618.8461538,618.8461538,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,12,12,0,0,0,12,0,0,0,12,0,0,12,12,12,12,9/28/19 13:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,no,768,legacy,12,12,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,h,NA,NA,NA,h,568,39902,NA,NA,NA,568,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,NA,63964,2536,NA,NA,65173,42439,NA,NA,NA,2531,NA,65068,65173,65741,65065,Flanker Task,13,8045,13,yes,1024
100,100,610.4285714,610.4285714,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,13,13,0,0,0,13,0,0,0,13,0,0,13,13,13,13,9/28/19 13:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,no,768,legacy,13,13,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,h,NA,NA,NA,h,501,39902,NA,NA,NA,501,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,NA,65773,2536,NA,NA,66960,42439,NA,NA,NA,2531,NA,66855,66960,67461,66852,Flanker Task,14,8546,14,yes,1024
100,100,608.4,608.4,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,14,14,0,0,0,14,0,0,0,14,0,0,14,14,14,14,9/28/19 13:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,no,768,legacy,14,14,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,h,NA,NA,NA,s,580,39902,NA,NA,NA,580,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,NA,67489,2536,NA,NA,68729,42439,NA,NA,NA,2531,NA,68623,68729,69309,68620,Flanker Task,15,9126,15,yes,1024
100,100,607,607,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,15,15,0,0,0,15,0,0,0,15,0,0,15,15,15,15,9/28/19 13:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,no,768,legacy,15,15,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,h,NA,NA,NA,s,586,39902,NA,NA,NA,586,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,NA,69339,2536,NA,NA,70547,42439,NA,NA,NA,2531,NA,70442,70547,71133,70439,Flanker Task,16,9712,16,yes,1024
100,100,608.3529412,608.3529412,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,16,16,0,0,0,16,0,0,0,16,0,0,16,16,16,16,9/28/19 13:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,no,768,legacy,16,16,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,h,NA,NA,NA,h,630,39902,NA,NA,NA,630,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,NA,71156,2536,NA,NA,72351,42439,NA,NA,NA,2531,NA,72246,72351,72981,72243,Flanker Task,17,10342,17,yes,1024
100,100,602,602,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,17,17,0,0,0,17,0,0,0,17,0,0,17,17,17,17,9/28/19 13:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,no,768,legacy,17,17,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,h,NA,NA,NA,h,494,39902,NA,NA,NA,494,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,NA,73015,2536,NA,NA,74223,42439,NA,NA,NA,2531,NA,74121,74223,74717,74118,Flanker Task,18,10836,18,yes,1024
100,100,599.0526316,599.0526316,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,18,18,0,0,0,18,0,0,0,18,0,0,18,18,18,18,9/28/19 13:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,no,768,legacy,18,18,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,h,NA,NA,NA,s,546,39902,NA,NA,NA,546,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,NA,74748,2536,NA,NA,75931,42439,NA,NA,NA,2531,NA,75825,75931,76478,75822,Flanker Task,19,11382,19,yes,1024
100,100,593.25,593.25,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,19,19,0,0,0,19,0,0,0,19,0,0,19,19,19,19,9/28/19 13:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,no,768,legacy,19,19,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,h,NA,NA,NA,h,483,39902,NA,NA,NA,483,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,NA,76507,2536,NA,NA,77714,42439,NA,NA,NA,2531,NA,77608,77714,78198,77605,Flanker Task,20,11865,20,yes,1024
