"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","condition","correct","correct_Instructions1","correct_keyboard_response","correct_response","count_Faster","count_Finish","count_ISI","count_Instructions1","count_Instructions2","count_Instructions3","count_block1","count_block2","count_block3","count_errorFeedback","count_experiment","count_fixation","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finish","response_Instructions1","response_Instructions2","response_Instructions3","response_keyboard_response","response_time","response_time_Finish","response_time_Instructions1","response_time_Instructions2","response_time_Instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Faster","time_Finish","time_ISI","time_Instructions1","time_Instructions2","time_Instructions3","time_block1","time_block2","time_block3","time_errorFeedback","time_experiment","time_fixation","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","width"
"100","100","1380","1380","black","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sat Sep 23 12:45:41 2023","1500","The main experiment item","True","FlankerTask.osexp","/Users/baileymcwhirter/Downloads","False","mono","False","18","no","white","no","yes","768","legacy","0","0","/Users/baileymcwhirter/Downloads/BMsubject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","NA","NA","h","1380.0","NA","45743","NA","NA","1380","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","NA","NA","NA","1130","NA","NA","46880","NA","NA","NA","1081","46919","47022","48408","46915","47022","Flanker Task","1","1380.0","1","1024"
"50","50","907","907","black","legacy","legacy","legacy","incongruent","0","undefined","0","h","1","0","1","0","0","0","0","0","0","1","0","1","1","1","1","1","Sat Sep 23 12:45:41 2023","1500","The main experiment item","True","FlankerTask.osexp","/Users/baileymcwhirter/Downloads","False","mono","False","18","no","white","no","yes","768","legacy","1","1","/Users/baileymcwhirter/Downloads/BMsubject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","NA","NA","s","434.0","NA","45743","NA","NA","434","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","NA","NA","48414","1130","NA","NA","46880","NA","NA","NA","1081","49448","49550","49984","49446","49550","Flanker Task","1","1814.0","2","1024"
"66","66","994","994","black","legacy","legacy","legacy","congruent","1","undefined","1","h","2","0","2","0","0","0","0","0","0","2","0","2","2","2","2","2","Sat Sep 23 12:45:41 2023","1500","The main experiment item","True","FlankerTask.osexp","/Users/baileymcwhirter/Downloads","False","mono","False","18","no","white","no","yes","768","legacy","2","2","/Users/baileymcwhirter/Downloads/BMsubject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","NA","NA","h","1170.0","NA","45743","NA","NA","1170","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","NA","NA","50489","1130","NA","NA","46880","NA","NA","49987","1081","51526","51629","52800","51525","51629","Flanker Task","2","2984.0","3","1024"
"75","75","906","906","black","legacy","legacy","legacy","congruent","1","undefined","1","h","3","0","3","0","0","0","0","0","0","3","0","3","3","3","3","3","Sat Sep 23 12:45:41 2023","1500","The main experiment item","True","FlankerTask.osexp","/Users/baileymcwhirter/Downloads","False","mono","False","18","no","white","no","yes","768","legacy","3","3","/Users/baileymcwhirter/Downloads/BMsubject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","NA","NA","h","640.0","NA","45743","NA","NA","640","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","NA","NA","52802","1130","NA","NA","46880","NA","NA","49987","1081","53837","53939","54580","53834","53939","Flanker Task","3","3624.0","4","1024"
"80","80","867","867","black","legacy","legacy","legacy","congruent","1","undefined","1","s","4","0","4","0","0","0","0","0","0","4","0","4","4","4","4","4","Sat Sep 23 12:45:41 2023","1500","The main experiment item","True","FlankerTask.osexp","/Users/baileymcwhirter/Downloads","False","mono","False","18","no","white","no","yes","768","legacy","4","4","/Users/baileymcwhirter/Downloads/BMsubject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","NA","NA","s","714.0","NA","45743","NA","NA","714","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","NA","NA","54582","1130","NA","NA","46880","NA","NA","49987","1081","55616","55718","56432","55614","55718","Flanker Task","4","4338.0","5","1024"
"83","83","889","889","black","legacy","legacy","legacy","congruent","1","undefined","1","h","5","0","5","0","0","0","0","0","0","5","0","5","5","5","5","5","Sat Sep 23 12:45:41 2023","1500","The main experiment item","True","FlankerTask.osexp","/Users/baileymcwhirter/Downloads","False","mono","False","18","no","white","no","yes","768","legacy","5","5","/Users/baileymcwhirter/Downloads/BMsubject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","NA","NA","h","1000.0","NA","45743","NA","NA","1000","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","NA","NA","56435","1130","NA","NA","46880","NA","NA","49987","1081","57478","57580","58580","57476","57580","Flanker Task","5","5338.0","6","1024"
"85","85","872","872","black","legacy","legacy","legacy","incongruent","1","undefined","1","s","6","0","6","0","0","0","0","0","0","6","0","6","6","6","6","6","Sat Sep 23 12:45:41 2023","1500","The main experiment item","True","FlankerTask.osexp","/Users/baileymcwhirter/Downloads","False","mono","False","18","no","white","no","yes","768","legacy","6","6","/Users/baileymcwhirter/Downloads/BMsubject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","NA","NA","s","771.0","NA","45743","NA","NA","771","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","NA","NA","58583","1130","NA","NA","46880","NA","NA","49987","1081","59621","59723","60495","59619","59723","Flanker Task","6","6109.0","7","1024"
"87","87","849","849","black","legacy","legacy","legacy","congruent","1","undefined","1","h","7","0","7","0","0","0","0","0","0","7","0","7","7","7","7","7","Sat Sep 23 12:45:41 2023","1500","The main experiment item","True","FlankerTask.osexp","/Users/baileymcwhirter/Downloads","False","mono","False","18","no","white","no","yes","768","legacy","7","7","/Users/baileymcwhirter/Downloads/BMsubject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","NA","NA","h","689.0","NA","45743","NA","NA","689","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","NA","NA","60498","1130","NA","NA","46880","NA","NA","49987","1081","61533","61635","62325","61531","61635","Flanker Task","7","6798.0","8","1024"
"88","88","839","839","black","legacy","legacy","legacy","incongruent","1","undefined","1","s","8","0","8","0","0","0","0","0","0","8","0","8","8","8","8","8","Sat Sep 23 12:45:41 2023","1500","The main experiment item","True","FlankerTask.osexp","/Users/baileymcwhirter/Downloads","False","mono","False","18","no","white","no","yes","768","legacy","8","8","/Users/baileymcwhirter/Downloads/BMsubject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","NA","NA","s","759.0","NA","45743","NA","NA","759","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","NA","NA","62327","1130","NA","NA","46880","NA","NA","49987","1081","63357","63459","64219","63355","63459","Flanker Task","8","7557.0","9","1024"
"90","90","834","834","black","legacy","legacy","legacy","congruent","1","undefined","1","s","9","0","9","0","0","0","0","0","0","9","0","9","9","9","9","9","Sat Sep 23 12:45:41 2023","1500","The main experiment item","True","FlankerTask.osexp","/Users/baileymcwhirter/Downloads","False","mono","False","18","no","white","no","yes","768","legacy","9","9","/Users/baileymcwhirter/Downloads/BMsubject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","NA","NA","s","784.0","NA","45743","NA","NA","784","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","NA","NA","64222","1130","NA","NA","46880","NA","NA","49987","1081","65252","65354","66139","65250","65354","Flanker Task","9","8341.0","10","1024"
