Stimulus,acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block3,count_ErrorFeedback,count_ISI,count_Logger,count_block1,count_block2,count_experiment,count_faster,count_finish,count_fixation,count_instruction2,count_instructions1,count_instructions3,count_keyboard_response,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instruction2,response_instructions1,response_instructions3,response_keyboard_response,response_time,response_time_finish,response_time_instruction2,response_time_instructions1,response_time_instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,time_Block3,time_ErrorFeedback,time_ISI,time_Logger,time_block1,time_block2,time_experiment,time_faster,time_finish,time_fixation,time_instruction2,time_instructions1,time_instructions3,time_keyboard_response,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
SSHSS,0,0,669,669,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat Sep 19 00:49:20 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Owner\Documents,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/Owner/Documents/KMPsubject-4.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,669,NA,NA,578,NA,669,2,legacy,1024,2,48000,-16,experiment,4,even,NA,NA,NA,5206,4372,NA,3788,NA,NA,4432,NA,3793,NA,4536,4431,4536,Flanker Test,0,669,1,yes,1024
SSSSS,50,50,565,565,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,Sat Sep 19 00:49:20 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Owner\Documents,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/Owner/Documents/KMPsubject-4.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,461,NA,NA,578,NA,461,2,legacy,1024,2,48000,-16,experiment,4,even,NA,5211,5716,7398,4372,NA,3788,NA,NA,6835,NA,3793,NA,6936,6833,6936,Flanker Test,1,1130,2,yes,1024
SSSSS,66.66666667,66.66666667,512.6666667,512.6666667,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,2,2,2,0,0,0,2,0,2,0,0,0,2,2,2,Sat Sep 19 00:49:20 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Owner\Documents,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/Owner/Documents/KMPsubject-4.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,408,NA,NA,578,NA,408,2,legacy,1024,2,48000,-16,experiment,4,even,NA,5211,7401,9017,4372,NA,3788,NA,NA,8506,NA,3793,NA,8607,8505,8607,Flanker Test,2,1538,3,yes,1024
SSSSS,75,75,477,477,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,3,3,3,0,0,0,3,0,3,0,0,0,3,3,3,Sat Sep 19 00:49:20 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Owner\Documents,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/Owner/Documents/KMPsubject-4.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,370,NA,NA,578,NA,370,2,legacy,1024,2,48000,-16,experiment,4,even,NA,5211,9020,10585,4372,NA,3788,NA,NA,10113,NA,3793,NA,10215,10112,10214,Flanker Test,3,1908,4,yes,1024
HHSHH,80,80,480.4,480.4,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,4,4,4,0,0,0,4,0,4,0,0,0,4,4,4,Sat Sep 19 00:49:20 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Owner\Documents,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/Owner/Documents/KMPsubject-4.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,494,NA,NA,578,NA,494,2,legacy,1024,2,48000,-16,experiment,4,even,NA,5211,10589,12307,4372,NA,3788,NA,NA,11708,NA,3793,NA,11812,11706,11812,Flanker Test,4,2402,5,yes,1024
HHSHH,83.33333333,83.33333333,471.5,471.5,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,5,5,5,0,0,0,5,0,5,0,0,0,5,5,5,Sat Sep 19 00:49:20 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Owner\Documents,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/Owner/Documents/KMPsubject-4.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,427,NA,NA,578,NA,427,2,legacy,1024,2,48000,-16,experiment,4,even,NA,5211,12310,13930,4372,NA,3788,NA,NA,13399,NA,3793,NA,13502,13398,13502,Flanker Test,5,2829,6,yes,1024
HHHHH,85.71428571,85.71428571,455.4285714,455.4285714,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,6,6,6,0,0,0,6,0,6,0,0,0,6,6,6,Sat Sep 19 00:49:20 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Owner\Documents,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/Owner/Documents/KMPsubject-4.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,NA,s,NA,h,359,NA,NA,578,NA,359,2,legacy,1024,2,48000,-16,experiment,4,even,NA,5211,13935,15505,4372,NA,3788,NA,NA,15042,NA,3793,NA,15145,15040,15145,Flanker Test,6,3188,7,yes,1024
HHHHH,75,75,439.625,439.625,black,legacy,legacy,legacy,0,congruent,uniform,0,undefined,0,h,0,7,7,7,0,0,0,7,0,7,0,0,0,7,7,7,Sat Sep 19 00:49:20 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Owner\Documents,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/Owner/Documents/KMPsubject-4.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,329,NA,NA,578,NA,329,2,legacy,1024,2,48000,-16,experiment,4,even,NA,5211,15508,17002,4372,NA,3788,NA,NA,16569,NA,3793,NA,16672,16567,16672,Flanker Test,6,3517,8,yes,1024
HHHHH,66.66666667,66.66666667,425.8888889,425.8888889,black,legacy,legacy,legacy,0,congruent,uniform,0,undefined,0,h,0,8,8,8,0,0,0,8,0,8,0,0,0,8,8,8,Sat Sep 19 00:49:20 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Owner\Documents,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/Owner/Documents/KMPsubject-4.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,316,NA,NA,578,NA,316,2,legacy,1024,2,48000,-16,experiment,4,even,NA,17005,17509,19037,4372,NA,3788,NA,NA,18619,NA,3793,NA,18720,18617,18720,Flanker Test,6,3833,9,yes,1024
SSHSS,60,60,415.8,415.8,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,h,0,9,9,9,0,0,0,9,0,9,0,0,0,9,9,9,Sat Sep 19 00:49:20 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Owner\Documents,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/Owner/Documents/KMPsubject-4.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,325,NA,NA,578,NA,325,2,legacy,1024,2,48000,-16,experiment,4,even,NA,19040,19544,21098,4372,NA,3788,NA,NA,20668,NA,3793,NA,20771,20667,20771,Flanker Test,6,4158,10,yes,1024
