"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","condition","correct","correct_Instructions1","correct_Keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_ErrorFeedback","count_Faster","count_Finish","count_Fixation","count_ISI","count_Instructions1","count_Instructions2","count_Instructions3","count_Keyboard_response","count_Logger","count_Sequence","count_Stimulus","count_experiment","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finish","response_Instructions1","response_Instructions2","response_Instructions3","response_Keyboard_response","response_time","response_time_Finish","response_time_Instructions1","response_time_Instructions2","response_time_Instructions3","response_time_Keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ErrorFeedback","time_Faster","time_Finish","time_Fixation","time_ISI","time_Instructions1","time_Instructions2","time_Instructions3","time_Keyboard_response","time_Logger","time_Sequence","time_Stimulus","time_experiment","title","total_correct","total_response_time","total_responses","width"
"100","100","594","594","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Thu Sep 21 13:42:57 2023","1500","The main experiment item","False","FlankerEffectTest.osexp","C:\Users\stcka\OneDrive\Sam Docs\Psychology Program\AP Textbooks\Quantitative Methods","False","mono","False","18","no","white","no","yes","768","legacy","0","0","C:/Users/stcka/OneDrive/Sam Docs/Psychology Program/AP Textbooks/Quantitative Methods/SA-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","s","NA","NA","s","594.0","NA","351585","NA","NA","594","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","353348","NA","NA","NA","NA","NA","353390","NA","1762","NA","NA","353491","354087","353389","353490","1760","Flanker Effect Test","1","594.0","1","1024"
"100","100","603","603","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","1","1","0","1","1","0","0","0","1","1","1","1","0","Thu Sep 21 13:42:57 2023","1500","The main experiment item","False","FlankerEffectTest.osexp","C:\Users\stcka\OneDrive\Sam Docs\Psychology Program\AP Textbooks\Quantitative Methods","False","mono","False","18","no","white","no","yes","768","legacy","1","1","C:/Users/stcka/OneDrive/Sam Docs/Psychology Program/AP Textbooks/Quantitative Methods/SA-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","s","NA","NA","h","612.0","NA","351585","NA","NA","612","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","353348","NA","NA","NA","NA","NA","355117","354096","1762","NA","NA","355218","355830","355115","355218","1760","Flanker Effect Test","2","1206.0","2","1024"
"100","100","602","602","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","2","2","0","2","2","0","0","0","2","2","2","2","0","Thu Sep 21 13:42:57 2023","1500","The main experiment item","False","FlankerEffectTest.osexp","C:\Users\stcka\OneDrive\Sam Docs\Psychology Program\AP Textbooks\Quantitative Methods","False","mono","False","18","no","white","no","yes","768","legacy","2","2","C:/Users/stcka/OneDrive/Sam Docs/Psychology Program/AP Textbooks/Quantitative Methods/SA-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","s","NA","NA","h","600.0","NA","351585","NA","NA","600","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","353348","NA","NA","NA","NA","NA","356863","355836","1762","NA","NA","356963","357565","356860","356963","1760","Flanker Effect Test","3","1806.0","3","1024"
"100","100","570","570","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","3","3","0","3","3","0","0","0","3","3","3","3","0","Thu Sep 21 13:42:57 2023","1500","The main experiment item","False","FlankerEffectTest.osexp","C:\Users\stcka\OneDrive\Sam Docs\Psychology Program\AP Textbooks\Quantitative Methods","False","mono","False","18","no","white","no","yes","768","legacy","3","3","C:/Users/stcka/OneDrive/Sam Docs/Psychology Program/AP Textbooks/Quantitative Methods/SA-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","s","NA","NA","h","476.0","NA","351585","NA","NA","476","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","353348","NA","NA","NA","NA","NA","358591","357570","1762","NA","NA","358692","359169","358589","358692","1760","Flanker Effect Test","4","2282.0","4","1024"
"100","100","556","556","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","4","4","0","4","4","0","0","0","4","4","4","4","0","Thu Sep 21 13:42:57 2023","1500","The main experiment item","False","FlankerEffectTest.osexp","C:\Users\stcka\OneDrive\Sam Docs\Psychology Program\AP Textbooks\Quantitative Methods","False","mono","False","18","no","white","no","yes","768","legacy","4","4","C:/Users/stcka/OneDrive/Sam Docs/Psychology Program/AP Textbooks/Quantitative Methods/SA-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","s","NA","NA","h","498.0","NA","351585","NA","NA","498","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","353348","NA","NA","NA","NA","NA","360194","359173","1762","NA","NA","360294","360793","360192","360294","1760","Flanker Effect Test","5","2780.0","5","1024"
"100","100","547","547","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","5","5","0","5","5","0","0","0","5","5","5","5","0","Thu Sep 21 13:42:57 2023","1500","The main experiment item","False","FlankerEffectTest.osexp","C:\Users\stcka\OneDrive\Sam Docs\Psychology Program\AP Textbooks\Quantitative Methods","False","mono","False","18","no","white","no","yes","768","legacy","5","5","C:/Users/stcka/OneDrive/Sam Docs/Psychology Program/AP Textbooks/Quantitative Methods/SA-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","s","NA","NA","h","505.0","NA","351585","NA","NA","505","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","353348","NA","NA","NA","NA","NA","361824","360798","1762","NA","NA","361924","362429","361821","361924","1760","Flanker Effect Test","6","3285.0","6","1024"
"100","100","547","547","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","6","6","0","6","6","0","0","0","6","6","6","6","0","Thu Sep 21 13:42:57 2023","1500","The main experiment item","False","FlankerEffectTest.osexp","C:\Users\stcka\OneDrive\Sam Docs\Psychology Program\AP Textbooks\Quantitative Methods","False","mono","False","18","no","white","no","yes","768","legacy","6","6","C:/Users/stcka/OneDrive/Sam Docs/Psychology Program/AP Textbooks/Quantitative Methods/SA-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","s","NA","NA","h","549.0","NA","351585","NA","NA","549","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","353348","NA","NA","NA","NA","NA","363455","362434","1762","NA","NA","363556","364106","363454","363556","1760","Flanker Effect Test","7","3834.0","7","1024"
"100","100","524","524","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","7","7","0","7","7","0","0","0","7","7","7","7","0","Thu Sep 21 13:42:57 2023","1500","The main experiment item","False","FlankerEffectTest.osexp","C:\Users\stcka\OneDrive\Sam Docs\Psychology Program\AP Textbooks\Quantitative Methods","False","mono","False","18","no","white","no","yes","768","legacy","7","7","C:/Users/stcka/OneDrive/Sam Docs/Psychology Program/AP Textbooks/Quantitative Methods/SA-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","s","NA","NA","s","360.0","NA","351585","NA","NA","360","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","353348","NA","NA","NA","NA","NA","365135","364111","1762","NA","NA","365236","365597","365134","365236","1760","Flanker Effect Test","8","4194.0","8","1024"
"100","100","528","528","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","0","8","8","0","8","8","0","0","0","8","8","8","8","0","Thu Sep 21 13:42:57 2023","1500","The main experiment item","False","FlankerEffectTest.osexp","C:\Users\stcka\OneDrive\Sam Docs\Psychology Program\AP Textbooks\Quantitative Methods","False","mono","False","18","no","white","no","yes","768","legacy","8","8","C:/Users/stcka/OneDrive/Sam Docs/Psychology Program/AP Textbooks/Quantitative Methods/SA-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","s","NA","NA","s","565.0","NA","351585","NA","NA","565","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","353348","NA","NA","NA","NA","NA","366629","365602","1762","NA","NA","366730","367296","366628","366730","1760","Flanker Effect Test","9","4759.0","9","1024"
"100","100","518","518","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","9","9","0","9","9","0","0","0","9","9","9","9","0","Thu Sep 21 13:42:57 2023","1500","The main experiment item","False","FlankerEffectTest.osexp","C:\Users\stcka\OneDrive\Sam Docs\Psychology Program\AP Textbooks\Quantitative Methods","False","mono","False","18","no","white","no","yes","768","legacy","9","9","C:/Users/stcka/OneDrive/Sam Docs/Psychology Program/AP Textbooks/Quantitative Methods/SA-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","s","NA","NA","s","422.0","NA","351585","NA","NA","422","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","353348","NA","NA","NA","NA","NA","368323","367301","1762","NA","NA","368424","368847","368322","368424","1760","Flanker Effect Test","10","5181.0","10","1024"
