"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_ISI","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructons3","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructons3","response_keyboard_response","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructons3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ISI","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructons3","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","489","489","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Sep 26 20:12:06 2021","1500","The main experiment item","yes","SR-FlankerTask.osexp","C:/Users/Simon M. Rook/Documents/School/1Tarleton/Classes/Adv Quant/Lab 2","no","mono","no","18","no","white","no","no","768","legacy","0","0","C:/Users/Simon M. Rook/Documents/School/1Tarleton/Classes/Adv Quant/Lab 2/flanker-data/sr-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.10","0","s","NA","s","NA","NA","s","489","NA","51055","NA","NA","489","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","52599","NA","NA","NA","NA","1540","NA","NA","52664","1543","NA","NA","52765","53254","52662","52765","Flanker Task","1","489","1","yes","1024"
"100","100","444.5","444.5","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","1","1","0","1","0","1","0","0","0","1","1","1","1","Sun Sep 26 20:12:06 2021","1500","The main experiment item","yes","SR-FlankerTask.osexp","C:/Users/Simon M. Rook/Documents/School/1Tarleton/Classes/Adv Quant/Lab 2","no","mono","no","18","no","white","no","no","768","legacy","1","1","C:/Users/Simon M. Rook/Documents/School/1Tarleton/Classes/Adv Quant/Lab 2/flanker-data/sr-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.10","0","h","NA","s","NA","NA","h","400","NA","51055","NA","NA","400","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","52599","NA","NA","53261","NA","1540","NA","NA","54314","1543","NA","NA","54415","54815","54312","54415","Flanker Task","2","889","2","yes","1024"
"66.66666666666667","66.66666666666667","409","409","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","h","0","0","0","2","2","0","2","0","2","0","0","0","2","2","2","2","Sun Sep 26 20:12:06 2021","1500","The main experiment item","yes","SR-FlankerTask.osexp","C:/Users/Simon M. Rook/Documents/School/1Tarleton/Classes/Adv Quant/Lab 2","no","mono","no","18","no","white","no","no","768","legacy","2","2","C:/Users/Simon M. Rook/Documents/School/1Tarleton/Classes/Adv Quant/Lab 2/flanker-data/sr-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.10","0","s","NA","s","NA","NA","s","338","NA","51055","NA","NA","338","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","52599","NA","NA","54818","NA","1540","NA","NA","55871","1543","NA","NA","55972","56311","55869","55972","Flanker Task","2","1227","3","yes","1024"
"75","75","462.25","462.25","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","3","3","0","3","0","3","0","0","0","3","3","3","3","Sun Sep 26 20:12:06 2021","1500","The main experiment item","yes","SR-FlankerTask.osexp","C:/Users/Simon M. Rook/Documents/School/1Tarleton/Classes/Adv Quant/Lab 2","no","mono","no","18","no","white","no","no","768","legacy","3","3","C:/Users/Simon M. Rook/Documents/School/1Tarleton/Classes/Adv Quant/Lab 2/flanker-data/sr-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.10","0","s","NA","s","NA","NA","s","622","NA","51055","NA","NA","622","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","52599","NA","NA","56815","56314","1540","NA","NA","57868","1543","NA","NA","57969","58592","57866","57969","Flanker Task","3","1849","4","yes","1024"
"80","80","451.8","451.8","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","4","4","0","4","0","4","0","0","0","4","4","4","4","Sun Sep 26 20:12:06 2021","1500","The main experiment item","yes","SR-FlankerTask.osexp","C:/Users/Simon M. Rook/Documents/School/1Tarleton/Classes/Adv Quant/Lab 2","no","mono","no","18","no","white","no","no","768","legacy","4","4","C:/Users/Simon M. Rook/Documents/School/1Tarleton/Classes/Adv Quant/Lab 2/flanker-data/sr-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.10","0","h","NA","s","NA","NA","h","410","NA","51055","NA","NA","410","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","52599","NA","NA","58595","56314","1540","NA","NA","59648","1543","NA","NA","59749","60159","59646","59749","Flanker Task","4","2259","5","yes","1024"
"83.33333333333333","83.33333333333333","444.8333333333333","444.8333333333333","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","5","5","0","5","0","5","0","0","0","5","5","5","5","Sun Sep 26 20:12:06 2021","1500","The main experiment item","yes","SR-FlankerTask.osexp","C:/Users/Simon M. Rook/Documents/School/1Tarleton/Classes/Adv Quant/Lab 2","no","mono","no","18","no","white","no","no","768","legacy","5","5","C:/Users/Simon M. Rook/Documents/School/1Tarleton/Classes/Adv Quant/Lab 2/flanker-data/sr-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.10","0","h","NA","s","NA","NA","h","410","NA","51055","NA","NA","410","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","52599","NA","NA","60163","56314","1540","NA","NA","61216","1543","NA","NA","61317","61727","61215","61317","Flanker Task","5","2669","6","yes","1024"
"85.71428571428571","85.71428571428571","439","439","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","6","6","0","6","0","6","0","0","0","6","6","6","6","Sun Sep 26 20:12:06 2021","1500","The main experiment item","yes","SR-FlankerTask.osexp","C:/Users/Simon M. Rook/Documents/School/1Tarleton/Classes/Adv Quant/Lab 2","no","mono","no","18","no","white","no","no","768","legacy","6","6","C:/Users/Simon M. Rook/Documents/School/1Tarleton/Classes/Adv Quant/Lab 2/flanker-data/sr-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.10","0","h","NA","s","NA","NA","h","404","NA","51055","NA","NA","404","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","52599","NA","NA","61730","56314","1540","NA","NA","62783","1543","NA","NA","62884","63288","62781","62884","Flanker Task","6","3073","7","yes","1024"
"87.5","87.5","450.375","450.375","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","7","7","0","7","0","7","0","0","0","7","7","7","7","Sun Sep 26 20:12:06 2021","1500","The main experiment item","yes","SR-FlankerTask.osexp","C:/Users/Simon M. Rook/Documents/School/1Tarleton/Classes/Adv Quant/Lab 2","no","mono","no","18","no","white","no","no","768","legacy","7","7","C:/Users/Simon M. Rook/Documents/School/1Tarleton/Classes/Adv Quant/Lab 2/flanker-data/sr-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.10","0","h","NA","s","NA","NA","h","530","NA","51055","NA","NA","530","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","52599","NA","NA","63292","56314","1540","NA","NA","64345","1543","NA","NA","64446","64976","64343","64446","Flanker Task","7","3603","8","yes","1024"
"88.88888888888889","88.88888888888889","459.22222222222223","459.22222222222223","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","8","8","0","8","0","8","0","0","0","8","8","8","8","Sun Sep 26 20:12:06 2021","1500","The main experiment item","yes","SR-FlankerTask.osexp","C:/Users/Simon M. Rook/Documents/School/1Tarleton/Classes/Adv Quant/Lab 2","no","mono","no","18","no","white","no","no","768","legacy","8","8","C:/Users/Simon M. Rook/Documents/School/1Tarleton/Classes/Adv Quant/Lab 2/flanker-data/sr-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.10","0","s","NA","s","NA","NA","s","530","NA","51055","NA","NA","530","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","52599","NA","NA","64979","56314","1540","NA","NA","66041","1543","NA","NA","66142","66672","66040","66142","Flanker Task","8","4133","9","yes","1024"
"90","90","459.2","459.2","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","9","9","0","9","0","9","0","0","0","9","9","9","9","Sun Sep 26 20:12:06 2021","1500","The main experiment item","yes","SR-FlankerTask.osexp","C:/Users/Simon M. Rook/Documents/School/1Tarleton/Classes/Adv Quant/Lab 2","no","mono","no","18","no","white","no","no","768","legacy","9","9","C:/Users/Simon M. Rook/Documents/School/1Tarleton/Classes/Adv Quant/Lab 2/flanker-data/sr-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.10","0","h","NA","s","NA","NA","h","459","NA","51055","NA","NA","459","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","52599","NA","NA","66675","56314","1540","NA","NA","67728","1543","NA","NA","67829","68289","67726","67829","Flanker Task","9","4592","10","yes","1024"
