"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_Instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_ISI","count_Instructions1","count_Sequence","count_errorFeedback","count_experiment","count_faster","count_fixation","count_instructions2","count_keyboard_response","count_logger","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Instructions1","response_instructions2","response_keyboard_response","response_time","response_time_Instructions1","response_time_instructions2","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ISI","time_Instructions1","time_Sequence","time_errorFeedback","time_experiment","time_faster","time_fixation","time_instructions2","time_keyboard_response","time_logger","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","778","778","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sat Sep 24 13:42:43 2022","1500","The main experiment item","yes","FlankerTest_Savkovic.osexp","/Users/andrea/Desktop/Adv. Quant Methods","no","mono","no","18","no","white","no","no","768","legacy","0","0","/Users/andrea/Desktop/Adv. Quant Methods/AS-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","s","NA","s","778","9935","NA","778","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","11415","NA","NA","NA","1476","11455","NA","1420","NA","11457","NA","11562","12344","11562","Flanker Test","1","778","1","yes","1024"
"100","100","710.5","710.5","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","1","0","1","1","0","1","1","0","1","1","1","Sat Sep 24 13:42:43 2022","1500","The main experiment item","yes","FlankerTest_Savkovic.osexp","/Users/andrea/Desktop/Adv. Quant Methods","no","mono","no","18","no","white","no","no","768","legacy","1","1","/Users/andrea/Desktop/Adv. Quant Methods/AS-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","s","NA","s","643","9935","NA","643","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","11415","NA","NA","12349","1476","13405","NA","1420","NA","13406","NA","13512","14156","13511","Flanker Test","2","1421","2","yes","1024"
"100","100","662.6666666666666","662.6666666666666","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","2","0","2","2","0","2","2","0","2","2","2","Sat Sep 24 13:42:43 2022","1500","The main experiment item","yes","FlankerTest_Savkovic.osexp","/Users/andrea/Desktop/Adv. Quant Methods","no","mono","no","18","no","white","no","no","768","legacy","2","2","/Users/andrea/Desktop/Adv. Quant Methods/AS-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","s","NA","s","567","9935","NA","567","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","11415","NA","NA","14159","1476","15208","NA","1420","NA","15210","NA","15314","15882","15314","Flanker Test","3","1988","3","yes","1024"
"100","100","672.25","672.25","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","3","0","3","3","0","3","3","0","3","3","3","Sat Sep 24 13:42:43 2022","1500","The main experiment item","yes","FlankerTest_Savkovic.osexp","/Users/andrea/Desktop/Adv. Quant Methods","no","mono","no","18","no","white","no","no","768","legacy","3","3","/Users/andrea/Desktop/Adv. Quant Methods/AS-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","s","NA","h","701","9935","NA","701","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","11415","NA","NA","15885","1476","16932","NA","1420","NA","16935","NA","17039","17741","17039","Flanker Test","4","2689","4","yes","1024"
"100","100","660.2","660.2","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","4","0","4","4","0","4","4","0","4","4","4","Sat Sep 24 13:42:43 2022","1500","The main experiment item","yes","FlankerTest_Savkovic.osexp","/Users/andrea/Desktop/Adv. Quant Methods","no","mono","no","18","no","white","no","no","768","legacy","4","4","/Users/andrea/Desktop/Adv. Quant Methods/AS-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","s","NA","s","612","9935","NA","612","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","11415","NA","NA","17744","1476","18792","NA","1420","NA","18794","NA","18898","19511","18898","Flanker Test","5","3301","5","yes","1024"
"100","100","632.3333333333334","632.3333333333334","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","5","0","5","5","0","5","5","0","5","5","5","Sat Sep 24 13:42:43 2022","1500","The main experiment item","yes","FlankerTest_Savkovic.osexp","/Users/andrea/Desktop/Adv. Quant Methods","no","mono","no","18","no","white","no","no","768","legacy","5","5","/Users/andrea/Desktop/Adv. Quant Methods/AS-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","s","NA","h","493","9935","NA","493","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","11415","NA","NA","19513","1476","20561","NA","1420","NA","20563","NA","20667","21161","20667","Flanker Test","6","3794","6","yes","1024"
"100","100","621","621","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","6","0","6","6","0","6","6","0","6","6","6","Sat Sep 24 13:42:43 2022","1500","The main experiment item","yes","FlankerTest_Savkovic.osexp","/Users/andrea/Desktop/Adv. Quant Methods","no","mono","no","18","no","white","no","no","768","legacy","6","6","/Users/andrea/Desktop/Adv. Quant Methods/AS-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","s","NA","h","553","9935","NA","553","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","11415","NA","NA","21164","1476","22212","NA","1420","NA","22214","NA","22318","22871","22318","Flanker Test","7","4347","7","yes","1024"
"100","100","591.875","591.875","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","7","0","7","7","0","7","7","0","7","7","7","Sat Sep 24 13:42:43 2022","1500","The main experiment item","yes","FlankerTest_Savkovic.osexp","/Users/andrea/Desktop/Adv. Quant Methods","no","mono","no","18","no","white","no","no","768","legacy","7","7","/Users/andrea/Desktop/Adv. Quant Methods/AS-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","s","NA","h","388","9935","NA","388","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","11415","NA","NA","22874","1476","23922","NA","1420","NA","23924","NA","24028","24416","24028","Flanker Test","8","4735","8","yes","1024"
"100","100","585.5555555555555","585.5555555555555","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","8","0","8","8","0","8","8","0","8","8","8","Sat Sep 24 13:42:43 2022","1500","The main experiment item","yes","FlankerTest_Savkovic.osexp","/Users/andrea/Desktop/Adv. Quant Methods","no","mono","no","18","no","white","no","no","768","legacy","8","8","/Users/andrea/Desktop/Adv. Quant Methods/AS-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","s","NA","h","535","9935","NA","535","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","11415","NA","NA","24419","1476","25469","NA","1420","NA","25471","NA","25575","26111","25575","Flanker Test","9","5270","9","yes","1024"
"100","100","568.8","568.8","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","9","0","9","9","0","9","9","0","9","9","9","Sat Sep 24 13:42:43 2022","1500","The main experiment item","yes","FlankerTest_Savkovic.osexp","/Users/andrea/Desktop/Adv. Quant Methods","no","mono","no","18","no","white","no","no","768","legacy","9","9","/Users/andrea/Desktop/Adv. Quant Methods/AS-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","s","NA","h","418","9935","NA","418","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","11415","NA","NA","26114","1476","27162","NA","1420","NA","27164","NA","27268","27686","27268","Flanker Test","10","5688","10","yes","1024"
