"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","condition","correct","correct_instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_ErrorFeedback","count_Fixation","count_ISI","count_Logger","count_Sequence","count_Stimulus","count_experiment","count_faster","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_new_sketchpad","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_new_sketchpad","response_time","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","response_time_new_sketchpad","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ErrorFeedback","time_Fixation","time_ISI","time_Logger","time_Sequence","time_Stimulus","time_experiment","time_faster","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_new_sketchpad","title","total_correct","total_response_time","total_responses","width"
"100","100","530","530","#000000","legacy","legacy","legacy","Congruent","1","undefined","1","s","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Sep 24 19:26:35 2023","1500","The main experiment item","False","Edward Banda Flanker Task.osexp","C:\Users\Edward Banda\Desktop\Avd Quant Methods 5316","False","mono","False","18","no","white","no","yes","768","legacy","0","0","C:/Users/Edward Banda/Desktop/EB-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","s","NA","NA","s","NA","530.0","169423","NA","NA","530","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","171286","NA","NA","NA","171342","NA","171974","171341","171443","1858","NA","1862","NA","NA","171444","NA","Flanker Task","1","530.0","1","1024"
"100","100","454","454","#000000","legacy","legacy","legacy","Congruent","1","undefined","1","s","0","0","0","1","1","1","1","1","1","0","1","0","0","0","1","0","Sun Sep 24 19:26:35 2023","1500","The main experiment item","False","Edward Banda Flanker Task.osexp","C:\Users\Edward Banda\Desktop\Avd Quant Methods 5316","False","mono","False","18","no","white","no","yes","768","legacy","1","1","C:/Users/Edward Banda/Desktop/EB-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","s","NA","NA","s","NA","378.0","169423","NA","NA","378","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","171286","NA","NA","NA","173038","171990","173517","173036","173139","1858","NA","1862","NA","NA","173139","NA","Flanker Task","2","908.0","2","1024"
"66","66","418","418","#000000","legacy","legacy","legacy","Incongruent","0","undefined","0","h","0","0","0","2","2","2","2","2","2","0","2","0","0","0","2","0","Sun Sep 24 19:26:35 2023","1500","The main experiment item","False","Edward Banda Flanker Task.osexp","C:\Users\Edward Banda\Desktop\Avd Quant Methods 5316","False","mono","False","18","no","white","no","yes","768","legacy","2","2","C:/Users/Edward Banda/Desktop/EB-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","s","NA","NA","s","NA","348.0","169423","NA","NA","348","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","171286","NA","NA","NA","174570","173529","175020","174568","174671","1858","NA","1862","NA","NA","174672","NA","Flanker Task","2","1256.0","3","1024"
"75","75","407","407","#000000","legacy","legacy","legacy","Congruent","1","undefined","1","h","0","0","0","3","3","3","3","3","3","0","3","0","0","0","3","0","Sun Sep 24 19:26:35 2023","1500","The main experiment item","False","Edward Banda Flanker Task.osexp","C:\Users\Edward Banda\Desktop\Avd Quant Methods 5316","False","mono","False","18","no","white","no","yes","768","legacy","3","3","C:/Users/Edward Banda/Desktop/EB-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","h","s","NA","NA","h","NA","375.0","169423","NA","NA","375","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","171286","NA","NA","175033","176570","175534","177048","176567","176671","1858","NA","1862","NA","NA","176672","NA","Flanker Task","3","1631.0","4","1024"
"80","80","403","403","#000000","legacy","legacy","legacy","Congruent","1","undefined","1","h","0","0","0","4","4","4","4","4","4","0","4","0","0","0","4","0","Sun Sep 24 19:26:35 2023","1500","The main experiment item","False","Edward Banda Flanker Task.osexp","C:\Users\Edward Banda\Desktop\Avd Quant Methods 5316","False","mono","False","18","no","white","no","yes","768","legacy","4","4","C:/Users/Edward Banda/Desktop/EB-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","h","s","NA","NA","h","NA","386.0","169423","NA","NA","386","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","171286","NA","NA","175033","178091","177060","178579","178088","178192","1858","NA","1862","NA","NA","178192","NA","Flanker Task","4","2017.0","5","1024"
"66","66","404","404","#000000","legacy","legacy","legacy","Incongruent","0","undefined","0","h","0","0","0","5","5","5","5","5","5","0","5","0","0","0","5","0","Sun Sep 24 19:26:35 2023","1500","The main experiment item","False","Edward Banda Flanker Task.osexp","C:\Users\Edward Banda\Desktop\Avd Quant Methods 5316","False","mono","False","18","no","white","no","yes","768","legacy","5","5","C:/Users/Edward Banda/Desktop/EB-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","s","NA","NA","s","NA","409.0","169423","NA","NA","409","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","171286","NA","NA","175033","179624","178591","180135","179623","179725","1858","NA","1862","NA","NA","179725","NA","Flanker Task","4","2426.0","6","1024"
"71","71","408","408","#000000","legacy","legacy","legacy","Congruent","1","undefined","1","s","0","0","0","6","6","6","6","6","6","0","6","0","0","0","6","0","Sun Sep 24 19:26:35 2023","1500","The main experiment item","False","Edward Banda Flanker Task.osexp","C:\Users\Edward Banda\Desktop\Avd Quant Methods 5316","False","mono","False","18","no","white","no","yes","768","legacy","6","6","C:/Users/Edward Banda/Desktop/EB-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","s","NA","NA","s","NA","436.0","169423","NA","NA","436","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","171286","NA","NA","180146","181679","180647","182216","181678","181780","1858","NA","1862","NA","NA","181780","NA","Flanker Task","5","2862.0","7","1024"
"75","75","401","401","#000000","legacy","legacy","legacy","Congruent","1","undefined","1","h","0","0","0","7","7","7","7","7","7","0","7","0","0","0","7","0","Sun Sep 24 19:26:35 2023","1500","The main experiment item","False","Edward Banda Flanker Task.osexp","C:\Users\Edward Banda\Desktop\Avd Quant Methods 5316","False","mono","False","18","no","white","no","yes","768","legacy","7","7","C:/Users/Edward Banda/Desktop/EB-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","h","s","NA","NA","h","NA","351.0","169423","NA","NA","351","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","171286","NA","NA","180146","183271","182229","183724","183269","183373","1858","NA","1862","NA","NA","183373","NA","Flanker Task","6","3213.0","8","1024"
"77","77","403","403","#000000","legacy","legacy","legacy","Congruent","1","undefined","1","s","0","0","0","8","8","8","8","8","8","0","8","0","0","0","8","0","Sun Sep 24 19:26:35 2023","1500","The main experiment item","False","Edward Banda Flanker Task.osexp","C:\Users\Edward Banda\Desktop\Avd Quant Methods 5316","False","mono","False","18","no","white","no","yes","768","legacy","8","8","C:/Users/Edward Banda/Desktop/EB-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","s","NA","NA","s","NA","418.0","169423","NA","NA","418","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","171286","NA","NA","180146","184778","183737","185297","184776","184879","1858","NA","1862","NA","NA","184879","NA","Flanker Task","7","3631.0","9","1024"
"80","80","399","399","#000000","legacy","legacy","legacy","Congruent","1","undefined","1","h","0","0","0","9","9","9","9","9","9","0","9","0","0","0","9","0","Sun Sep 24 19:26:35 2023","1500","The main experiment item","False","Edward Banda Flanker Task.osexp","C:\Users\Edward Banda\Desktop\Avd Quant Methods 5316","False","mono","False","18","no","white","no","yes","768","legacy","9","9","C:/Users/Edward Banda/Desktop/EB-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","h","s","NA","NA","h","NA","367.0","169423","NA","NA","367","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","171286","NA","NA","180146","186341","185309","186810","186339","186442","1858","NA","1862","NA","NA","186443","NA","Flanker Task","8","3998.0","10","1024"
