acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1_1,correct_keyboard_response,correct_response,count_ISI,count_block1,count_block2,count_block3,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instructions1,count_instructions1_1,count_instructions2,count_instructions3,count_keyboard_response,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instructions1,response_instructions1_1,response_instructions2,response_instructions3,response_keyboard_response,response_time,response_time_finish,response_time_instructions1,response_time_instructions1_1,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_ISI,time_block1,time_block2,time_block3,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instructions1,time_instructions1_1,time_instructions2,time_instructions3,time_keyboard_response,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
0,0,1501,1501,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,s,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,9/29/19 15:58,1500,The main experiment item,yes,BR-Flankertask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 2.1,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 2.1/BR-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,None,NA,NA,s,NA,NA,None,1501,NA,NA,36347,NA,NA,1501,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,NA,38796,NA,NA,NA,2444,NA,NA,38921,NA,2449,NA,NA,39022,40523,38918,39022,Flankertask,0,1501,1,yes,1024
50,50,1156,1156,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,1,0,0,0,1,0,1,0,1,NA,0,0,0,1,1,1,1,9/29/19 15:58,1500,The main experiment item,yes,BR-Flankertask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 2.1,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 2.1/BR-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,s,NA,NA,s,811,NA,NA,36347,NA,NA,811,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,41538,38796,NA,NA,40535,2444,41036,NA,42612,NA,2449,NA,NA,42715,43527,42609,42714,Flankertask,1,2312,2,yes,1024
66.66666667,66.66666667,950.3333333,950.3333333,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,2,0,0,0,2,0,2,0,2,NA,0,0,0,2,2,2,2,9/29/19 15:58,1500,The main experiment item,yes,BR-Flankertask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 2.1,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 2.1/BR-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,s,NA,NA,h,539,NA,NA,36347,NA,NA,539,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,43535,38796,NA,NA,40535,2444,41036,NA,44609,NA,2449,NA,NA,44710,45249,44606,44710,Flankertask,2,2851,3,yes,1024
75,75,853.25,853.25,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,3,0,0,0,3,0,3,0,3,NA,0,0,0,3,3,3,3,9/29/19 15:58,1500,The main experiment item,yes,BR-Flankertask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 2.1,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 2.1/BR-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,s,NA,NA,s,562,NA,NA,36347,NA,NA,562,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,45258,38796,NA,NA,40535,2444,41036,NA,46332,NA,2449,NA,NA,46433,46996,46329,46433,Flankertask,3,3413,4,yes,1024
80,80,807.6,807.6,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,4,0,0,0,4,0,4,0,4,NA,0,0,0,4,4,4,4,9/29/19 15:58,1500,The main experiment item,yes,BR-Flankertask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 2.1,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 2.1/BR-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,s,NA,NA,s,625,NA,NA,36347,NA,NA,625,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,47004,38796,NA,NA,40535,2444,41036,NA,48079,NA,2449,NA,NA,48181,48807,48076,48181,Flankertask,4,4038,5,yes,1024
83.33333333,83.33333333,779.1666667,779.1666667,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,5,0,0,0,5,0,5,0,5,NA,0,0,0,5,5,5,5,9/29/19 15:58,1500,The main experiment item,yes,BR-Flankertask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 2.1,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 2.1/BR-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,s,NA,NA,h,637,NA,NA,36347,NA,NA,637,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,48815,38796,NA,NA,40535,2444,41036,NA,49891,NA,2449,NA,NA,49993,50631,49888,49992,Flankertask,5,4675,6,yes,1024
85.71428571,85.71428571,746.2857143,746.2857143,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,6,0,0,0,6,0,6,0,6,NA,0,0,0,6,6,6,6,9/29/19 15:58,1500,The main experiment item,yes,BR-Flankertask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 2.1,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 2.1/BR-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,s,NA,NA,h,549,NA,NA,36347,NA,NA,549,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,50640,38796,NA,NA,40535,2444,41036,NA,51714,NA,2449,NA,NA,51815,52365,51711,51815,Flankertask,6,5224,7,yes,1024
87.5,87.5,713.5,713.5,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,7,0,0,0,7,0,7,0,7,NA,0,0,0,7,7,7,7,9/29/19 15:58,1500,The main experiment item,yes,BR-Flankertask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 2.1,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 2.1/BR-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,s,NA,NA,s,484,NA,NA,36347,NA,NA,484,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,52373,38796,NA,NA,40535,2444,41036,NA,53449,NA,2449,NA,NA,53550,54034,53447,53550,Flankertask,7,5708,8,yes,1024
88.88888889,88.88888889,699.1111111,699.1111111,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,8,0,0,0,8,0,8,0,8,NA,0,0,0,8,8,8,8,9/29/19 15:58,1500,The main experiment item,yes,BR-Flankertask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 2.1,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 2.1/BR-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,s,NA,NA,h,584,NA,NA,36347,NA,NA,584,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,54043,38796,NA,NA,40535,2444,41036,NA,55118,NA,2449,NA,NA,55219,55803,55115,55219,Flankertask,8,6292,9,yes,1024
90,90,683.9,683.9,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,9,0,0,0,9,0,9,0,9,NA,0,0,0,9,9,9,9,9/29/19 15:58,1500,The main experiment item,yes,BR-Flankertask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 2.1,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 2.1/BR-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,s,NA,NA,h,547,NA,NA,36347,NA,NA,547,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,55812,38796,NA,NA,40535,2444,41036,NA,56885,NA,2449,NA,NA,56987,57535,56883,56987,Flankertask,9,6839,10,yes,1024
