acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ISI,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_getting_started,count_instructions1,count_instructions2,count_instructions3,count_keyboard_response,count_new_logger,count_new_sketchpad,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instructions1,response_instructions2,response_instructions3,response_keyboard_response,response_new_sketchpad,response_time,response_time_finish,response_time_instructions1,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,response_time_new_sketchpad,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ISI,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_getting_started,time_instructions1,time_instructions2,time_instructions3,time_keyboard_response,time_new_logger,time_new_sketchpad,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,925,925,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,Sun Sep 22 16:22:41 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,0,/Users/danielrazo0311/Desktop/DR-subject0.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,925,NA,14083,NA,NA,925,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,18000,NA,NA,NA,NA,3883,NA,NA,18139,NA,3906,NA,NA,18255,19182,NA,18126,18255,Flanker Task,1,925,1,yes,1024
100,100,743.5,743.5,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,NA,1,1,Sun Sep 22 16:22:41 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,1,/Users/danielrazo0311/Desktop/DR-subject0.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,562,NA,14083,NA,NA,562,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,18000,NA,NA,19227,NA,3883,NA,NA,20368,NA,3906,NA,NA,20482,21046,NA,20354,20482,Flanker Task,2,1487,2,yes,1024
100,100,670,670,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,2,2,0,2,0,2,0,0,0,0,2,2,NA,2,2,Sun Sep 22 16:22:41 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,2,/Users/danielrazo0311/Desktop/DR-subject0.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,523,NA,14083,NA,NA,523,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,18000,NA,NA,21061,NA,3883,NA,NA,22192,NA,3906,NA,NA,22306,22830,NA,22180,22306,Flanker Task,3,2010,3,yes,1024
100,100,614.5,614.5,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,3,3,0,3,0,3,0,0,0,0,3,3,NA,3,3,Sun Sep 22 16:22:41 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,3,3,/Users/danielrazo0311/Desktop/DR-subject0.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,448,NA,14083,NA,NA,448,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,18000,NA,NA,22855,NA,3883,NA,NA,23986,NA,3906,NA,NA,24101,24550,NA,23973,24101,Flanker Task,4,2458,4,yes,1024
100,100,596,596,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,4,4,0,4,0,4,0,0,0,0,4,4,NA,4,4,Sun Sep 22 16:22:41 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,4,4,/Users/danielrazo0311/Desktop/DR-subject0.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,522,NA,14083,NA,NA,522,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,18000,NA,NA,24566,NA,3883,NA,NA,25696,NA,3906,NA,NA,25811,26334,NA,25684,25811,Flanker Task,5,2980,5,yes,1024
100,100,562.5,562.5,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,5,5,0,5,0,5,0,0,0,0,5,5,NA,5,5,Sun Sep 22 16:22:41 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,5,5,/Users/danielrazo0311/Desktop/DR-subject0.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,395,NA,14083,NA,NA,395,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,18000,NA,NA,26369,NA,3883,NA,NA,27502,NA,3906,NA,NA,27616,28013,NA,27486,27616,Flanker Task,6,3375,6,yes,1024
100,100,551.1428571,551.1428571,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,6,6,0,6,0,6,0,0,0,0,6,6,NA,6,6,Sun Sep 22 16:22:41 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,6,6,/Users/danielrazo0311/Desktop/DR-subject0.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,483,NA,14083,NA,NA,483,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,18000,NA,NA,28029,NA,3883,NA,NA,29160,NA,3906,NA,NA,29273,29758,NA,29148,29273,Flanker Task,7,3858,7,yes,1024
100,100,545.5,545.5,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,7,7,0,7,0,7,0,0,0,0,7,7,NA,7,7,Sun Sep 22 16:22:41 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,7,7,/Users/danielrazo0311/Desktop/DR-subject0.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,506,NA,14083,NA,NA,506,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,18000,NA,NA,29783,NA,3883,NA,NA,30913,NA,3906,NA,NA,31026,31534,NA,30901,31026,Flanker Task,8,4364,8,yes,1024
100,100,524.6666667,524.6666667,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,8,8,0,8,0,8,0,0,0,0,8,8,NA,8,8,Sun Sep 22 16:22:41 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,8,8,/Users/danielrazo0311/Desktop/DR-subject0.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,358,NA,14083,NA,NA,358,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,18000,NA,NA,31550,NA,3883,NA,NA,32683,NA,3906,NA,NA,32797,33157,NA,32670,32796,Flanker Task,9,4722,9,yes,1024
100,100,519.1,519.1,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,9,9,0,9,0,9,0,0,0,0,9,9,NA,9,9,Sun Sep 22 16:22:41 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,9,9,/Users/danielrazo0311/Desktop/DR-subject0.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,469,NA,14083,NA,NA,469,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,18000,NA,NA,33174,NA,3883,NA,NA,34304,NA,3906,NA,NA,34416,34887,NA,34292,34415,Flanker Task,10,5191,10,yes,1024
