acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_ISI,count_block1,count_block2,count_block3,count_errorFeedback,count_experiment,count_faster,count_fixation,count_instructions1,count_instructions2,count_instructions3,count_keyboard_response,count_logger,count_new_sketchpad,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_instructions1,response_instructions2,response_instructions3,response_keyboard_response,response_new_sketchpad,response_time,response_time_instructions1,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,response_time_new_sketchpad,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_ISI,time_block1,time_block2,time_block3,time_errorFeedback,time_experiment,time_faster,time_fixation,time_instructions1,time_instructions2,time_instructions3,time_keyboard_response,time_logger,time_new_sketchpad,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,1481,1481,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun Sep 20 14:57:29 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chris/OneDrive/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/chris/OneDrive/Desktop/subject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,return,NA,NA,s,NA,1481,3948,NA,NA,1481,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,NA,6534,NA,NA,NA,2581,NA,6622,2585,NA,NA,6728,8210,NA,6620,6727,Flanker Task,1,1481,1,yes,1024
100,100,991.5,991.5,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,Sun Sep 20 14:57:29 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chris/OneDrive/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/chris/OneDrive/Desktop/subject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,return,NA,NA,h,NA,502,3948,NA,NA,502,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,8218,6534,NA,NA,NA,2581,NA,9331,2585,NA,NA,9436,9938,NA,9329,9436,Flanker Task,2,1983,2,yes,1024
100,100,819.6666667,819.6666667,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,2,0,0,0,2,0,2,2,0,0,0,2,2,0,2,2,Sun Sep 20 14:57:29 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chris/OneDrive/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/chris/OneDrive/Desktop/subject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,return,NA,NA,s,NA,476,3948,NA,NA,476,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,9948,6534,NA,NA,NA,2581,NA,11065,2585,NA,NA,11171,11647,NA,11063,11171,Flanker Task,3,2459,3,yes,1024
100,100,724.25,724.25,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,3,0,0,0,3,0,3,3,0,0,0,3,3,0,3,3,Sun Sep 20 14:57:29 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chris/OneDrive/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/chris/OneDrive/Desktop/subject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,return,NA,NA,s,NA,438,3948,NA,NA,438,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,11656,6534,NA,NA,NA,2581,NA,12759,2585,NA,NA,12864,13302,NA,12757,12864,Flanker Task,4,2897,4,yes,1024
100,100,657.2,657.2,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,4,0,0,0,4,0,4,4,0,0,0,4,4,0,4,4,Sun Sep 20 14:57:29 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chris/OneDrive/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/chris/OneDrive/Desktop/subject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,return,NA,NA,s,NA,389,3948,NA,NA,389,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,13311,6534,NA,NA,NA,2581,NA,14415,2585,NA,NA,14521,14911,NA,14412,14520,Flanker Task,5,3286,5,yes,1024
100,100,635,635,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,5,0,0,0,5,0,5,5,0,0,0,5,5,0,5,5,Sun Sep 20 14:57:29 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chris/OneDrive/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/chris/OneDrive/Desktop/subject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,return,NA,NA,h,NA,524,3948,NA,NA,524,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,14915,6534,NA,NA,NA,2581,NA,16024,2585,NA,NA,16129,16653,NA,16021,16129,Flanker Task,6,3810,6,yes,1024
100,100,597.5714286,597.5714286,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,6,0,0,0,6,0,6,6,0,0,0,6,6,0,6,6,Sun Sep 20 14:57:29 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chris/OneDrive/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/chris/OneDrive/Desktop/subject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,return,NA,NA,h,NA,373,3948,NA,NA,373,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,16662,6534,NA,NA,NA,2581,NA,17782,2585,NA,NA,17887,18261,NA,17780,17887,Flanker Task,7,4183,7,yes,1024
100,100,573.625,573.625,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,7,0,0,0,7,0,7,7,0,0,0,7,7,0,7,7,Sun Sep 20 14:57:29 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chris/OneDrive/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/chris/OneDrive/Desktop/subject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,return,NA,NA,h,NA,406,3948,NA,NA,406,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,18269,6534,NA,NA,NA,2581,NA,19381,2585,NA,NA,19486,19893,NA,19378,19486,Flanker Task,8,4589,8,yes,1024
100,100,550.5555556,550.5555556,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,8,0,0,0,8,0,8,8,0,0,0,8,8,0,8,8,Sun Sep 20 14:57:29 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chris/OneDrive/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/chris/OneDrive/Desktop/subject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,return,NA,NA,h,NA,366,3948,NA,NA,366,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,19902,6534,NA,NA,NA,2581,NA,21005,2585,NA,NA,21110,21476,NA,21003,21110,Flanker Task,9,4955,9,yes,1024
100,100,534.3,534.3,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,9,0,0,0,9,0,9,9,0,0,0,9,9,0,9,9,Sun Sep 20 14:57:29 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chris/OneDrive/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/chris/OneDrive/Desktop/subject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,return,NA,NA,h,NA,388,3948,NA,NA,388,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,21485,6534,NA,NA,NA,2581,NA,22591,2585,NA,NA,22696,23084,NA,22588,22696,Flanker Task,10,5343,10,yes,1024
