"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","condition","correct","correct_instruction1_sketchpad","correct_keyboard_response","correct_response","count_Block1_loop","count_Block3_loop","count_block2_loop","count_errorfeedback_sketchpad","count_experiment","count_faster_sketchpad","count_finish_sketchpad","count_fixation_sketchpad","count_instruction1_sketchpad","count_instructions2_sketchpad","count_instructions3_sketchpad","count_isi_sketchpad","count_keyboard_response","count_logger_logger","count_sequence","count_stimulus_sketchpad","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish_sketchpad","response_instruction1_sketchpad","response_instructions2_sketchpad","response_instructions3_sketchpad","response_keyboard_response","response_time","response_time_finish_sketchpad","response_time_instruction1_sketchpad","response_time_instructions2_sketchpad","response_time_instructions3_sketchpad","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1_loop","time_Block3_loop","time_block2_loop","time_errorfeedback_sketchpad","time_experiment","time_faster_sketchpad","time_finish_sketchpad","time_fixation_sketchpad","time_instruction1_sketchpad","time_instructions2_sketchpad","time_instructions3_sketchpad","time_isi_sketchpad","time_keyboard_response","time_logger_logger","time_sequence","time_stimulus_sketchpad","title","total_correct","total_response_time","total_responses","width"
"100","100","1018","1018","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mon Sep 18 10:00:31 2023","1500","The main experiment item","False","Flankertask.osexp","C:\Users\User","False","mono","False","18","no","white","no","yes","768","legacy","0","0","C:/Users/User/subject-jvb fixed.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","s","NA","NA","s","1018.0","NA","638","NA","NA","1018","2","legacy","1024","2","48000","-16","experiment","HHSHH","0","even","2451","NA","NA","NA","1805","NA","NA","2497","1812","NA","NA","NA","2601","3619","2496","2599","Flankertask","1","1018.0","1","1024"
"100","100","791","791","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","1","0","1","0","1","0","0","0","1","1","1","1","1","Mon Sep 18 10:00:31 2023","1500","The main experiment item","False","Flankertask.osexp","C:\Users\User","False","mono","False","18","no","white","no","yes","768","legacy","1","1","C:/Users/User/subject-jvb fixed.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","s","NA","NA","h","564.0","NA","638","NA","NA","564","2","legacy","1024","2","48000","-16","experiment","HHHHH","0","even","2451","NA","NA","NA","1805","NA","NA","4655","1812","NA","NA","3629","4756","5320","4653","4756","Flankertask","2","1582.0","2","1024"
"100","100","703","703","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","2","0","2","0","2","0","0","0","2","2","2","2","2","Mon Sep 18 10:00:31 2023","1500","The main experiment item","False","Flankertask.osexp","C:\Users\User","False","mono","False","18","no","white","no","yes","768","legacy","2","2","C:/Users/User/subject-jvb fixed.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","s","NA","NA","s","527.0","NA","638","NA","NA","527","2","legacy","1024","2","48000","-16","experiment","SSSSS","0","even","2451","NA","NA","NA","1805","NA","NA","6351","1812","NA","NA","5326","6452","6979","6350","6452","Flankertask","3","2109.0","3","1024"
"100","100","656","656","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","3","0","3","0","3","0","0","0","3","3","3","3","3","Mon Sep 18 10:00:31 2023","1500","The main experiment item","False","Flankertask.osexp","C:\Users\User","False","mono","False","18","no","white","no","yes","768","legacy","3","3","C:/Users/User/subject-jvb fixed.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","s","NA","NA","h","516.0","NA","638","NA","NA","516","2","legacy","1024","2","48000","-16","experiment","HHHHH","0","even","2451","NA","NA","NA","1805","NA","NA","8018","1812","NA","NA","6985","8119","8635","8017","8119","Flankertask","4","2625.0","4","1024"
"80","80","683","683","#3d3846","legacy","legacy","legacy","congruent","0","undefined","0","s","0","0","0","4","0","4","0","4","0","0","0","4","4","4","4","4","Mon Sep 18 10:00:31 2023","1500","The main experiment item","False","Flankertask.osexp","C:\Users\User","False","mono","False","18","no","white","no","yes","768","legacy","4","4","C:/Users/User/subject-jvb fixed.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","s","NA","NA","h","791.0","NA","638","NA","NA","791","2","legacy","1024","2","48000","-16","experiment","SSSSS","0","even","2451","NA","NA","NA","1805","NA","NA","9669","1812","NA","NA","8641","9770","10561","9668","9770","Flankertask","4","3416.0","5","1024"
"83","83","732","732","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","5","0","5","0","5","0","0","0","5","5","5","5","5","Mon Sep 18 10:00:31 2023","1500","The main experiment item","False","Flankertask.osexp","C:\Users\User","False","mono","False","18","no","white","no","yes","768","legacy","5","5","C:/Users/User/subject-jvb fixed.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","s","NA","NA","h","977.0","NA","638","NA","NA","977","2","legacy","1024","2","48000","-16","experiment","SSHSS","0","even","2451","NA","NA","10564","1805","NA","NA","12090","1812","NA","NA","11065","12191","13168","12089","12191","Flankertask","5","4393.0","6","1024"
"85","85","709","709","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","6","0","6","0","6","0","0","0","6","6","6","6","6","Mon Sep 18 10:00:31 2023","1500","The main experiment item","False","Flankertask.osexp","C:\Users\User","False","mono","False","18","no","white","no","yes","768","legacy","6","6","C:/Users/User/subject-jvb fixed.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","s","NA","NA","h","575.0","NA","638","NA","NA","575","2","legacy","1024","2","48000","-16","experiment","SSHSS","0","even","2451","NA","NA","10564","1805","NA","NA","14199","1812","NA","NA","13174","14300","14875","14198","14300","Flankertask","6","4968.0","7","1024"
"87","87","687","687","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","7","0","7","0","7","0","0","0","7","7","7","7","7","Mon Sep 18 10:00:31 2023","1500","The main experiment item","False","Flankertask.osexp","C:\Users\User","False","mono","False","18","no","white","no","yes","768","legacy","7","7","C:/Users/User/subject-jvb fixed.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","s","NA","NA","s","531.0","NA","638","NA","NA","531","2","legacy","1024","2","48000","-16","experiment","SSSSS","0","even","2451","NA","NA","10564","1805","NA","NA","15905","1812","NA","NA","14881","16006","16537","15904","16006","Flankertask","7","5499.0","8","1024"
"88","88","666","666","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","8","0","8","0","8","0","0","0","8","8","8","8","8","Mon Sep 18 10:00:31 2023","1500","The main experiment item","False","Flankertask.osexp","C:\Users\User","False","mono","False","18","no","white","no","yes","768","legacy","8","8","C:/Users/User/subject-jvb fixed.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","s","NA","NA","h","497.0","NA","638","NA","NA","497","2","legacy","1024","2","48000","-16","experiment","SSHSS","0","even","2451","NA","NA","10564","1805","NA","NA","17572","1812","NA","NA","16543","17674","18171","17571","17674","Flankertask","8","5996.0","9","1024"
"90","90","649","649","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","9","0","9","0","9","0","0","0","9","9","9","9","9","Mon Sep 18 10:00:31 2023","1500","The main experiment item","False","Flankertask.osexp","C:\Users\User","False","mono","False","18","no","white","no","yes","768","legacy","9","9","C:/Users/User/subject-jvb fixed.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","s","NA","NA","s","500.0","NA","638","NA","NA","500","2","legacy","1024","2","48000","-16","experiment","SSSSS","0","even","2451","NA","NA","10564","1805","NA","NA","19221","1812","NA","NA","18177","19322","19822","19220","19322","Flankertask","9","6496.0","10","1024"
"90","90","651","651","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","0","10","0","10","0","10","0","0","0","10","10","10","10","10","Mon Sep 18 10:00:31 2023","1500","The main experiment item","False","Flankertask.osexp","C:\Users\User","False","mono","False","18","no","white","no","yes","768","legacy","10","10","C:/Users/User/subject-jvb fixed.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","s","NA","NA","s","666.0","NA","638","NA","NA","666","2","legacy","1024","2","48000","-16","experiment","HHSHH","0","even","2451","NA","NA","10564","1805","NA","NA","20853","1812","NA","NA","19828","20954","21621","20852","20954","Flankertask","10","7162.0","11","1024"
