acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instruction1,correct_keybordresponse,correct_response,count_Block1,count_Block2,count_Block3,count_errorfeedback,count_experiment,count_faster,count_finish,count_fixation,count_instruction1,count_instructions2,count_instructions3,count_isi,count_keybordresponse,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instruction1,response_instructions2,response_instructions3,response_keybordresponse,response_time,response_time_finish,response_time_instruction1,response_time_instructions2,response_time_instructions3,response_time_keybordresponse,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_errorfeedback,time_experiment,time_faster,time_finish,time_fixation,time_instruction1,time_instructions2,time_instructions3,time_isi,time_keybordresponse,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
0,0,1500,1500,black,legacy,legacy,legacy,0,congruent,uniform,0,undefined,0,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat Sep 19 20:28:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents,no,mono,no,18,no,white,no,no,768,legacy,0,0,C:/Users/katri/OneDrive/Documents/krsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,None,NA,k,NA,NA,None,1500,NA,8462,NA,NA,1500,2,legacy,1024,2,48000,-16,experiment,HHHHH,0,even,9956,NA,NA,NA,1490,NA,NA,10010,1493,NA,NA,NA,10122,11622,10009,10121,Flanker Task,0,1500,1,yes,1024
50,50,1369,1369,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,Sat Sep 19 20:28:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents,no,mono,no,18,no,white,no,no,768,legacy,1,1,C:/Users/katri/OneDrive/Documents/krsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,k,NA,NA,s,1238,NA,8462,NA,NA,1238,2,legacy,1024,2,48000,-16,experiment,SSSSS,0,even,9956,NA,NA,12656,1490,NA,NA,13297,1493,NA,NA,11652,13402,14641,13294,13402,Flanker Task,1,2738,2,yes,1024
66.66666667,66.66666667,1302,1302,black,legacy,legacy,legacy,0,incongrunet,uniform,1,undefined,1,h,0,0,0,2,0,2,0,2,0,0,0,2,2,2,2,2,Sat Sep 19 20:28:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents,no,mono,no,18,no,white,no,no,768,legacy,2,2,C:/Users/katri/OneDrive/Documents/krsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,k,NA,NA,h,1168,NA,8462,NA,NA,1168,2,legacy,1024,2,48000,-16,experiment,SSHSS,0,even,9956,NA,NA,12656,1490,NA,NA,15747,1493,NA,NA,14648,15852,17021,15744,15852,Flanker Task,2,3906,3,yes,1024
75,75,1109.75,1109.75,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,3,0,3,0,3,0,0,0,3,3,3,3,3,Sat Sep 19 20:28:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents,no,mono,no,18,no,white,no,no,768,legacy,3,3,C:/Users/katri/OneDrive/Documents/krsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,k,NA,NA,s,533,NA,8462,NA,NA,533,2,legacy,1024,2,48000,-16,experiment,SSSSS,0,even,9956,NA,NA,12656,1490,NA,NA,18111,1493,NA,NA,17045,18215,18749,18109,18215,Flanker Task,3,4439,4,yes,1024
60,60,1045.4,1045.4,black,legacy,legacy,legacy,0,congruent,uniform,0,undefined,0,s,0,0,0,4,0,4,0,4,0,0,0,4,4,4,4,4,Sat Sep 19 20:28:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents,no,mono,no,18,no,white,no,no,768,legacy,4,4,C:/Users/katri/OneDrive/Documents/krsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,k,NA,NA,h,788,NA,8462,NA,NA,788,2,legacy,1024,2,48000,-16,experiment,SSSSS,0,even,9956,NA,NA,12656,1490,NA,NA,19846,1493,NA,NA,18752,19948,20736,19845,19947,Flanker Task,3,5227,5,yes,1024
66.66666667,66.66666667,1116.166667,1116.166667,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,5,0,5,0,5,0,0,0,5,5,5,5,5,Sat Sep 19 20:28:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents,no,mono,no,18,no,white,no,no,768,legacy,5,5,C:/Users/katri/OneDrive/Documents/krsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,k,NA,NA,s,1470,NA,8462,NA,NA,1470,2,legacy,1024,2,48000,-16,experiment,HHSHH,0,even,9956,NA,NA,21764,1490,NA,NA,22352,1493,NA,NA,20762,22454,23924,22351,22454,Flanker Task,4,6697,6,yes,1024
71.42857143,71.42857143,1133.428571,1133.428571,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,6,0,6,0,6,0,0,0,6,6,6,6,6,Sat Sep 19 20:28:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents,no,mono,no,18,no,white,no,no,768,legacy,6,6,C:/Users/katri/OneDrive/Documents/krsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,k,NA,NA,h,1237,NA,8462,NA,NA,1237,2,legacy,1024,2,48000,-16,experiment,HHHHH,0,even,9956,NA,NA,21764,1490,NA,NA,25024,1493,NA,NA,23927,25126,26364,25023,25126,Flanker Task,5,7934,7,yes,1024
75,75,1054.125,1054.125,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,7,0,7,0,7,0,0,0,7,7,7,7,7,Sat Sep 19 20:28:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents,no,mono,no,18,no,white,no,no,768,legacy,7,7,C:/Users/katri/OneDrive/Documents/krsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,k,NA,NA,s,499,NA,8462,NA,NA,499,2,legacy,1024,2,48000,-16,experiment,SSSSS,0,even,9956,NA,NA,21764,1490,NA,NA,27448,1493,NA,NA,26367,27551,28050,27446,27551,Flanker Task,6,8433,8,yes,1024
77.77777778,77.77777778,1009.777778,1009.777778,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,8,0,8,0,8,0,0,0,8,8,8,8,8,Sat Sep 19 20:28:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents,no,mono,no,18,no,white,no,no,768,legacy,8,8,C:/Users/katri/OneDrive/Documents/krsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,k,NA,NA,s,655,NA,8462,NA,NA,655,2,legacy,1024,2,48000,-16,experiment,SSSSS,0,even,9956,NA,NA,21764,1490,NA,NA,29145,1493,NA,NA,28053,29246,29901,29143,29246,Flanker Task,7,9088,9,yes,1024
80,80,958,958,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,9,0,9,0,9,0,0,0,9,9,9,9,9,Sat Sep 19 20:28:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents,no,mono,no,18,no,white,no,no,768,legacy,9,9,C:/Users/katri/OneDrive/Documents/krsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,k,NA,NA,h,492,NA,8462,NA,NA,492,2,legacy,1024,2,48000,-16,experiment,HHHHH,0,even,9956,NA,NA,21764,1490,NA,NA,30992,1493,NA,NA,29910,31096,31588,30990,31096,Flanker Task,8,9580,10,yes,1024
