acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ISI,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instructions1,count_instructions3,count_instrutions2,count_keyboard_response,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instructions1,response_instructions3,response_instrutions2,response_keyboard_response,response_time,response_time_finish,response_time_instructions1,response_time_instructions3,response_time_instrutions2,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ISI,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instructions1,time_instructions3,time_instrutions2,time_keyboard_response,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,534,534,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun Sep 24 12:55:52 2023,1500,The main experiment item,yes,Flankertask.osexp,/Users/Thingtwo/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,0,/Users/Thingtwo/Desktop/NC-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.14,0,h,NA,s,NA,NA,h,534,NA,3097,NA,NA,534,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,5187,NA,NA,NA,NA,2061,NA,NA,5216,2082,NA,NA,5322,5856,5212,5322,New experiment,1,534,1,yes,1024
100,100,437.5,437.5,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,Sun Sep 24 12:55:52 2023,1500,The main experiment item,yes,Flankertask.osexp,/Users/Thingtwo/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,1,/Users/Thingtwo/Desktop/NC-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.14,0,s,NA,s,NA,NA,s,341,NA,3097,NA,NA,341,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,5187,NA,NA,5862,NA,2061,NA,NA,6920,2082,NA,NA,7026,7367,6914,7026,New experiment,2,875,2,yes,1024
100,100,422.3333333,422.3333333,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,2,2,0,2,0,2,0,0,0,2,2,2,2,Sun Sep 24 12:55:52 2023,1500,The main experiment item,yes,Flankertask.osexp,/Users/Thingtwo/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,2,/Users/Thingtwo/Desktop/NC-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.14,0,h,NA,s,NA,NA,h,392,NA,3097,NA,NA,392,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,5187,NA,NA,7372,NA,2061,NA,NA,8428,2082,NA,NA,8535,8927,8422,8535,New experiment,3,1267,3,yes,1024
100,100,424.5,424.5,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,3,3,0,3,0,3,0,0,0,3,3,3,3,Sun Sep 24 12:55:52 2023,1500,The main experiment item,yes,Flankertask.osexp,/Users/Thingtwo/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,3,3,/Users/Thingtwo/Desktop/NC-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.14,0,s,NA,s,NA,NA,s,431,NA,3097,NA,NA,431,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,5187,NA,NA,8933,NA,2061,NA,NA,9989,2082,NA,NA,10095,10526,9983,10095,New experiment,4,1698,4,yes,1024
80,80,416.4,416.4,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,s,0,0,0,4,4,0,4,0,4,0,0,0,4,4,4,4,Sun Sep 24 12:55:52 2023,1500,The main experiment item,yes,Flankertask.osexp,/Users/Thingtwo/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,4,4,/Users/Thingtwo/Desktop/NC-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.14,0,h,NA,s,NA,NA,h,384,NA,3097,NA,NA,384,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,5187,NA,NA,10531,NA,2061,NA,NA,11580,2082,NA,NA,11687,12071,11574,11686,New experiment,4,2082,5,yes,1024
83.33333333,83.33333333,430.1666667,430.1666667,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,5,5,0,5,0,5,0,0,0,5,5,5,5,Sun Sep 24 12:55:52 2023,1500,The main experiment item,yes,Flankertask.osexp,/Users/Thingtwo/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,5,5,/Users/Thingtwo/Desktop/NC-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.14,0,s,NA,s,NA,NA,s,499,NA,3097,NA,NA,499,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,5187,NA,NA,12586,12076,2061,NA,NA,13639,2082,NA,NA,13746,14250,13630,13746,New experiment,5,2581,6,yes,1024
85.71428571,85.71428571,428.8571429,428.8571429,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,6,6,0,6,0,6,0,0,0,6,6,6,6,Sun Sep 24 12:55:52 2023,1500,The main experiment item,yes,Flankertask.osexp,/Users/Thingtwo/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,6,6,/Users/Thingtwo/Desktop/NC-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.14,0,s,NA,s,NA,NA,s,421,NA,3097,NA,NA,421,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,5187,NA,NA,14255,12076,2061,NA,NA,15306,2082,NA,NA,15413,15834,15297,15413,New experiment,6,3002,7,yes,1024
75,75,412.875,412.875,black,legacy,legacy,legacy,0,congruent,uniform,0,undefined,0,h,0,0,0,7,7,0,7,0,7,0,0,0,7,7,7,7,Sun Sep 24 12:55:52 2023,1500,The main experiment item,yes,Flankertask.osexp,/Users/Thingtwo/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,7,7,/Users/Thingtwo/Desktop/NC-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.14,0,s,NA,s,NA,NA,s,301,NA,3097,NA,NA,301,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,5187,NA,NA,15839,12076,2061,NA,NA,16887,2082,NA,NA,16993,17295,16881,16993,New experiment,6,3303,8,yes,1024
77.77777778,77.77777778,409.2222222,409.2222222,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,8,8,0,8,0,8,0,0,0,8,8,8,8,Sun Sep 24 12:55:52 2023,1500,The main experiment item,yes,Flankertask.osexp,/Users/Thingtwo/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,8,8,/Users/Thingtwo/Desktop/NC-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.14,0,s,NA,s,NA,NA,s,380,NA,3097,NA,NA,380,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,5187,NA,NA,17811,17300,2061,NA,NA,18862,2082,NA,NA,18970,19350,18855,18969,New experiment,7,3683,9,yes,1024
80,80,405.4,405.4,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,9,9,0,9,0,9,0,0,0,9,9,9,9,Sun Sep 24 12:55:52 2023,1500,The main experiment item,yes,Flankertask.osexp,/Users/Thingtwo/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,9,9,/Users/Thingtwo/Desktop/NC-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.14,0,h,NA,s,NA,NA,h,371,NA,3097,NA,NA,371,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,5187,NA,NA,19355,17300,2061,NA,NA,20404,2082,NA,NA,20510,20881,20397,20510,New experiment,8,4054,10,yes,1024
