acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ISI,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instructions1,count_instructions2,count_instructions3,count_keyboard_response,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instructions1,response_instructions2,response_instructions3,response_keyboard_response,response_time,response_time_finish,response_time_instructions1,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ISI,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instructions1,time_instructions2,time_instructions3,time_keyboard_response,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
0,0,1500,1500,black,legacy,legacy,legacy,0,congruent,uniform,0,undefined,0,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/19 20:18,1500,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,0,0,E:/Classwork/AQMAED/MA-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,None,NA,h,NA,NA,None,1500,NA,40631,NA,NA,1500,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,42751,NA,NA,NA,NA,2113,NA,NA,42829,2119,NA,NA,42932,44432,42827,42932,Flanker Experiment,0,1500,1,yes,1024
0,0,1500,1500,black,legacy,legacy,legacy,0,congruent,uniform,0,undefined,0,h,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,9/29/19 20:18,1500,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,1,1,E:/Classwork/AQMAED/MA-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,None,NA,h,NA,NA,None,1500,NA,40631,NA,NA,1500,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,42751,NA,NA,44959,44455,2113,NA,NA,46112,2119,NA,NA,46216,47716,46109,46215,Flanker Experiment,0,3000,2,yes,1024
33.33333333,33.33333333,1237.666667,1237.666667,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,2,2,0,2,0,2,0,0,0,2,2,2,2,9/29/19 20:18,1500,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,2,2,E:/Classwork/AQMAED/MA-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,NA,NA,h,713,NA,40631,NA,NA,713,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,42751,NA,NA,48239,47735,2113,NA,NA,49394,2119,NA,NA,49498,50212,49390,49498,Flanker Experiment,1,3713,3,yes,1024
50,50,1074.5,1074.5,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,3,3,0,3,0,3,0,0,0,3,3,3,3,9/29/19 20:18,1500,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,3,3,E:/Classwork/AQMAED/MA-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,NA,NA,h,585,NA,40631,NA,NA,585,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,42751,NA,NA,50219,47735,2113,NA,NA,51408,2119,NA,NA,51512,52097,51405,51511,Flanker Experiment,2,4298,4,yes,1024
60,60,939.4,939.4,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,4,4,0,4,0,4,0,0,0,4,4,4,4,9/29/19 20:18,1500,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,4,4,E:/Classwork/AQMAED/MA-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,NA,NA,h,399,NA,40631,NA,NA,399,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,42751,NA,NA,52106,47735,2113,NA,NA,53345,2119,NA,NA,53450,53850,53341,53450,Flanker Experiment,3,4697,5,yes,1024
66.66666667,66.66666667,844.6666667,844.6666667,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,5,5,0,5,0,5,0,0,0,5,5,5,5,9/29/19 20:18,1500,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,5,5,E:/Classwork/AQMAED/MA-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,371,NA,40631,NA,NA,371,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,42751,NA,NA,53863,47735,2113,NA,NA,55040,2119,NA,NA,55145,55516,55038,55145,Flanker Experiment,4,5068,6,yes,1024
57.14285714,57.14285714,776.4285714,776.4285714,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,s,0,0,0,6,6,0,6,0,6,0,0,0,6,6,6,6,9/29/19 20:18,1500,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,6,6,E:/Classwork/AQMAED/MA-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,NA,NA,h,367,NA,40631,NA,NA,367,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,42751,NA,NA,55526,47735,2113,NA,NA,56715,2119,NA,NA,56820,57188,56712,56819,Flanker Experiment,4,5435,7,yes,1024
50,50,725.25,725.25,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,s,0,0,0,7,7,0,7,0,7,0,0,0,7,7,7,7,9/29/19 20:18,1500,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,7,7,E:/Classwork/AQMAED/MA-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,NA,NA,h,367,NA,40631,NA,NA,367,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,42751,NA,NA,57705,57201,2113,NA,NA,58931,2119,NA,NA,59035,59403,58925,59035,Flanker Experiment,4,5802,8,yes,1024
55.55555556,55.55555556,706.8888889,706.8888889,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,8,8,0,8,0,8,0,0,0,8,8,8,8,9/29/19 20:18,1500,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,8,8,E:/Classwork/AQMAED/MA-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,560,NA,40631,NA,NA,560,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,42751,NA,NA,59920,59415,2113,NA,NA,61089,2119,NA,NA,61194,61755,61086,61193,Flanker Experiment,5,6362,9,yes,1024
60,60,675.9,675.9,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,9,9,0,9,0,9,0,0,0,9,9,9,9,9/29/19 20:18,1500,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,9,9,E:/Classwork/AQMAED/MA-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,397,NA,40631,NA,NA,397,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,42751,NA,NA,61768,59415,2113,NA,NA,62983,2119,NA,NA,63088,63486,62979,63088,Flanker Experiment,6,6759,10,yes,1024
