"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_ISI","count_block1","count_block2","count_block3","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_ISI","time_block1","time_block2","time_block3","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1450","1450","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Sep 27 18:57:50 2020","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files","no","mono","no","18","no","white","no","yes","1440","legacy","0","0","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/CK-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","1450","NA","29271","NA","NA","1450","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","NA","30778","NA","NA","NA","1501","NA","NA","30900","1506","NA","NA","31017","32468","30895","31017","Flanker task","1","1450","1","yes","2560"
"100","100","1224","1224","black","legacy","legacy","legacy","0","conruent","uniform","1","undefined","1","s","1","0","0","0","1","0","1","0","1","0","0","0","1","1","1","1","Sun Sep 27 18:57:50 2020","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files","no","mono","no","18","no","white","no","yes","1440","legacy","1","1","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/CK-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","998","NA","29271","NA","NA","998","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","32477","30778","NA","NA","NA","1501","NA","NA","33599","1506","NA","NA","33703","34702","33593","33703","Flanker task","2","2448","2","yes","2560"
"100","100","1200","1200","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","2","0","0","0","2","0","2","0","2","0","0","0","2","2","2","2","Sun Sep 27 18:57:50 2020","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files","no","mono","no","18","no","white","no","yes","1440","legacy","2","2","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/CK-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","1152","NA","29271","NA","NA","1152","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","34709","30778","NA","NA","NA","1501","NA","NA","35833","1506","NA","NA","35937","37089","35828","35937","Flanker task","3","3600","3","yes","2560"
"100","100","1187.75","1187.75","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","3","0","0","0","3","0","3","0","3","0","0","0","3","3","3","3","Sun Sep 27 18:57:50 2020","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files","no","mono","no","18","no","white","no","yes","1440","legacy","3","3","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/CK-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","1151","NA","29271","NA","NA","1151","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","37095","30778","NA","NA","NA","1501","NA","NA","38223","1506","NA","NA","38343","39494","38218","38342","Flanker task","4","4751","4","yes","2560"
"100","100","1208.2","1208.2","black","legacy","legacy","legacy","0","conruent","uniform","1","undefined","1","s","4","0","0","0","4","0","4","0","4","0","0","0","4","4","4","4","Sun Sep 27 18:57:50 2020","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files","no","mono","no","18","no","white","no","yes","1440","legacy","4","4","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/CK-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","1290","NA","29271","NA","NA","1290","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","39502","30778","NA","NA","NA","1501","NA","NA","40629","1506","NA","NA","40734","42024","40623","40734","Flanker task","5","6041","5","yes","2560"
"100","100","1159.8333333333333","1159.8333333333333","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","5","0","0","0","5","0","5","0","5","0","0","0","5","5","5","5","Sun Sep 27 18:57:50 2020","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files","no","mono","no","18","no","white","no","yes","1440","legacy","5","5","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/CK-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","918","NA","29271","NA","NA","918","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","42032","30778","NA","NA","NA","1501","NA","NA","43162","1506","NA","NA","43280","44199","43157","43280","Flanker task","6","6959","6","yes","2560"
"100","100","1122.7142857142858","1122.7142857142858","black","legacy","legacy","legacy","0","conruent","uniform","1","undefined","1","s","6","0","0","0","6","0","6","0","6","0","0","0","6","6","6","6","Sun Sep 27 18:57:50 2020","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files","no","mono","no","18","no","white","no","yes","1440","legacy","6","6","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/CK-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","900","NA","29271","NA","NA","900","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","44206","30778","NA","NA","NA","1501","NA","NA","45331","1506","NA","NA","45435","46335","45325","45435","Flanker task","7","7859","7","yes","2560"
"100","100","1107.75","1107.75","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","7","0","0","0","7","0","7","0","7","0","0","0","7","7","7","7","Sun Sep 27 18:57:50 2020","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files","no","mono","no","18","no","white","no","yes","1440","legacy","7","7","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/CK-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","1003","NA","29271","NA","NA","1003","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","46343","30778","NA","NA","NA","1501","NA","NA","47469","1506","NA","NA","47573","48576","47464","47573","Flanker task","8","8862","8","yes","2560"
"100","100","1087.5555555555557","1087.5555555555557","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","8","0","0","0","8","0","8","0","8","0","0","0","8","8","8","8","Sun Sep 27 18:57:50 2020","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files","no","mono","no","18","no","white","no","yes","1440","legacy","8","8","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/CK-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","926","NA","29271","NA","NA","926","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","48584","30778","NA","NA","NA","1501","NA","NA","49710","1506","NA","NA","49814","50741","49704","49814","Flanker task","9","9788","9","yes","2560"
"100","100","1076.8","1076.8","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","9","0","0","0","9","0","9","0","9","0","0","0","9","9","9","9","Sun Sep 27 18:57:50 2020","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files","no","mono","no","18","no","white","no","yes","1440","legacy","9","9","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/CK-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","980","NA","29271","NA","NA","980","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","50748","30778","NA","NA","NA","1501","NA","NA","51877","1506","NA","NA","51982","52963","51871","51981","Flanker task","10","10768","10","yes","2560"
