"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_ISI","count_errorfeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ISI","time_errorfeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","607","607","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mon Sep 19 12:56:51 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1/dm-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","h","NA","NA","h","607","NA","201048","NA","NA","607","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","208151","NA","NA","NA","NA","7087","NA","NA","208315","7101","NA","NA","208419","209027","208312","208419","Flanker Task","1","607","1","yes","1024"
"100","100","597.5","597.5","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","1","1","0","1","0","1","0","0","0","1","1","1","1","Mon Sep 19 12:56:51 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1/dm-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","h","NA","NA","h","588","NA","201048","NA","NA","588","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","208151","NA","NA","209040","NA","7087","NA","NA","210219","7101","NA","NA","210322","210911","210216","210322","Flanker Task","2","1195","2","yes","1024"
"100","100","546","546","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","2","2","0","2","0","2","0","0","0","2","2","2","2","Mon Sep 19 12:56:51 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1/dm-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","443","NA","201048","NA","NA","443","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","208151","NA","NA","210916","NA","7087","NA","NA","212079","7101","NA","NA","212182","212626","212076","212182","Flanker Task","3","1638","3","yes","1024"
"100","100","523","523","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","3","3","0","3","0","3","0","0","0","3","3","3","3","Mon Sep 19 12:56:51 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1/dm-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","454","NA","201048","NA","NA","454","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","208151","NA","NA","212633","NA","7087","NA","NA","213811","7101","NA","NA","213913","214368","213807","213913","Flanker Task","4","2092","4","yes","1024"
"100","100","621.8","621.8","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","4","4","0","4","0","4","0","0","0","4","4","4","4","Mon Sep 19 12:56:51 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1/dm-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","h","NA","NA","h","1017","NA","201048","NA","NA","1017","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","208151","NA","NA","214374","NA","7087","NA","NA","215544","7101","NA","NA","215647","216665","215541","215646","Flanker Task","5","3109","5","yes","1024"
"100","100","632.1666666666666","632.1666666666666","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","5","5","0","5","0","5","0","0","0","5","5","5","5","Mon Sep 19 12:56:51 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1/dm-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","684","NA","201048","NA","NA","684","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","208151","NA","NA","216671","NA","7087","NA","NA","217839","7101","NA","NA","217941","218626","217835","217941","Flanker Task","6","3793","6","yes","1024"
"100","100","614.8571428571429","614.8571428571429","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","6","6","0","6","0","6","0","0","0","6","6","6","6","Mon Sep 19 12:56:51 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1/dm-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","h","NA","NA","h","511","NA","201048","NA","NA","511","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","208151","NA","NA","218633","NA","7087","NA","NA","219815","7101","NA","NA","219917","220429","219812","219917","Flanker Task","7","4304","7","yes","1024"
"100","100","601.875","601.875","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","7","7","0","7","0","7","0","0","0","7","7","7","7","Mon Sep 19 12:56:51 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1/dm-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","511","NA","201048","NA","NA","511","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","208151","NA","NA","220438","NA","7087","NA","NA","221610","7101","NA","NA","221713","222225","221606","221713","Flanker Task","8","4815","8","yes","1024"
"100","100","584.4444444444445","584.4444444444445","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","8","8","0","8","0","8","0","0","0","8","8","8","8","Mon Sep 19 12:56:51 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1/dm-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","445","NA","201048","NA","NA","445","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","208151","NA","NA","222234","NA","7087","NA","NA","223415","7101","NA","NA","223518","223963","223411","223518","Flanker Task","9","5260","9","yes","1024"
"100","100","580.5","580.5","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","9","9","0","9","0","9","0","0","0","9","9","9","9","Mon Sep 19 12:56:51 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1/dm-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","h","NA","NA","h","545","NA","201048","NA","NA","545","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","208151","NA","NA","223995","NA","7087","NA","NA","225159","7101","NA","NA","225262","225808","225154","225262","Flanker Task","10","5805","10","yes","1024"
