"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","condition","correct","correct_instructions1","correct_keyboard_response","correct_response","count_ISI","count_block1","count_block2","count_block3","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixatiom","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_ISI","time_block1","time_block2","time_block3","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixatiom","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","width"
"100","100","739","739","black","psycho","psycho","psycho","incongruent","1","undefined","1","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Sep 17 15:50:54 2023","1500","The main experiment item","True","Flankertask.osexp","/Users/xaleyelyse/Desktop","False","mono","False","18","no","white","no","yes","768","psycho","0","0","/Users/xaleyelyse/Downloads/xwsubject-1.csv","psycho","Melodramatic Milgram","4.0.5","0","h","NA","s","NA","NA","h","739.4897710037185","NA","51868.98840199865","NA","NA","739.4897710037185","2","psycho","1024","2","48000","-16","experiment","SSHSS","1","odd","NA","55567.40831199568","NA","NA","NA","3633.1986139994115","NA","NA","55639.07735599787","3681.248751003295","NA","NA","55746.65041100525","56488.27832299867","55616.25929000729","55746.33644100686","Flanker task","1","739.4897710037185","1","1024"
"100","100","647","647","black","psycho","psycho","psycho","congruent","1","undefined","1","h","1","0","0","0","1","0","1","0","1","0","0","0","1","1","1","1","Sun Sep 17 15:50:54 2023","1500","The main experiment item","True","Flankertask.osexp","/Users/xaleyelyse/Desktop","False","mono","False","18","no","white","no","yes","768","psycho","1","1","/Users/xaleyelyse/Downloads/xwsubject-1.csv","psycho","Melodramatic Milgram","4.0.5","0","h","NA","s","NA","NA","h","556.2373169959756","NA","51868.98840199865","NA","NA","556.2373169959756","2","psycho","1024","2","48000","-16","experiment","HHHHH","1","odd","56495.152179995785","55567.40831199568","NA","NA","NA","3633.1986139994115","NA","NA","57545.13245000271","3681.248751003295","NA","NA","57652.86177300732","58214.18686599645","57533.476826996775","57652.49112500169","Flanker task","2","1295.727087999694","2","1024"
"100","100","582","582","black","psycho","psycho","psycho","congruent","1","undefined","1","s","2","0","0","0","2","0","2","0","2","0","0","0","2","2","2","2","Sun Sep 17 15:50:54 2023","1500","The main experiment item","True","Flankertask.osexp","/Users/xaleyelyse/Desktop","False","mono","False","18","no","white","no","yes","768","psycho","2","2","/Users/xaleyelyse/Downloads/xwsubject-1.csv","psycho","Melodramatic Milgram","4.0.5","0","s","NA","s","NA","NA","s","451.46526700409595","NA","51868.98840199865","NA","NA","451.46526700409595","2","psycho","1024","2","48000","-16","experiment","SSSSS","1","odd","58221.08606400434","55567.40831199568","NA","NA","NA","3633.1986139994115","NA","NA","59270.88977000676","3681.248751003295","NA","NA","59377.639968995936","59831.13001199672","59259.28078099969","59377.354716008995","Flanker task","3","1747.19235500379","3","1024"
"100","100","537","537","black","psycho","psycho","psycho","congruent","1","undefined","1","s","3","0","0","0","3","0","3","0","3","0","0","0","3","3","3","3","Sun Sep 17 15:50:54 2023","1500","The main experiment item","True","Flankertask.osexp","/Users/xaleyelyse/Desktop","False","mono","False","18","no","white","no","yes","768","psycho","3","3","/Users/xaleyelyse/Downloads/xwsubject-1.csv","psycho","Melodramatic Milgram","4.0.5","0","s","NA","s","NA","NA","s","401.7750079947291","NA","51868.98840199865","NA","NA","401.7750079947291","2","psycho","1024","2","48000","-16","experiment","SSSSS","1","odd","59836.071429002914","55567.40831199568","NA","NA","NA","3633.1986139994115","NA","NA","60892.555512997205","3681.248751003295","NA","NA","60998.21452400647","61401.954311004374","60880.00682200072","60997.09944099595","Flanker task","4","2148.967362998519","4","1024"
"100","100","535","535","black","psycho","psycho","psycho","incongruent","1","undefined","1","h","4","0","0","0","4","0","4","0","4","0","0","0","4","4","4","4","Sun Sep 17 15:50:54 2023","1500","The main experiment item","True","Flankertask.osexp","/Users/xaleyelyse/Desktop","False","mono","False","18","no","white","no","yes","768","psycho","4","4","/Users/xaleyelyse/Downloads/xwsubject-1.csv","psycho","Melodramatic Milgram","4.0.5","0","h","NA","s","NA","NA","h","529.3512799980817","NA","51868.98840199865","NA","NA","529.3512799980817","2","psycho","1024","2","48000","-16","experiment","SSHSS","1","odd","61410.58934699686","55567.40831199568","NA","NA","NA","3633.1986139994115","NA","NA","62467.66747599759","3681.248751003295","NA","NA","62573.64675399731","63104.90538300655","62453.33627400396","62572.5120230054","Flanker task","5","2678.318642996601","5","1024"
"100","100","524","524","black","psycho","psycho","psycho","congruent","1","undefined","1","h","5","0","0","0","5","0","5","0","5","0","0","0","5","5","5","5","Sun Sep 17 15:50:54 2023","1500","The main experiment item","True","Flankertask.osexp","/Users/xaleyelyse/Desktop","False","mono","False","18","no","white","no","yes","768","psycho","5","5","/Users/xaleyelyse/Downloads/xwsubject-1.csv","psycho","Melodramatic Milgram","4.0.5","0","h","NA","s","NA","NA","h","468.7178720050724","NA","51868.98840199865","NA","NA","468.7178720050724","2","psycho","1024","2","48000","-16","experiment","HHHHH","1","odd","63109.8473900056","55567.40831199568","NA","NA","NA","3633.1986139994115","NA","NA","64160.71873399778","3681.248751003295","NA","NA","64267.9468330025","64738.732733996585","64148.13295399654","64267.589092007256","Flanker task","6","3147.0365150016733","6","1024"
"100","100","511","511","black","psycho","psycho","psycho","incongruent","1","undefined","1","h","6","0","0","0","6","0","6","0","6","0","0","0","6","6","6","6","Sun Sep 17 15:50:54 2023","1500","The main experiment item","True","Flankertask.osexp","/Users/xaleyelyse/Desktop","False","mono","False","18","no","white","no","yes","768","psycho","6","6","/Users/xaleyelyse/Downloads/xwsubject-1.csv","psycho","Melodramatic Milgram","4.0.5","0","h","NA","s","NA","NA","h","435.7381090085255","NA","51868.98840199865","NA","NA","435.7381090085255","2","psycho","1024","2","48000","-16","experiment","SSHSS","1","odd","64743.5715150059","55567.40831199568","NA","NA","NA","3633.1986139994115","NA","NA","65795.26464700757","3681.248751003295","NA","NA","65901.82376699522","66339.67709299759","65781.00471200014","65900.7949270017","Flanker task","7","3582.7746240101987","7","1024"
"100","100","512","512","black","psycho","psycho","psycho","incongruent","1","undefined","1","h","7","0","0","0","7","0","7","0","7","0","0","0","7","7","7","7","Sun Sep 17 15:50:54 2023","1500","The main experiment item","True","Flankertask.osexp","/Users/xaleyelyse/Desktop","False","mono","False","18","no","white","no","yes","768","psycho","7","7","/Users/xaleyelyse/Downloads/xwsubject-1.csv","psycho","Melodramatic Milgram","4.0.5","0","h","NA","s","NA","NA","h","519.8040639952524","NA","51868.98840199865","NA","NA","519.8040639952524","2","psycho","1024","2","48000","-16","experiment","SSHSS","1","odd","66344.81912200863","55567.40831199568","NA","NA","NA","3633.1986139994115","NA","NA","67395.07067900558","3681.248751003295","NA","NA","67500.86675200146","68022.67135700095","67383.42564200866","67499.74928199663","Flanker task","8","4102.578688005451","8","1024"
"100","100","500","500","black","psycho","psycho","psycho","congruent","1","undefined","1","h","8","0","0","0","8","0","8","0","8","0","0","0","8","8","8","8","Sun Sep 17 15:50:54 2023","1500","The main experiment item","True","Flankertask.osexp","/Users/xaleyelyse/Desktop","False","mono","False","18","no","white","no","yes","768","psycho","8","8","/Users/xaleyelyse/Downloads/xwsubject-1.csv","psycho","Melodramatic Milgram","4.0.5","0","h","NA","s","NA","NA","h","405.7509809936164","NA","51868.98840199865","NA","NA","405.7509809936164","2","psycho","1024","2","48000","-16","experiment","HHHHH","1","odd","68029.36590700119","55567.40831199568","NA","NA","NA","3633.1986139994115","NA","NA","69079.22513299854","3681.248751003295","NA","NA","69185.93097000849","69593.77879199747","69066.34946500708","69184.8152839957","Flanker task","9","4508.3296689990675","9","1024"
"100","100","492","492","black","psycho","psycho","psycho","congruent","1","undefined","1","s","9","0","0","0","9","0","9","0","9","0","0","0","9","9","9","9","Sun Sep 17 15:50:54 2023","1500","The main experiment item","True","Flankertask.osexp","/Users/xaleyelyse/Desktop","False","mono","False","18","no","white","no","yes","768","psycho","9","9","/Users/xaleyelyse/Downloads/xwsubject-1.csv","psycho","Melodramatic Milgram","4.0.5","0","s","NA","s","NA","NA","s","414.9443979986245","NA","51868.98840199865","NA","NA","414.9443979986245","2","psycho","1024","2","48000","-16","experiment","SSSSS","1","odd","69598.38966399548","55567.40831199568","NA","NA","NA","3633.1986139994115","NA","NA","70653.61941599986","3681.248751003295","NA","NA","70760.427583009","71177.38727999676","70641.3819330046","70760.11512099649","Flanker task","10","4923.274066997692","10","1024"
