"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","condition","correct","correct_instructions1","correct_keyboard_response","correct_response","count_ISI","count_block1","count_block2","count_block3","count_errorFeedback","count_experiment","count_faster","count_fixation","count_getting_started","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_new_sketchpad","count_sequence","count_stimulus","count_welcome","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_new_sketchpad","response_time","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","response_time_new_sketchpad","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_ISI","time_block1","time_block2","time_block3","time_errorFeedback","time_experiment","time_faster","time_fixation","time_getting_started","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_new_sketchpad","time_sequence","time_stimulus","time_welcome","title","total_correct","total_response_time","total_responses","width"
"100","100","1277","1277","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","NA","Sat Sep 16 21:21:51 2023","1500","The main experiment item","True","FlankerTask.osexp","C:/Users/backs/OneDrive/Documents","False","mono","False","18","no","white","no","yes","768","legacy","0","0","C:/Users/backs/OneDrive/Documents/BZ-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","h","s","NA","NA","h","NA","1277.0","51568","NA","NA","1277","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","NA","59404","NA","NA","NA","7812","NA","59619","NA","7835","NA","NA","59720","60998","NA","59618","59720","NA","Flanker Task ","1","1277.0","1","1024"
"100","100","1114","1114","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","1","0","0","0","1","0","1","1","NA","0","0","0","1","1","0","1","1","NA","Sat Sep 16 21:21:51 2023","1500","The main experiment item","True","FlankerTask.osexp","C:/Users/backs/OneDrive/Documents","False","mono","False","18","no","white","no","yes","768","legacy","1","1","C:/Users/backs/OneDrive/Documents/BZ-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","h","s","NA","NA","h","NA","952.0","51568","NA","NA","952","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","61005","59404","NA","NA","NA","7812","NA","62075","NA","7835","NA","NA","62176","63128","NA","62073","62176","NA","Flanker Task ","2","2229.0","2","1024"
"100","100","960","960","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","2","0","0","0","2","0","2","2","NA","0","0","0","2","2","0","2","2","NA","Sat Sep 16 21:21:51 2023","1500","The main experiment item","True","FlankerTask.osexp","C:/Users/backs/OneDrive/Documents","False","mono","False","18","no","white","no","yes","768","legacy","2","2","C:/Users/backs/OneDrive/Documents/BZ-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","h","s","NA","NA","h","NA","652.0","51568","NA","NA","652","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","63133","59404","NA","NA","NA","7812","NA","64211","NA","7835","NA","NA","64313","64966","NA","64209","64313","NA","Flanker Task ","3","2881.0","3","1024"
"100","100","914","914","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","3","0","0","0","3","0","3","3","NA","0","0","0","3","3","0","3","3","NA","Sat Sep 16 21:21:51 2023","1500","The main experiment item","True","FlankerTask.osexp","C:/Users/backs/OneDrive/Documents","False","mono","False","18","no","white","no","yes","768","legacy","3","3","C:/Users/backs/OneDrive/Documents/BZ-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","s","s","NA","NA","s","NA","777.0","51568","NA","NA","777","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","64971","59404","NA","NA","NA","7812","NA","66060","NA","7835","NA","NA","66161","66939","NA","66058","66161","NA","Flanker Task ","4","3658.0","4","1024"
"100","100","862","862","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","4","0","0","0","4","0","4","4","NA","0","0","0","4","4","0","4","4","NA","Sat Sep 16 21:21:51 2023","1500","The main experiment item","True","FlankerTask.osexp","C:/Users/backs/OneDrive/Documents","False","mono","False","18","no","white","no","yes","768","legacy","4","4","C:/Users/backs/OneDrive/Documents/BZ-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","s","s","NA","NA","s","NA","653.0","51568","NA","NA","653","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","66943","59404","NA","NA","NA","7812","NA","68027","NA","7835","NA","NA","68129","68783","NA","68025","68129","NA","Flanker Task ","5","4311.0","5","1024"
"100","100","837","837","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","5","0","0","0","5","0","5","5","NA","0","0","0","5","5","0","5","5","NA","Sat Sep 16 21:21:51 2023","1500","The main experiment item","True","FlankerTask.osexp","C:/Users/backs/OneDrive/Documents","False","mono","False","18","no","white","no","yes","768","legacy","5","5","C:/Users/backs/OneDrive/Documents/BZ-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","h","s","NA","NA","h","NA","713.0","51568","NA","NA","713","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","68790","59404","NA","NA","NA","7812","NA","69875","NA","7835","NA","NA","69977","70691","NA","69873","69977","NA","Flanker Task ","6","5024.0","6","1024"
"100","100","803","803","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","h","6","0","0","0","6","0","6","6","NA","0","0","0","6","6","0","6","6","NA","Sat Sep 16 21:21:51 2023","1500","The main experiment item","True","FlankerTask.osexp","C:/Users/backs/OneDrive/Documents","False","mono","False","18","no","white","no","yes","768","legacy","6","6","C:/Users/backs/OneDrive/Documents/BZ-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","h","s","NA","NA","h","NA","602.0","51568","NA","NA","602","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","70697","59404","NA","NA","NA","7812","NA","71773","NA","7835","NA","NA","71875","72478","NA","71771","71875","NA","Flanker Task ","7","5626.0","7","1024"
"100","100","782","782","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","7","0","0","0","7","0","7","7","NA","0","0","0","7","7","0","7","7","NA","Sat Sep 16 21:21:51 2023","1500","The main experiment item","True","FlankerTask.osexp","C:/Users/backs/OneDrive/Documents","False","mono","False","18","no","white","no","yes","768","legacy","7","7","C:/Users/backs/OneDrive/Documents/BZ-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","s","s","NA","NA","s","NA","634.0","51568","NA","NA","634","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","72482","59404","NA","NA","NA","7812","NA","73572","NA","7835","NA","NA","73674","74309","NA","73570","73674","NA","Flanker Task ","8","6260.0","8","1024"
"100","100","767","767","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","8","0","0","0","8","0","8","8","NA","0","0","0","8","8","0","8","8","NA","Sat Sep 16 21:21:51 2023","1500","The main experiment item","True","FlankerTask.osexp","C:/Users/backs/OneDrive/Documents","False","mono","False","18","no","white","no","yes","768","legacy","8","8","C:/Users/backs/OneDrive/Documents/BZ-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","s","s","NA","NA","s","NA","650.0","51568","NA","NA","650","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","74314","59404","NA","NA","NA","7812","NA","75399","NA","7835","NA","NA","75500","76151","NA","75396","75500","NA","Flanker Task ","9","6910.0","9","1024"
"100","100","746","746","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","h","9","0","0","0","9","0","9","9","NA","0","0","0","9","9","0","9","9","NA","Sat Sep 16 21:21:51 2023","1500","The main experiment item","True","FlankerTask.osexp","C:/Users/backs/OneDrive/Documents","False","mono","False","18","no","white","no","yes","768","legacy","9","9","C:/Users/backs/OneDrive/Documents/BZ-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","h","s","NA","NA","h","NA","550.0","51568","NA","NA","550","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","76157","59404","NA","NA","NA","7812","NA","77221","NA","7835","NA","NA","77323","77874","NA","77219","77323","NA","Flanker Task ","10","7460.0","10","1024"
