acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,condition,correct,correct_instructions1,correct_keyboard_response,correct_response,count_ISI,count_block1,count_block2,count_block3,count_errorFeedback,count_experiment,count_faster,count_fixation,count_getting_started,count_instructions1,count_instructions2,count_instructions3,count_keyboard_response,count_logger,count_new_sketchpad,count_sequence,count_stimulus,count_welcome,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_instructions1,response_instructions2,response_instructions3,response_keyboard_response,response_new_sketchpad,response_time,response_time_instructions1,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,response_time_new_sketchpad,response_time_welcome,response_welcome,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_ISI,time_block1,time_block2,time_block3,time_errorFeedback,time_experiment,time_faster,time_fixation,time_getting_started,time_instructions1,time_instructions2,time_instructions3,time_keyboard_response,time_logger,time_new_sketchpad,time_sequence,time_stimulus,time_welcome,title,total_correct,total_response_time,total_responses,width
100,100,627,627,#3d3846,legacy,legacy,legacy,congruent,1,undefined,1,h,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,Sun Sep 24 20:27:29 2023,1500,The main experiment item,FALSE,FlankerTask.osexp,C:\Users\backs\OneDrive\Documents,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,0,0,C:/Users/backs/OneDrive/Documents/BZ-subject-3.csv,legacy,Melodramatic Milgram,4.0.5,0,h,s,NA,NA,h,NA,627,2200,NA,NA,627,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,NA,5274,NA,NA,NA,3068,NA,5348,NA,3072,NA,NA,5449,6077,NA,5347,5449,NA,Flanker Task ,1,627,1,1024
100,100,548,548,#3d3846,legacy,legacy,legacy,congruent,1,undefined,1,s,1,0,0,0,1,0,1,1,NA,0,0,0,1,1,0,1,1,NA,Sun Sep 24 20:27:29 2023,1500,The main experiment item,FALSE,FlankerTask.osexp,C:\Users\backs\OneDrive\Documents,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,1,1,C:/Users/backs/OneDrive/Documents/BZ-subject-3.csv,legacy,Melodramatic Milgram,4.0.5,0,s,s,NA,NA,s,NA,469,2200,NA,NA,469,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,6085,5274,NA,NA,NA,3068,NA,7132,NA,3072,NA,NA,7233,7703,NA,7131,7233,NA,Flanker Task ,2,1096,2,1024
100,100,514,514,#3d3846,legacy,legacy,legacy,congruent,1,undefined,1,s,2,0,0,0,2,0,2,2,NA,0,0,0,2,2,0,2,2,NA,Sun Sep 24 20:27:29 2023,1500,The main experiment item,FALSE,FlankerTask.osexp,C:\Users\backs\OneDrive\Documents,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,2,2,C:/Users/backs/OneDrive/Documents/BZ-subject-3.csv,legacy,Melodramatic Milgram,4.0.5,0,s,s,NA,NA,s,NA,448,2200,NA,NA,448,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,7708,5274,NA,NA,NA,3068,NA,8751,NA,3072,NA,NA,8852,9301,NA,8750,8852,NA,Flanker Task ,3,1544,3,1024
100,100,504,504,#3d3846,legacy,legacy,legacy,congruent,1,undefined,1,h,3,0,0,0,3,0,3,3,NA,0,0,0,3,3,0,3,3,NA,Sun Sep 24 20:27:29 2023,1500,The main experiment item,FALSE,FlankerTask.osexp,C:\Users\backs\OneDrive\Documents,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,3,3,C:/Users/backs/OneDrive/Documents/BZ-subject-3.csv,legacy,Melodramatic Milgram,4.0.5,0,h,s,NA,NA,h,NA,473,2200,NA,NA,473,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,9304,5274,NA,NA,NA,3068,NA,10358,NA,3072,NA,NA,10459,10932,NA,10356,10459,NA,Flanker Task ,4,2017,4,1024
100,100,518,518,#3d3846,legacy,legacy,legacy,incongruent,1,undefined,1,s,4,0,0,0,4,0,4,4,NA,0,0,0,4,4,0,4,4,NA,Sun Sep 24 20:27:29 2023,1500,The main experiment item,FALSE,FlankerTask.osexp,C:\Users\backs\OneDrive\Documents,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,4,4,C:/Users/backs/OneDrive/Documents/BZ-subject-3.csv,legacy,Melodramatic Milgram,4.0.5,0,s,s,NA,NA,s,NA,576,2200,NA,NA,576,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,10936,5274,NA,NA,NA,3068,NA,12015,NA,3072,NA,NA,12116,12693,NA,12013,12116,NA,Flanker Task ,5,2593,5,1024
100,100,515,515,#3d3846,legacy,legacy,legacy,congruent,1,undefined,1,s,5,0,0,0,5,0,5,5,NA,0,0,0,5,5,0,5,5,NA,Sun Sep 24 20:27:29 2023,1500,The main experiment item,FALSE,FlankerTask.osexp,C:\Users\backs\OneDrive\Documents,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,5,5,C:/Users/backs/OneDrive/Documents/BZ-subject-3.csv,legacy,Melodramatic Milgram,4.0.5,0,s,s,NA,NA,s,NA,498,2200,NA,NA,498,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,12698,5274,NA,NA,NA,3068,NA,13757,NA,3072,NA,NA,13859,14358,NA,13755,13859,NA,Flanker Task ,6,3091,6,1024
100,100,553,553,#3d3846,legacy,legacy,legacy,congruent,1,undefined,1,s,6,0,0,0,6,0,6,6,NA,0,0,0,6,6,0,6,6,NA,Sun Sep 24 20:27:29 2023,1500,The main experiment item,FALSE,FlankerTask.osexp,C:\Users\backs\OneDrive\Documents,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,6,6,C:/Users/backs/OneDrive/Documents/BZ-subject-3.csv,legacy,Melodramatic Milgram,4.0.5,0,s,s,NA,NA,s,NA,782,2200,NA,NA,782,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,14361,5274,NA,NA,NA,3068,NA,15415,NA,3072,NA,NA,15517,16299,NA,15414,15517,NA,Flanker Task ,7,3873,7,1024
100,100,561,561,#3d3846,legacy,legacy,legacy,incongruent,1,undefined,1,h,7,0,0,0,7,0,7,7,NA,0,0,0,7,7,0,7,7,NA,Sun Sep 24 20:27:29 2023,1500,The main experiment item,FALSE,FlankerTask.osexp,C:\Users\backs\OneDrive\Documents,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,7,7,C:/Users/backs/OneDrive/Documents/BZ-subject-3.csv,legacy,Melodramatic Milgram,4.0.5,0,h,s,NA,NA,h,NA,618,2200,NA,NA,618,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,16302,5274,NA,NA,NA,3068,NA,17350,NA,3072,NA,NA,17451,18069,NA,17349,17451,NA,Flanker Task ,8,4491,8,1024
100,100,578,578,#3d3846,legacy,legacy,legacy,incongruent,1,undefined,1,h,8,0,0,0,8,0,8,8,NA,0,0,0,8,8,0,8,8,NA,Sun Sep 24 20:27:29 2023,1500,The main experiment item,FALSE,FlankerTask.osexp,C:\Users\backs\OneDrive\Documents,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,8,8,C:/Users/backs/OneDrive/Documents/BZ-subject-3.csv,legacy,Melodramatic Milgram,4.0.5,0,h,s,NA,NA,h,NA,717,2200,NA,NA,717,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,18074,5274,NA,NA,NA,3068,NA,19133,NA,3072,NA,NA,19234,19951,NA,19132,19234,NA,Flanker Task ,9,5208,9,1024
100,100,561,561,#3d3846,legacy,legacy,legacy,incongruent,1,undefined,1,s,9,0,0,0,9,0,9,9,NA,0,0,0,9,9,0,9,9,NA,Sun Sep 24 20:27:29 2023,1500,The main experiment item,FALSE,FlankerTask.osexp,C:\Users\backs\OneDrive\Documents,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,9,9,C:/Users/backs/OneDrive/Documents/BZ-subject-3.csv,legacy,Melodramatic Milgram,4.0.5,0,s,s,NA,NA,s,NA,406,2200,NA,NA,406,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,19957,5274,NA,NA,NA,3068,NA,21009,NA,3072,NA,NA,21110,21517,NA,21007,21110,NA,Flanker Task ,10,5614,10,1024
100,100,552,552,#3d3846,legacy,legacy,legacy,incongruent,1,undefined,1,h,10,0,0,0,10,0,10,10,NA,0,0,0,10,10,0,10,10,NA,Sun Sep 24 20:27:29 2023,1500,The main experiment item,FALSE,FlankerTask.osexp,C:\Users\backs\OneDrive\Documents,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,10,10,C:/Users/backs/OneDrive/Documents/BZ-subject-3.csv,legacy,Melodramatic Milgram,4.0.5,0,h,s,NA,NA,h,NA,459,2200,NA,NA,459,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,21521,5274,NA,NA,NA,3068,NA,22571,NA,3072,NA,NA,22672,23132,NA,22570,22672,NA,Flanker Task ,11,6073,11,1024
100,100,549,549,#3d3846,legacy,legacy,legacy,congruent,1,undefined,1,h,11,0,0,0,11,0,11,11,NA,0,0,0,11,11,0,11,11,NA,Sun Sep 24 20:27:29 2023,1500,The main experiment item,FALSE,FlankerTask.osexp,C:\Users\backs\OneDrive\Documents,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,11,11,C:/Users/backs/OneDrive/Documents/BZ-subject-3.csv,legacy,Melodramatic Milgram,4.0.5,0,h,s,NA,NA,h,NA,525,2200,NA,NA,525,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,23135,5274,NA,NA,NA,3068,NA,24203,NA,3072,NA,NA,24305,24831,NA,24201,24305,NA,Flanker Task ,12,6598,12,1024
100,100,565,565,#3d3846,legacy,legacy,legacy,congruent,1,undefined,1,h,12,0,0,0,12,0,12,12,NA,0,0,0,12,12,0,12,12,NA,Sun Sep 24 20:27:29 2023,1500,The main experiment item,FALSE,FlankerTask.osexp,C:\Users\backs\OneDrive\Documents,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,12,12,C:/Users/backs/OneDrive/Documents/BZ-subject-3.csv,legacy,Melodramatic Milgram,4.0.5,0,h,s,NA,NA,h,NA,751,2200,NA,NA,751,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,24834,5274,NA,NA,NA,3068,NA,25888,NA,3072,NA,NA,25990,26741,NA,25887,25990,NA,Flanker Task ,13,7349,13,1024
100,100,565,565,#3d3846,legacy,legacy,legacy,congruent,1,undefined,1,s,13,0,0,0,13,0,13,13,NA,0,0,0,13,13,0,13,13,NA,Sun Sep 24 20:27:29 2023,1500,The main experiment item,FALSE,FlankerTask.osexp,C:\Users\backs\OneDrive\Documents,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,13,13,C:/Users/backs/OneDrive/Documents/BZ-subject-3.csv,legacy,Melodramatic Milgram,4.0.5,0,s,s,NA,NA,s,NA,572,2200,NA,NA,572,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,26747,5274,NA,NA,NA,3068,NA,27805,NA,3072,NA,NA,27906,28479,NA,27803,27906,NA,Flanker Task ,14,7921,14,1024
100,100,565,565,#3d3846,legacy,legacy,legacy,incongruent,1,undefined,1,h,14,0,0,0,14,0,14,14,NA,0,0,0,14,14,0,14,14,NA,Sun Sep 24 20:27:29 2023,1500,The main experiment item,FALSE,FlankerTask.osexp,C:\Users\backs\OneDrive\Documents,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,14,14,C:/Users/backs/OneDrive/Documents/BZ-subject-3.csv,legacy,Melodramatic Milgram,4.0.5,0,h,s,NA,NA,h,NA,568,2200,NA,NA,568,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,28483,5274,NA,NA,NA,3068,NA,29533,NA,3072,NA,NA,29634,30203,NA,29532,29634,NA,Flanker Task ,15,8489,15,1024
100,100,567,567,#3d3846,legacy,legacy,legacy,incongruent,1,undefined,1,h,15,0,0,0,15,0,15,15,NA,0,0,0,15,15,0,15,15,NA,Sun Sep 24 20:27:29 2023,1500,The main experiment item,FALSE,FlankerTask.osexp,C:\Users\backs\OneDrive\Documents,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,15,15,C:/Users/backs/OneDrive/Documents/BZ-subject-3.csv,legacy,Melodramatic Milgram,4.0.5,0,h,s,NA,NA,h,NA,586,2200,NA,NA,586,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,30207,5274,NA,NA,NA,3068,NA,31261,NA,3072,NA,NA,31362,31949,NA,31260,31362,NA,Flanker Task ,16,9075,16,1024
100,100,560,560,#3d3846,legacy,legacy,legacy,congruent,1,undefined,1,s,16,0,0,0,16,0,16,16,NA,0,0,0,16,16,0,16,16,NA,Sun Sep 24 20:27:29 2023,1500,The main experiment item,FALSE,FlankerTask.osexp,C:\Users\backs\OneDrive\Documents,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,16,16,C:/Users/backs/OneDrive/Documents/BZ-subject-3.csv,legacy,Melodramatic Milgram,4.0.5,0,s,s,NA,NA,s,NA,453,2200,NA,NA,453,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,31951,5274,NA,NA,NA,3068,NA,32998,NA,3072,NA,NA,33099,33553,NA,32996,33099,NA,Flanker Task ,17,9528,17,1024
