"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboardresponse","correct_response","count_block1","count_block2","count_block3","count_errorfeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_isi","count_keyboardresponse","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_keyboardresponse","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboardresponse","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_block1","time_block2","time_block3","time_errorfeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_isi","time_keyboardresponse","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","463","463","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09/27/20 21:58:42","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","no","768","legacy","0","0","C:/Users/User/Desktop/Quant 2020 - Copy/GT-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","463","NA","5390","NA","NA","463","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","6887","NA","NA","NA","1493","NA","NA","7002","1496","NA","NA","NA","7104","7568","6999","7104","New experiment","1","463","1","yes","1024"
"100","100","498.5","498.5","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","1","0","1","0","1","0","0","0","1","1","1","1","1","09/27/20 21:58:42","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","no","768","legacy","1","1","C:/Users/User/Desktop/Quant 2020 - Copy/GT-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","534","NA","5390","NA","NA","534","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","6887","NA","NA","NA","1493","NA","NA","8770","1496","NA","NA","7598","8872","9407","8767","8872","New experiment","2","997","2","yes","1024"
"100","100","481.666666667","481.666666667","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","2","0","2","0","2","0","0","0","2","2","2","2","2","09/27/20 21:58:42","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","no","768","legacy","2","2","C:/Users/User/Desktop/Quant 2020 - Copy/GT-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","448","NA","5390","NA","NA","448","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","6887","NA","NA","NA","1493","NA","NA","10512","1496","NA","NA","9412","10614","11063","10509","10614","New experiment","3","1445","3","yes","1024"
"100","100","495.25","495.25","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","3","0","3","0","3","0","0","0","3","3","3","3","3","09/27/20 21:58:42","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","no","768","legacy","3","3","C:/Users/User/Desktop/Quant 2020 - Copy/GT-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","536","NA","5390","NA","NA","536","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","6887","NA","NA","NA","1493","NA","NA","12169","1496","NA","NA","11068","12271","12808","12166","12271","New experiment","4","1981","4","yes","1024"
"80","80","490","490","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","h","0","0","0","4","0","4","0","4","0","0","0","4","4","4","4","4","09/27/20 21:58:42","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","no","768","legacy","4","4","C:/Users/User/Desktop/Quant 2020 - Copy/GT-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","469","NA","5390","NA","NA","469","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","6887","NA","NA","NA","1493","NA","NA","13944","1496","NA","NA","12813","14046","14516","13940","14046","New experiment","4","2450","5","yes","1024"
"83.3333333333","83.3333333333","486.333333333","486.333333333","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","5","0","5","0","5","0","0","0","5","5","5","5","5","09/27/20 21:58:42","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","no","768","legacy","5","5","C:/Users/User/Desktop/Quant 2020 - Copy/GT-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","468","NA","5390","NA","NA","468","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","6887","NA","NA","14522","1493","NA","NA","16120","1496","NA","NA","15024","16222","16691","16117","16222","New experiment","5","2918","6","yes","1024"
"85.7142857143","85.7142857143","480.571428571","480.571428571","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","6","0","6","0","6","0","0","0","6","6","6","6","6","09/27/20 21:58:42","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","no","768","legacy","6","6","C:/Users/User/Desktop/Quant 2020 - Copy/GT-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","446","NA","5390","NA","NA","446","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","6887","NA","NA","14522","1493","NA","NA","17796","1496","NA","NA","16696","17898","18344","17793","17898","New experiment","6","3364","7","yes","1024"
"87.5","87.5","471.375","471.375","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","7","0","7","0","7","0","0","0","7","7","7","7","7","09/27/20 21:58:42","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","no","768","legacy","7","7","C:/Users/User/Desktop/Quant 2020 - Copy/GT-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","407","NA","5390","NA","NA","407","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","6887","NA","NA","14522","1493","NA","NA","19448","1496","NA","NA","18350","19550","19957","19445","19550","New experiment","7","3771","8","yes","1024"
"88.8888888889","88.8888888889","471.777777778","471.777777778","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","8","0","8","0","8","0","0","0","8","8","8","8","8","09/27/20 21:58:42","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","no","768","legacy","8","8","C:/Users/User/Desktop/Quant 2020 - Copy/GT-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","475","NA","5390","NA","NA","475","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","6887","NA","NA","14522","1493","NA","NA","21065","1496","NA","NA","19963","21167","21643","21062","21167","New experiment","8","4246","9","yes","1024"
"90","90","467.9","467.9","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","9","0","9","0","9","0","0","0","9","9","9","9","9","09/27/20 21:58:42","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","no","768","legacy","9","9","C:/Users/User/Desktop/Quant 2020 - Copy/GT-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","433","NA","5390","NA","NA","433","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","6887","NA","NA","14522","1493","NA","NA","22748","1496","NA","NA","21649","22851","23285","22746","22851","New experiment","9","4679","10","yes","1024"
