"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_Instructions1","correct_keyboard_response","correct_response","count_Finish","count_ISI","count_Instructions1","count_Instructions2","count_Instructions3","count_block1","count_block2","count_block3","count_errorFeedback","count_experiment","count_faster","count_fixation","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finish","response_Instructions1","response_Instructions2","response_Instructions3","response_keyboard_response","response_time","response_time_Finish","response_time_Instructions1","response_time_Instructions2","response_time_Instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Finish","time_ISI","time_Instructions1","time_Instructions2","time_Instructions3","time_block1","time_block2","time_block3","time_errorFeedback","time_experiment","time_faster","time_fixation","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","865","865","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09/26/20 22:49:10","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/Jennifer Wright/Desktop/PSYC5613/th-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","865","NA","232378","NA","NA","865","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","NA","NA","6502","NA","NA","238883","NA","NA","NA","6493","NA","239747","239852","240718","239740","239852","Flanker Task","1","865","1","yes","1024"
"100","100","765.5","765.5","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","1","0","0","0","0","0","0","1","0","1","1","1","1","1","1","09/26/20 22:49:10","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/Jennifer Wright/Desktop/PSYC5613/th-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","666","NA","232378","NA","NA","666","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","NA","240851","6502","NA","NA","238883","NA","NA","NA","6493","NA","242049","242155","242822","242042","242154","Flanker Task","2","1531","2","yes","1024"
"100","100","748.333333333","748.333333333","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","2","0","0","0","0","0","0","2","0","2","2","2","2","2","2","09/26/20 22:49:10","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/Jennifer Wright/Desktop/PSYC5613/th-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","714","NA","232378","NA","NA","714","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","NA","242867","6502","NA","NA","238883","NA","NA","NA","6493","NA","244070","244175","244891","244063","244175","Flanker Task","3","2245","3","yes","1024"
"100","100","703.25","703.25","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","3","0","0","0","0","0","0","3","0","3","3","3","3","3","3","09/26/20 22:49:10","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/Jennifer Wright/Desktop/PSYC5613/th-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","568","NA","232378","NA","NA","568","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","NA","244937","6502","NA","NA","238883","NA","NA","NA","6493","NA","246130","246236","246805","246122","246236","Flanker Task","4","2813","4","yes","1024"
"100","100","686.8","686.8","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","4","0","0","0","0","0","0","4","0","4","4","4","4","4","4","09/26/20 22:49:10","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/Jennifer Wright/Desktop/PSYC5613/th-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","621","NA","232378","NA","NA","621","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","NA","246883","6502","NA","NA","238883","NA","NA","NA","6493","NA","248071","248177","248799","248065","248176","Flanker Task","5","3434","5","yes","1024"
"100","100","661.833333333","661.833333333","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","5","0","0","0","0","0","0","5","0","5","5","5","5","5","5","09/26/20 22:49:10","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/Jennifer Wright/Desktop/PSYC5613/th-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","537","NA","232378","NA","NA","537","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","NA","248854","6502","NA","NA","238883","NA","NA","NA","6493","NA","250043","250150","250688","250037","250149","Flanker Task","6","3971","6","yes","1024"
"100","100","625.142857143","625.142857143","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","6","0","0","0","0","0","0","6","0","6","6","6","6","6","6","09/26/20 22:49:10","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/Jennifer Wright/Desktop/PSYC5613/th-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","405","NA","232378","NA","NA","405","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","NA","250725","6502","NA","NA","238883","NA","NA","NA","6493","NA","251921","252032","252439","251913","252032","Flanker Task","7","4376","7","yes","1024"
"100","100","605.875","605.875","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","7","0","0","0","0","0","0","7","0","7","7","7","7","7","7","09/26/20 22:49:10","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/Jennifer Wright/Desktop/PSYC5613/th-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","471","NA","232378","NA","NA","471","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","NA","252531","6502","NA","NA","238883","NA","NA","NA","6493","NA","253724","253830","254303","253717","253829","Flanker Task","8","4847","8","yes","1024"
"100","100","586","586","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","8","0","0","0","0","0","0","8","0","8","8","8","8","8","8","09/26/20 22:49:10","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/Jennifer Wright/Desktop/PSYC5613/th-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","427","NA","232378","NA","NA","427","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","NA","254334","6502","NA","NA","238883","NA","NA","NA","6493","NA","255522","255628","256057","255516","255627","Flanker Task","9","5274","9","yes","1024"
"100","100","589.6","589.6","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","9","0","0","0","0","0","0","9","0","9","9","9","9","9","9","09/26/20 22:49:10","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/Jennifer Wright/Desktop/PSYC5613/th-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","622","NA","232378","NA","NA","622","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","NA","256094","6502","NA","NA","238883","NA","NA","NA","6493","NA","257298","257405","258028","257291","257404","Flanker Task","10","5896","10","yes","1024"
