"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","condition","correct","correct_instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block3","count_ErrorFeedback","count_ISI","count_Instruction3","count_block2","count_experiment","count_faster","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_new_sketchpad","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Instruction3","response_faster","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_new_sketchpad","response_time","response_time_Instruction3","response_time_faster","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","response_time_new_sketchpad","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block3","time_ErrorFeedback","time_ISI","time_Instruction3","time_block2","time_experiment","time_faster","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_new_sketchpad","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","width"
"100","100","338","338","#3d3846","legacy","legacy","legacy","coongruent","1","undefined","1","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","0","0","Wed Sep 13 04:25:38 2023","1500","The main experiment item","True","Flanker Task Lab 2.2.osexp","C:\Users\kikip\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","0","0","C:/Users/kikip/OneDrive/Desktop/HB-subject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","s","NA","NA","h","NA","338.0","NA","NA","33948","NA","NA","338","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","36733","NA","NA","NA","NA","NA","2781","NA","36803","2784","NA","NA","36904","37243","NA","36801","36904","Neues Experiment","1","338.0","1","1024"
"50","50","590","590","#3d3846","legacy","legacy","legacy","incongruent","0","undefined","0","s","0","0","1","1","0","0","0","1","1","0","0","0","1","1","NA","1","1","Wed Sep 13 04:25:38 2023","1500","The main experiment item","True","Flanker Task Lab 2.2.osexp","C:\Users\kikip\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","1","1","C:/Users/kikip/OneDrive/Desktop/HB-subject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","s","NA","NA","h","NA","842.0","NA","NA","33948","NA","NA","842","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","36733","NA","NA","37250","NA","NA","2781","NA","38293","2784","NA","NA","38394","39237","NA","38291","38394","Neues Experiment","1","1180.0","2","1024"
"66","66","619","619","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","2","2","0","0","0","2","2","0","0","0","2","2","NA","2","2","Wed Sep 13 04:25:38 2023","1500","The main experiment item","True","Flanker Task Lab 2.2.osexp","C:\Users\kikip\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","2","2","C:/Users/kikip/OneDrive/Desktop/HB-subject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","s","NA","NA","h","NA","677.0","NA","NA","33948","NA","NA","677","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","36733","NA","39243","39744","NA","NA","2781","NA","40783","2784","NA","NA","40884","41562","NA","40781","40884","Neues Experiment","2","1857.0","3","1024"
"75","75","569","569","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","3","3","0","0","0","3","3","0","0","0","3","3","NA","3","3","Wed Sep 13 04:25:38 2023","1500","The main experiment item","True","Flanker Task Lab 2.2.osexp","C:\Users\kikip\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","3","3","C:/Users/kikip/OneDrive/Desktop/HB-subject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","s","NA","NA","h","NA","421.0","NA","NA","33948","NA","NA","421","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","36733","NA","39243","41567","NA","NA","2781","NA","42609","2784","NA","NA","42710","43131","NA","42607","42710","Neues Experiment","3","2278.0","4","1024"
"80","80","567","567","#3d3846","legacy","legacy","legacy","coongruent","1","undefined","1","h","0","0","4","4","0","0","0","4","4","0","0","0","4","4","NA","4","4","Wed Sep 13 04:25:38 2023","1500","The main experiment item","True","Flanker Task Lab 2.2.osexp","C:\Users\kikip\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","4","4","C:/Users/kikip/OneDrive/Desktop/HB-subject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","s","NA","NA","h","NA","560.0","NA","NA","33948","NA","NA","560","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","36733","NA","39243","43137","NA","NA","2781","NA","44174","2784","NA","NA","44275","44836","NA","44173","44275","Neues Experiment","4","2838.0","5","1024"
"83","83","548","548","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","5","5","0","0","0","5","5","0","0","0","5","5","NA","5","5","Wed Sep 13 04:25:38 2023","1500","The main experiment item","True","Flanker Task Lab 2.2.osexp","C:\Users\kikip\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","5","5","C:/Users/kikip/OneDrive/Desktop/HB-subject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","s","NA","NA","h","NA","453.0","NA","NA","33948","NA","NA","453","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","36733","NA","39243","44839","NA","NA","2781","NA","45881","2784","NA","NA","45982","46435","NA","45879","45982","Neues Experiment","5","3291.0","6","1024"
"85","85","538","538","#3d3846","legacy","legacy","legacy","coongruent","1","undefined","1","h","0","0","6","6","0","0","0","6","6","0","0","0","6","6","NA","6","6","Wed Sep 13 04:25:38 2023","1500","The main experiment item","True","Flanker Task Lab 2.2.osexp","C:\Users\kikip\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","6","6","C:/Users/kikip/OneDrive/Desktop/HB-subject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","s","NA","NA","h","NA","476.0","NA","NA","33948","NA","NA","476","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","36733","NA","39243","46438","NA","NA","2781","NA","47483","2784","NA","NA","47584","48060","NA","47482","47584","Neues Experiment","6","3767.0","7","1024"
"87","87","527","527","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","7","7","0","0","0","7","7","0","0","0","7","7","NA","7","7","Wed Sep 13 04:25:38 2023","1500","The main experiment item","True","Flanker Task Lab 2.2.osexp","C:\Users\kikip\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","7","7","C:/Users/kikip/OneDrive/Desktop/HB-subject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","s","NA","NA","h","NA","454.0","NA","NA","33948","NA","NA","454","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","36733","NA","39243","48066","NA","NA","2781","NA","49110","2784","NA","NA","49211","49665","NA","49108","49211","Neues Experiment","7","4221.0","8","1024"
"88","88","528","528","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","8","8","0","0","0","8","8","0","0","0","8","8","NA","8","8","Wed Sep 13 04:25:38 2023","1500","The main experiment item","True","Flanker Task Lab 2.2.osexp","C:\Users\kikip\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","8","8","C:/Users/kikip/OneDrive/Desktop/HB-subject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","s","NA","NA","s","NA","539.0","NA","NA","33948","NA","NA","539","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","36733","NA","39243","49671","NA","NA","2781","NA","50719","2784","NA","NA","50820","51360","NA","50717","50820","Neues Experiment","8","4760.0","9","1024"
"90","90","529","529","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","9","9","0","0","0","9","9","0","0","0","9","9","NA","9","9","Wed Sep 13 04:25:38 2023","1500","The main experiment item","True","Flanker Task Lab 2.2.osexp","C:\Users\kikip\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","9","9","C:/Users/kikip/OneDrive/Desktop/HB-subject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","s","NA","NA","s","NA","534.0","NA","NA","33948","NA","NA","534","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","36733","NA","39243","51366","NA","NA","2781","NA","52413","2784","NA","NA","52515","53050","NA","52412","52515","Neues Experiment","9","5294.0","10","1024"
