"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","condition","correct","correct_instructions","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_Faster","count_Finish","count_ISI","count_errorFeedback","count_experiment","count_fixation","count_instruction3","count_instructions","count_instructions2","count_keyboard_response","count_new_logger","count_new_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finish","response_instruction3","response_instructions","response_instructions2","response_keyboard_response","response_time","response_time_Finish","response_time_instruction3","response_time_instructions","response_time_instructions2","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_Faster","time_Finish","time_ISI","time_errorFeedback","time_experiment","time_fixation","time_instruction3","time_instructions","time_instructions2","time_keyboard_response","time_new_logger","time_new_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","width"
"100","100","758","758","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Fri Sep 15 15:34:49 2023","1500","The main experiment item","True","ewm FlankerTask3.edited .osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 ","False","mono","False","18","no","white","no","yes","768","legacy","0","0","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 /EWM-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","h","NA","h","758.0","NA","NA","8352","NA","758","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","10651","NA","NA","NA","NA","NA","NA","2197","10706","NA","2292","NA","10810","11572","10701","10809","FlankerTask.3","1","758.0","1","1024"
"100","100","685","685","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","1","0","1","1","0","1","0","0","0","1","1","1","1","Fri Sep 15 15:34:49 2023","1500","The main experiment item","True","ewm FlankerTask3.edited .osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 ","False","mono","False","18","no","white","no","yes","768","legacy","1","1","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 /EWM-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","h","NA","h","613.0","NA","NA","8352","NA","613","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","10651","NA","NA","NA","NA","11578","NA","2197","12619","NA","2292","NA","12722","13336","12617","12722","FlankerTask.3","2","1371.0","2","1024"
"100","100","636","636","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","2","0","2","2","0","2","0","0","0","2","2","2","2","Fri Sep 15 15:34:49 2023","1500","The main experiment item","True","ewm FlankerTask3.edited .osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 ","False","mono","False","18","no","white","no","yes","768","legacy","2","2","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 /EWM-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","h","NA","s","539.0","NA","NA","8352","NA","539","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","10651","NA","NA","NA","NA","13339","NA","2197","14374","NA","2292","NA","14477","15017","14372","14477","FlankerTask.3","3","1910.0","3","1024"
"100","100","589","589","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","3","0","3","3","0","3","0","0","0","3","3","3","3","Fri Sep 15 15:34:49 2023","1500","The main experiment item","True","ewm FlankerTask3.edited .osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 ","False","mono","False","18","no","white","no","yes","768","legacy","3","3","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 /EWM-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","h","NA","h","448.0","NA","NA","8352","NA","448","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","10651","NA","NA","NA","NA","15020","NA","2197","16061","NA","2292","NA","16163","16612","16059","16163","FlankerTask.3","4","2358.0","4","1024"
"100","100","556","556","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","4","0","4","4","0","4","0","0","0","4","4","4","4","Fri Sep 15 15:34:49 2023","1500","The main experiment item","True","ewm FlankerTask3.edited .osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 ","False","mono","False","18","no","white","no","yes","768","legacy","4","4","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 /EWM-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","h","NA","s","425.0","NA","NA","8352","NA","425","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","10651","NA","NA","NA","NA","16614","NA","2197","17656","NA","2292","NA","17759","18185","17653","17759","FlankerTask.3","5","2783.0","5","1024"
"100","100","532","532","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","5","0","5","5","0","5","0","0","0","5","5","5","5","Fri Sep 15 15:34:49 2023","1500","The main experiment item","True","ewm FlankerTask3.edited .osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 ","False","mono","False","18","no","white","no","yes","768","legacy","5","5","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 /EWM-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","h","NA","h","410.0","NA","NA","8352","NA","410","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","10651","NA","NA","NA","NA","18188","NA","2197","19229","NA","2292","NA","19331","19742","19227","19331","FlankerTask.3","6","3193.0","6","1024"
"100","100","503","503","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","6","0","6","6","0","6","0","0","0","6","6","6","6","Fri Sep 15 15:34:49 2023","1500","The main experiment item","True","ewm FlankerTask3.edited .osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 ","False","mono","False","18","no","white","no","yes","768","legacy","6","6","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 /EWM-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","h","NA","s","333.0","NA","NA","8352","NA","333","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","10651","NA","NA","NA","NA","19745","NA","2197","20787","NA","2292","NA","20890","21224","20785","20890","FlankerTask.3","7","3526.0","7","1024"
"100","100","489","489","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","7","0","7","7","0","7","0","0","0","7","7","7","7","Fri Sep 15 15:34:49 2023","1500","The main experiment item","True","ewm FlankerTask3.edited .osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 ","False","mono","False","18","no","white","no","yes","768","legacy","7","7","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 /EWM-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","h","NA","h","386.0","NA","NA","8352","NA","386","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","10651","NA","NA","NA","NA","21227","NA","2197","22269","NA","2292","NA","22371","22758","22266","22371","FlankerTask.3","8","3912.0","8","1024"
"100","100","474","474","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","8","0","8","8","0","8","0","0","0","8","8","8","8","Fri Sep 15 15:34:49 2023","1500","The main experiment item","True","ewm FlankerTask3.edited .osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 ","False","mono","False","18","no","white","no","yes","768","legacy","8","8","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 /EWM-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","h","NA","s","361.0","NA","NA","8352","NA","361","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","10651","NA","NA","NA","NA","22760","NA","2197","23804","NA","2292","NA","23906","24268","23802","23906","FlankerTask.3","9","4273.0","9","1024"
"100","100","472","472","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","9","0","9","9","0","9","0","0","0","9","9","9","9","Fri Sep 15 15:34:49 2023","1500","The main experiment item","True","ewm FlankerTask3.edited .osexp","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 ","False","mono","False","18","no","white","no","yes","768","legacy","9","9","/Users/izzymcgibbon/Desktop/College/Tarleton State /2023 /Fall /Stats /2.1 /EWM-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","h","NA","h","449.0","NA","NA","8352","NA","449","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","10651","NA","NA","NA","NA","24271","NA","2197","25315","NA","2292","NA","25417","25867","25313","25417","FlankerTask.3","10","4722.0","10","1024"
