subject,gender,age
1,m,23
2,f,54
3,m,18
4,m,52
5,f,33
6,m,30
7,m,32
8,f,34
9,f,36
10,m,36
11,f,75
12,m,78
13,f,24
14,f,27
15,f,24
16,f,23
17,f,23
18,f,54
19,m,61
20,m,18
21,f,41
22,m,48
23,f,24
24,f,24
25,m,24
26,m,24
27,f,22
28,f,64
29,m,72
30,m,22
31,m,25
32,f,25
33,m,20
34,f,23
35,f,23
36,m,48
37,m,18
38,m,54
39,f,25
40,f,48
41,m,49
42,m,27
43,m,24
44,f,18
45,f,36
46,m,57
47,m,25
48,f,22
49,m,23
50,m,21
51,f,51
52,f,23
53,m,19
54,m,53
55,f,25
56,m,32
57,f,48
58,f,27
59,f,27
60,m,24
61,m,36
62,m,31
63,f,23
64,f,40
65,m,18
66,f,26
67,f,39
68,m,19
69,f,60
70,m,36
