"acc","accuracy","average_response_time","avg_rt","background","bidi","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instruction1","correct_keyboard_response","correct_response","count_CorrectResponse","count_ExperimentLoop","count_Fixation","count_ISI","count_IncorrectFeedback","count_Instruction1","count_Instructions2","count_Memory","count_PracticeLoop","count_Probe","count_Sternburgtask","count_Thankyou","count_XSequence","count_keyboard_response","count_logger","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_PracticeLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_Instruction1","response_Instructions2","response_Thankyou","response_keyboard_response","response_time","response_time_Instruction1","response_time_Instructions2","response_time_Thankyou","response_time_keyboard_response","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_CorrectResponse","time_ExperimentLoop","time_Fixation","time_ISI","time_IncorrectFeedback","time_Instruction1","time_Instructions2","time_Memory","time_PracticeLoop","time_Probe","time_Sternburgtask","time_Thankyou","time_XSequence","time_keyboard_response","time_logger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","2000","2000","black","no","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Tue Oct  2 19:10:41 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Users/danieldalton/subject-1.csv","legacy","4 1 5","Jazzy James","3.1.9","0","n","0","None","right","NA","NA","None","2000","50265","NA","NA","2000","2","legacy","3","1024","2","48000","-16","Sternburgtask","1","odd","2","NA","NA","53340","55571","NA","2010","NA","54353","52291","57588","1978","NA","53329","57589","59589","New experiment","0","2000","1","yes","1024"
"0","0","2000","2000","black","no","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","1","0","1","1","1","0","0","1","0","1","0","0","1","1","1","Tue Oct  2 19:10:41 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Users/danieldalton/subject-1.csv","legacy","5","Jazzy James","3.1.9","0","n","0","None","right","NA","NA","None","2000","50265","NA","NA","2000","2","legacy","1","1024","2","48000","-16","Sternburgtask","1","odd","3","NA","NA","60670","62900","59608","2010","NA","61683","52291","64913","1978","NA","60657","64913","66913","New experiment","0","4000","2","yes","1024"
"33.3333333333","33.3333333333","1696","1696","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","2","0","2","2","2","0","0","2","0","2","0","0","2","2","2","Tue Oct  2 19:10:41 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Users/danieldalton/subject-1.csv","legacy","2 1","Jazzy James","3.1.9","0","n","0","right","right","NA","NA","right","1088","50265","NA","NA","1088","2","legacy","2","1024","2","48000","-16","Sternburgtask","1","odd","5","NA","NA","67992","70225","66933","2010","NA","69005","52291","72238","1978","NA","67981","72238","73328","New experiment","1","5088","3","yes","1024"
"50","50","1505","1505","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","0","3","3","3","0","0","3","0","3","0","0","3","3","3","Tue Oct  2 19:10:41 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Users/danieldalton/subject-1.csv","legacy","3 1 9 4","Jazzy James","3.1.9","0","n","0","right","right","NA","NA","right","932","50265","NA","NA","932","2","legacy","4","1024","2","48000","-16","Sternburgtask","1","odd","6","73342","NA","74398","76634","66933","2010","NA","75414","52291","78652","1978","NA","74387","78652","79586","New experiment","2","6020","4","yes","1024"
"60","60","1382","1382","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","4","0","4","4","4","0","0","4","0","4","0","0","4","4","4","Tue Oct  2 19:10:41 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Users/danieldalton/subject-1.csv","legacy","2 9 4","Jazzy James","3.1.9","3","y","0","left","right","NA","NA","left","890","50265","NA","NA","890","2","legacy","3","1024","2","48000","-16","Sternburgtask","1","odd","4","79600","NA","80653","82887","66933","2010","NA","81667","52291","84909","1978","NA","80641","84909","85801","New experiment","3","6910","5","yes","1024"
"66.6666666667","66.6666666667","1318.66666667","1318.66666667","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","5","0","5","5","5","0","0","5","0","5","0","0","5","5","5","Tue Oct  2 19:10:41 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Users/danieldalton/subject-1.csv","legacy","5 7 8 4 1 2","Jazzy James","3.1.9","0","n","0","right","right","NA","NA","right","1002","50265","NA","NA","1002","2","legacy","6","1024","2","48000","-16","Sternburgtask","1","odd","6","85815","NA","86868","89101","66933","2010","NA","87885","52291","91116","1978","NA","86858","91117","92121","New experiment","4","7912","6","yes","1024"
"57.1428571429","57.1428571429","1241.42857143","1241.42857143","black","no","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","6","0","6","6","6","0","0","6","0","6","0","0","6","6","6","Tue Oct  2 19:10:41 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Users/danieldalton/subject-1.csv","legacy","9 6 7 4 5","Jazzy James","3.1.9","0","n","0","left","right","NA","NA","left","778","50265","NA","NA","778","2","legacy","5","1024","2","48000","-16","Sternburgtask","1","odd","3","92135","NA","93188","95420","66933","2010","NA","94203","52291","97433","1978","NA","93177","97433","98212","New experiment","4","8690","7","yes","1024"
"62.5","62.5","1239","1239","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","7","0","7","7","7","0","0","7","0","7","0","0","7","7","7","Tue Oct  2 19:10:41 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Users/danieldalton/subject-1.csv","legacy","1 5 2 9","Jazzy James","3.1.9","2","y","0","left","right","NA","NA","left","1222","50265","NA","NA","1222","2","legacy","4","1024","2","48000","-16","Sternburgtask","1","odd","5","92135","NA","99279","101512","98226","2010","NA","100294","52291","103525","1978","NA","99268","103525","104748","New experiment","5","9912","8","yes","1024"
"66.6666666667","66.6666666667","1191.11111111","1191.11111111","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","8","0","8","8","8","0","0","8","0","8","0","0","8","8","8","Tue Oct  2 19:10:41 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Users/danieldalton/subject-1.csv","legacy","4 8","Jazzy James","3.1.9","1","y","0","left","right","NA","NA","left","808","50265","NA","NA","808","2","legacy","2","1024","2","48000","-16","Sternburgtask","1","odd","4","104762","NA","105813","108049","98226","2010","NA","106831","52291","110062","1978","NA","105802","110062","110872","New experiment","6","10720","9","yes","1024"
"70","70","1128.3","1128.3","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","9","0","9","9","9","0","0","9","0","9","0","0","9","9","9","Tue Oct  2 19:10:41 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Users/danieldalton/subject-1.csv","legacy","1 7 9 8 5","Jazzy James","3.1.9","4","y","0","left","right","NA","NA","left","563","50265","NA","NA","563","2","legacy","5","1024","2","48000","-16","Sternburgtask","1","odd","8","110886","NA","111941","114175","98226","2010","NA","112955","52291","116190","1978","NA","111929","116191","116756","New experiment","7","11283","10","yes","1024"
