"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instructions1","count_instructions2","count_keyboard_response","count_logger","count_memorySet","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instructions1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instructions1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instructions1","time_instructions2","time_keyboard_response","time_logger","time_memorySet","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","2000","2000","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mon Oct  1 12:51:01 2018","The main experiment item","yes","SternbergTask.osexp","/Users/emorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Users/emorgan/Desktop/EM subject-2, f, 23.csv","legacy","6","Kafkaesque Koffka","3.2.5","1","y","0","None","right","NA","None","NA","2000","30035","NA","2000","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","6","45214","NA","42981","12101","NA","42993","NA","12124","NA","47225","49225","44002","42176","47225","NA","Sternberg Task","0","2000","1","yes","1024"
"50","50","1704.5","1704.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","Mon Oct  1 12:51:01 2018","The main experiment item","yes","SternbergTask.osexp","/Users/emorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Users/emorgan/Desktop/EM subject-2, f, 23.csv","legacy","2 9 4","Kafkaesque Koffka","3.2.5","3","y","0","left","right","NA","left","NA","1409","30035","NA","1409","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","4","52667","NA","50433","12101","NA","50444","49345","12124","NA","54678","56088","51455","42176","54677","NA","Sternberg Task","1","3409","2","yes","1024"
"66.6666666667","66.6666666667","1345.66666667","1345.66666667","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","Mon Oct  1 12:51:01 2018","The main experiment item","yes","SternbergTask.osexp","/Users/emorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Users/emorgan/Desktop/EM subject-2, f, 23.csv","legacy","4 1 5","Kafkaesque Koffka","3.2.5","0","n","0","right","right","NA","right","NA","628","30035","NA","628","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","2","59410","56100","57178","12101","NA","57188","49345","12124","NA","61421","62050","58199","42176","61421","NA","Sternberg Task","2","4037","3","yes","1024"
"75","75","1206.5","1206.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","Mon Oct  1 12:51:01 2018","The main experiment item","yes","SternbergTask.osexp","/Users/emorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Users/emorgan/Desktop/EM subject-2, f, 23.csv","legacy","1 7 9 8 5","Kafkaesque Koffka","3.2.5","4","y","0","left","right","NA","left","NA","789","30035","NA","789","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","8","65381","62068","63147","12101","NA","63160","49345","12124","NA","67392","68182","64171","42176","67392","NA","Sternberg Task","3","4826","4","yes","1024"
"80","80","1076.4","1076.4","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","Mon Oct  1 12:51:01 2018","The main experiment item","yes","SternbergTask.osexp","/Users/emorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Users/emorgan/Desktop/EM subject-2, f, 23.csv","legacy","4 8","Kafkaesque Koffka","3.2.5","1","y","0","left","right","NA","left","NA","556","30035","NA","556","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","4","71509","68198","69276","12101","NA","69288","49345","12124","NA","73520","74077","70299","42176","73519","NA","Sternberg Task","4","5382","5","yes","1024"
"83.3333333333","83.3333333333","1024.16666667","1024.16666667","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","Mon Oct  1 12:51:01 2018","The main experiment item","yes","SternbergTask.osexp","/Users/emorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Users/emorgan/Desktop/EM subject-2, f, 23.csv","legacy","3 1 9 4","Kafkaesque Koffka","3.2.5","0","n","0","right","right","NA","right","NA","763","30035","NA","763","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","6","77399","74089","75167","12101","NA","75177","49345","12124","NA","79410","80174","76188","42176","79409","NA","Sternberg Task","5","6145","6","yes","1024"
"85.7142857143","85.7142857143","995.285714286","995.285714286","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","Mon Oct  1 12:51:01 2018","The main experiment item","yes","SternbergTask.osexp","/Users/emorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Users/emorgan/Desktop/EM subject-2, f, 23.csv","legacy","9 6 7 4 5","Kafkaesque Koffka","3.2.5","0","n","0","right","right","NA","right","NA","822","30035","NA","822","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","3","83505","80192","81273","12101","NA","81284","49345","12124","NA","85516","86339","82294","42176","85516","NA","Sternberg Task","6","6967","7","yes","1024"
"87.5","87.5","943.75","943.75","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","Mon Oct  1 12:51:01 2018","The main experiment item","yes","SternbergTask.osexp","/Users/emorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Users/emorgan/Desktop/EM subject-2, f, 23.csv","legacy","2 1","Kafkaesque Koffka","3.2.5","0","n","0","right","right","NA","right","NA","583","30035","NA","583","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","5","89661","86352","87429","12101","NA","87440","49345","12124","NA","91673","92257","88451","42176","91672","NA","Sternberg Task","7","7550","8","yes","1024"
"88.8888888889","88.8888888889","938.666666667","938.666666667","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","Mon Oct  1 12:51:01 2018","The main experiment item","yes","SternbergTask.osexp","/Users/emorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Users/emorgan/Desktop/EM subject-2, f, 23.csv","legacy","1 5 2 9","Kafkaesque Koffka","3.2.5","2","y","0","left","right","NA","left","NA","898","30035","NA","898","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","5","95602","92281","93370","12101","NA","93382","49345","12124","NA","97613","98512","94392","42176","97613","NA","Sternberg Task","8","8448","9","yes","1024"
"90","90","929.9","929.9","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","Mon Oct  1 12:51:01 2018","The main experiment item","yes","SternbergTask.osexp","/Users/emorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Users/emorgan/Desktop/EM subject-2, f, 23.csv","legacy","5","Kafkaesque Koffka","3.2.5","0","n","0","right","right","NA","right","NA","851","30035","NA","851","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","3","101848","98537","99616","12101","NA","99627","49345","12124","NA","103859","104711","100637","42176","103859","NA","Sternberg Task","9","9299","10","yes","1024"
