"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_ISI","correct_instruction1","correct_new_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instruction2","count_logger","count_memorySet","count_new_keyboard_response","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_ISI","response_instruction1","response_instruction2","response_new_keyboard_response","response_thankYou","response_time","response_time_ISI","response_time_instruction1","response_time_instruction2","response_time_new_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instruction2","time_logger","time_memorySet","time_new_keyboard_response","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","4667","4667","black","practice","legacy","legacy","legacy","0","uniform","0","0","undefined","0","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Volumes/USB20FD/subject-2 f.csv","legacy","2 1","Kafkaesque Koffka","3.2.5","0","n","0","left","left","","NA","left","NA","4667","9280","78277","NA","4667","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","5","134531","NA","132292","2307","NA","132303","NA","2324","NA","148491","133316","143823","132152","143823","NA","Sternberg Task","0","4667","1","yes","1024"
"50","50","3373","3373","black","practice","legacy","legacy","legacy","0","uniform","1","0","undefined","1","left","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Volumes/USB20FD/subject-2 f.csv","legacy","1 7 9 8 5","Kafkaesque Koffka","3.2.5","4","y","0","left","right","","NA","left","NA","2079","6355","78277","NA","2079","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","8","151905","NA","149670","2307","NA","149680","148552","2324","NA","160352","150693","158272","132152","158272","NA","Sternberg Task","1","6746","2","yes","1024"
"66.6666666667","66.6666666667","2910.66666667","2910.66666667","black","practice","legacy","legacy","legacy","0","uniform","1","0","undefined","1","left","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Volumes/USB20FD/subject-2 f.csv","legacy","4 3 1 7 9 8","Kafkaesque Koffka","3.2.5","1","y","0","left","up","","NA","left","NA","1986","3426","78277","NA","1986","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","4","163712","160366","161472","2307","NA","161482","148552","2324","NA","169137","162496","167149","132152","167149","NA","Sternberg Task","2","8732","3","yes","1024"
"75","75","2586.25","2586.25","black","practice","legacy","legacy","legacy","0","uniform","1","0","undefined","1","right","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Volumes/USB20FD/subject-2 f.csv","legacy","4 1 5","Kafkaesque Koffka","3.2.5","0","n","0","right","up","","NA","right","NA","1613","1614","78277","NA","1613","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","2","172492","169149","170253","2307","NA","170264","148552","2324","NA","175731","171277","174117","132152","174117","NA","Sternberg Task","3","10345","4","yes","1024"
"80","80","2349.4","2349.4","black","practice","legacy","legacy","legacy","0","uniform","1","0","undefined","1","left","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Volumes/USB20FD/subject-2 f.csv","legacy","6","Kafkaesque Koffka","3.2.5","1","y","0","left","up","","NA","left","NA","1402","3737","78277","NA","1402","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","6","179100","175748","176855","2307","NA","176865","148552","2324","NA","184252","177882","182849","132152","182848","NA","Sternberg Task","4","11747","5","yes","1024"
"83.3333333333","83.3333333333","2100.16666667","2100.16666667","black","practice","legacy","legacy","legacy","0","uniform","1","0","undefined","1","right","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Volumes/USB20FD/subject-2 f.csv","legacy","5","Kafkaesque Koffka","3.2.5","0","n","0","right","up","","NA","right","NA","854","362","78277","NA","854","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","3","187609","184267","185370","2307","NA","185380","148552","2324","NA","188838","186394","187983","132152","187982","NA","Sternberg Task","5","12601","6","yes","1024"
"85.7142857143","85.7142857143","1973.57142857","1973.57142857","black","practice","legacy","legacy","legacy","0","uniform","1","0","undefined","1","left","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Volumes/USB20FD/subject-2 f.csv","legacy","4 8","Kafkaesque Koffka","3.2.5","1","y","0","left","up","","NA","left","NA","1214","1846","78277","NA","1214","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","4","192201","188851","189954","2307","NA","189965","148552","2324","NA","195275","190983","194060","132152","194060","NA","Sternberg Task","6","13815","7","yes","1024"
"87.5","87.5","1904","1904","black","practice","legacy","legacy","legacy","0","uniform","1","0","undefined","1","left","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Volumes/USB20FD/subject-2 f.csv","legacy","1 5 2 9","Kafkaesque Koffka","3.2.5","2","y","0","left","up","","NA","left","NA","1417","2480","78277","NA","1417","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","5","198638","195293","196397","2307","NA","196408","148552","2324","NA","202547","197421","201129","132152","201129","NA","Sternberg Task","7","15232","8","yes","1024"
"88.8888888889","88.8888888889","1794.66666667","1794.66666667","black","practice","legacy","legacy","legacy","0","uniform","1","0","undefined","1","right","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Volumes/USB20FD/subject-2 f.csv","legacy","9 6 7 4 5","Kafkaesque Koffka","3.2.5","0","n","0","right","up","","NA","right","NA","920","4685","78277","NA","920","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","3","205915","202560","203669","2307","NA","203680","148552","2324","NA","211533","204697","210612","132152","210611","NA","Sternberg Task","8","16152","9","yes","1024"
"90","90","1870.2","1870.2","black","practice","legacy","legacy","legacy","0","uniform","1","0","undefined","1","left","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Volumes/USB20FD/subject-2 f.csv","legacy","2 9 4","Kafkaesque Koffka","3.2.5","3","y","0","left","up","","NA","left","NA","2550","807","78277","NA","2550","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","4","214903","211555","212659","2307","NA","212670","148552","2324","NA","218273","213684","215722","132152","215721","NA","Sternberg Task","9","18702","10","yes","1024"
