"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_keyboard_response","count_memorySet","count_new_logger","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_keyboard_response","time_memorySet","time_new_logger","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","503","503","black","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","1","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/07/18 21:50:52","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/Owner/Documents/ctsubject-2.csv","xpyriment","4 8","Kafkaesque Koffka","3.2.5","1","y","0","left","left","NA","left","NA","503","29832","NA","503","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","4","34985","NA","32689","1754","NA","32752","NA","1774","NA","37004","33781","37508","31607","37003","NA","Sternburg task","1","503","1","yes","1024"
"100","100","726","726","black","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","10/07/18 21:50:52","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/Owner/Documents/ctsubject-2.csv","xpyriment","9 6 7 4 5","Kafkaesque Koffka","3.2.5","0","n","0","right","left","NA","right","NA","949","29832","NA","949","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","3","41642","37682","39360","1754","NA","39407","NA","1774","NA","43660","40438","44609","31607","43659","NA","Sternburg task","2","1452","2","yes","1024"
"100","100","718.666666667","718.666666667","black","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","1","left","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","10/07/18 21:50:52","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/Owner/Documents/ctsubject-2.csv","xpyriment","1 5 2 9","Kafkaesque Koffka","3.2.5","2","y","0","left","left","NA","left","NA","704","29832","NA","704","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","5","48836","44876","46527","1754","NA","46589","NA","1774","NA","50841","47619","51546","31607","50840","NA","Sternburg task","3","2156","3","yes","1024"
"100","100","780.75","780.75","black","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","10/07/18 21:50:52","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/Owner/Documents/ctsubject-2.csv","xpyriment","5 7 8 4 1 2","Kafkaesque Koffka","3.2.5","0","n","0","right","left","NA","right","NA","967","29832","NA","967","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","6","55559","51606","53264","1754","NA","53329","NA","1774","NA","57562","54355","58531","31607","57562","NA","Sternburg task","4","3123","4","yes","1024"
"100","100","795.8","795.8","black","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","1","left","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","10/07/18 21:50:52","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/Owner/Documents/ctsubject-2.csv","xpyriment","4 3 1 7 9 8","Kafkaesque Koffka","3.2.5","1","y","0","left","left","NA","left","NA","856","29832","NA","856","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","4","62526","58594","60236","1754","NA","60292","NA","1774","NA","64543","61322","65400","31607","64543","NA","Sternburg task","5","3979","5","yes","1024"
"100","100","821.666666667","821.666666667","black","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","10/07/18 21:50:52","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/Owner/Documents/ctsubject-2.csv","xpyriment","2 1","Kafkaesque Koffka","3.2.5","0","n","0","right","left","NA","right","NA","951","29832","NA","951","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","5","69368","65450","67086","1754","NA","67139","NA","1774","NA","71386","68164","72338","31607","71385","NA","Sternburg task","6","4930","6","yes","1024"
"100","100","845.571428571","845.571428571","black","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","1","left","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","10/07/18 21:50:52","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/Owner/Documents/ctsubject-2.csv","xpyriment","2 9 4","Kafkaesque Koffka","3.2.5","3","y","0","left","left","NA","left","NA","989","29832","NA","989","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","4","76333","72395","74044","1754","NA","74095","NA","1774","NA","78337","75128","79328","31607","78337","NA","Sternburg task","7","5919","7","yes","1024"
"100","100","871.875","871.875","black","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","10/07/18 21:50:52","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/Owner/Documents/ctsubject-2.csv","xpyriment","5","Kafkaesque Koffka","3.2.5","0","n","0","right","left","NA","right","NA","1056","29832","NA","1056","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","3","83416","79396","81088","1754","NA","81153","NA","1774","NA","85420","82199","86476","31607","85419","NA","Sternburg task","8","6975","8","yes","1024"
"88.8888888889","88.8888888889","855","855","black","practice","xpyriment","legacy","legacy","0","uniform","0","undefined","0","right","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","10/07/18 21:50:52","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/Owner/Documents/ctsubject-2.csv","xpyriment","4 1 5","Kafkaesque Koffka","3.2.5","0","n","0","left","left","NA","left","NA","720","29832","NA","720","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","2","90461","86518","88168","1754","NA","88220","NA","1774","NA","92464","89257","93185","31607","92464","NA","Sternburg task","8","7695","9","yes","1024"
"90","90","864.5","864.5","black","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","1","left","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","10/07/18 21:50:52","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/Owner/Documents/ctsubject-2.csv","xpyriment","6","Kafkaesque Koffka","3.2.5","1","y","0","left","left","NA","left","NA","950","29832","NA","950","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","6","97201","86518","94909","1754","NA","94971","93241","1774","NA","99204","95997","100155","31607","99204","NA","Sternburg task","9","8645","10","yes","1024"
