"acc","accuracy","average_response_time","avg_rt","background","bidi","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instruction1","correct_keyboard_response","correct_response","count_Fixation","count_ISI","count_Instruction1","count_Instructions2","count_ThankYou","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_incorrectFeedback","count_keyboard_response","count_memorySet","count_new_logger","count_practiceLoop","count_probe","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_Instruction1","response_Instructions2","response_ThankYou","response_keyboard_response","response_time","response_time_Instruction1","response_time_Instructions2","response_time_ThankYou","response_time_keyboard_response","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_Fixation","time_ISI","time_Instruction1","time_Instructions2","time_ThankYou","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_incorrectFeedback","time_keyboard_response","time_memorySet","time_new_logger","time_practiceLoop","time_probe","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","697","697","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/02/18 15:13:01","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/Anabel/Desktop/subject-2.csv","legacy","4 8","Jazzy James","3.1.9","1","y","0","left","space","NA","NA","left","697","16227","NA","NA","697","2","legacy","2","1024","2","48000","-16","experiment","2","even","4","18669","20873","1548","NA","NA","NA","18667","1544","NA","NA","22875","19671","23573","17777","22875","Sternberg Task","1","697","1","yes","1024"
"100","100","801.5","801.5","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","1","1","0","0","0","1","1","0","0","1","1","1","1","0","1","10/02/18 15:13:01","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/Anabel/Desktop/subject-2.csv","legacy","4 1 5","Jazzy James","3.1.9","0","n","0","right","space","NA","NA","right","906","16227","NA","NA","906","2","legacy","3","1024","2","48000","-16","experiment","2","even","2","24751","26955","1548","NA","NA","23664","24749","1544","NA","NA","28957","25753","29864","17777","28957","Sternberg Task","2","1603","2","yes","1024"
"100","100","1006.33333333","1006.33333333","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","2","2","0","0","0","2","2","0","0","2","2","2","2","0","2","10/02/18 15:13:01","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/Anabel/Desktop/subject-2.csv","legacy","9 6 7 4 5","Jazzy James","3.1.9","0","n","0","right","space","NA","NA","right","1416","16227","NA","NA","1416","2","legacy","5","1024","2","48000","-16","experiment","2","even","3","30998","33202","1548","NA","NA","29920","30996","1544","NA","NA","35204","32000","36621","17777","35204","Sternberg Task","3","3019","3","yes","1024"
"100","100","1070.25","1070.25","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","3","3","0","0","0","3","3","0","0","3","3","3","3","0","3","10/02/18 15:13:01","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/Anabel/Desktop/subject-2.csv","legacy","2 9 4","Jazzy James","3.1.9","3","y","0","left","space","NA","NA","left","1262","16227","NA","NA","1262","2","legacy","3","1024","2","48000","-16","experiment","2","even","4","37766","39970","1548","NA","NA","36687","37764","1544","NA","NA","41972","38768","43235","17777","41972","Sternberg Task","4","4281","4","yes","1024"
"100","100","1053","1053","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","4","4","0","0","0","4","4","0","0","4","4","4","4","0","4","10/02/18 15:13:01","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/Anabel/Desktop/subject-2.csv","legacy","6","Jazzy James","3.1.9","1","y","0","left","space","NA","NA","left","984","16227","NA","NA","984","2","legacy","1","1024","2","48000","-16","experiment","2","even","6","44376","46580","1548","NA","NA","43298","44374","1544","NA","NA","48582","45378","49567","17777","48582","Sternberg Task","5","5265","5","yes","1024"
"100","100","969.833333333","969.833333333","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","5","5","0","0","0","5","5","0","0","5","5","5","5","0","5","10/02/18 15:13:01","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/Anabel/Desktop/subject-2.csv","legacy","5","Jazzy James","3.1.9","0","n","0","right","space","NA","NA","right","554","16227","NA","NA","554","2","legacy","1","1024","2","48000","-16","experiment","2","even","3","50706","52910","1548","NA","NA","49631","50704","1544","NA","NA","54912","51708","55468","17777","54912","Sternberg Task","6","5819","6","yes","1024"
"100","100","987.857142857","987.857142857","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","6","6","0","0","0","6","6","0","0","6","6","6","6","0","6","10/02/18 15:13:01","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/Anabel/Desktop/subject-2.csv","legacy","1 7 9 8 5","Jazzy James","3.1.9","4","y","0","left","space","NA","NA","left","1096","16227","NA","NA","1096","2","legacy","5","1024","2","48000","-16","experiment","2","even","8","56613","58817","1548","NA","NA","55531","56611","1544","NA","NA","60819","57615","61917","17777","60819","Sternberg Task","7","6915","7","yes","1024"
"100","100","992.25","992.25","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","7","7","0","0","0","7","7","0","0","7","7","7","7","0","7","10/02/18 15:13:01","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/Anabel/Desktop/subject-2.csv","legacy","5 7 8 4 1 2","Jazzy James","3.1.9","0","n","0","right","space","NA","NA","right","1023","16227","NA","NA","1023","2","legacy","6","1024","2","48000","-16","experiment","2","even","6","63036","65240","1548","NA","NA","61954","63034","1544","NA","NA","67242","64038","68267","17777","67242","Sternberg Task","8","7938","8","yes","1024"
"100","100","1042.22222222","1042.22222222","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","8","8","0","0","0","8","8","0","0","8","8","8","8","0","8","10/02/18 15:13:01","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/Anabel/Desktop/subject-2.csv","legacy","4 3 1 7 9 8","Jazzy James","3.1.9","1","y","0","left","space","NA","NA","left","1442","16227","NA","NA","1442","2","legacy","6","1024","2","48000","-16","experiment","2","even","4","69399","71603","1548","NA","NA","68320","69397","1544","NA","NA","73605","70401","75048","17777","73605","Sternberg Task","9","9380","9","yes","1024"
"100","100","1040.3","1040.3","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","9","9","0","0","0","9","9","0","0","9","9","9","9","0","9","10/02/18 15:13:01","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/Anabel/Desktop/subject-2.csv","legacy","2 1","Jazzy James","3.1.9","0","n","0","right","space","NA","NA","right","1023","16227","NA","NA","1023","2","legacy","2","1024","2","48000","-16","experiment","2","even","5","76183","78387","1548","NA","NA","75109","76181","1544","NA","NA","80389","77185","81413","17777","80389","Sternberg Task","10","10403","10","yes","1024"
