"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboardResponse","correct_response","count_ISI","count_Practiceloop","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrect","count_instruction1","count_instructions2","count_keyboardResponse","count_logger","count_memorySet","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Practiceloop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboardResponse","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboardResponse","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_Practiceloop","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrect","time_instruction1","time_instructions2","time_keyboardResponse","time_logger","time_memorySet","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","2000","2000","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/04/18 21:58:53","The main experiment item","yes","Sternbergtask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-3.csv","legacy","3 1 9 4","Kafkaesque Koffka","3.2.5","0","n","0","None","right","NA","None","NA","2000","85069","NA","2000","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","6","92862","88344","NA","90656","3268","NA","90659","NA","3274","NA","94864","96864","91660","94864","NA","Sternberg task","0","2000","1","yes","1024"
"0","0","1334","1334","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","1","0","1","1","0","0","1","1","0","0","1","1","1","1","0","10/04/18 21:58:53","The main experiment item","yes","Sternbergtask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-3.csv","legacy","4 3 1 7 9 8","Kafkaesque Koffka","3.2.5","1","y","0","right","right","NA","right","NA","668","85069","NA","668","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","4","100214","88344","NA","98009","3268","NA","98011","96922","3274","NA","102216","102884","99012","102215","NA","Sternberg task","0","2668","2","yes","1024"
"0","0","1245","1245","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","2","0","2","2","0","0","2","2","0","0","2","2","2","2","0","10/04/18 21:58:53","The main experiment item","yes","Sternbergtask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-3.csv","legacy","1 7 9 8 5","Kafkaesque Koffka","3.2.5","4","y","0","right","right","NA","right","NA","1067","85069","NA","1067","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","8","106185","88344","NA","103981","3268","NA","103983","102895","3274","NA","108188","109256","104984","108187","NA","Sternberg task","0","3735","3","yes","1024"
"0","0","1236","1236","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","3","0","3","3","0","0","3","3","0","0","3","3","3","3","0","10/04/18 21:58:53","The main experiment item","yes","Sternbergtask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-3.csv","legacy","5 7 8 4 1 2","Kafkaesque Koffka","3.2.5","0","n","0","left","right","NA","left","NA","1209","85069","NA","1209","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","6","112557","88344","NA","110353","3268","NA","110355","109266","3274","NA","114559","115768","111356","114558","NA","Sternberg task","0","4944","4","yes","1024"
"0","0","1105.2","1105.2","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","4","0","4","4","0","0","4","4","0","0","4","4","4","4","0","10/04/18 21:58:53","The main experiment item","yes","Sternbergtask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-3.csv","legacy","1 5 2 9","Kafkaesque Koffka","3.2.5","2","y","0","right","right","NA","right","NA","582","85069","NA","582","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","5","119067","88344","NA","116863","3268","NA","116865","115779","3274","NA","121072","121655","117866","121071","NA","Sternberg task","0","5526","5","yes","1024"
"0","0","1254.5","1254.5","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","5","0","5","5","0","0","5","5","0","0","5","5","5","5","0","10/04/18 21:58:53","The main experiment item","yes","Sternbergtask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-3.csv","legacy","5","Kafkaesque Koffka","3.2.5","0","n","0","None","right","NA","None","NA","2001","85069","NA","2001","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","3","124956","88344","NA","122752","3268","NA","122754","121666","3274","NA","126957","128958","123755","126957","NA","Sternberg task","0","7527","6","yes","1024"
"0","0","1173","1173","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","6","0","6","6","0","0","6","6","0","0","6","6","6","6","0","10/04/18 21:58:53","The main experiment item","yes","Sternbergtask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-3.csv","legacy","2 9 4","Kafkaesque Koffka","3.2.5","3","y","0","right","right","NA","right","NA","684","85069","NA","684","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","4","132260","88344","NA","130053","3268","NA","130055","128969","3274","NA","134262","134947","131057","134261","NA","Sternberg task","0","8211","7","yes","1024"
"12.5","12.5","1124.875","1124.875","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","7","0","7","7","0","0","7","7","0","0","7","7","7","7","0","10/04/18 21:58:53","The main experiment item","yes","Sternbergtask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-3.csv","legacy","6","Kafkaesque Koffka","3.2.5","1","y","0","left","right","NA","left","NA","788","85069","NA","788","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","6","138245","88344","NA","136041","3268","NA","136043","134958","3274","NA","140247","141036","137044","140246","NA","Sternberg task","1","8999","8","yes","1024"
"11.1111111111","11.1111111111","1222.11111111","1222.11111111","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","8","0","8","8","0","0","8","8","0","0","8","8","8","8","0","10/04/18 21:58:53","The main experiment item","yes","Sternbergtask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-3.csv","legacy","9 6 7 4 5","Kafkaesque Koffka","3.2.5","0","n","0","None","right","NA","None","NA","2000","85069","NA","2000","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","3","144335","88344","141047","142131","3268","NA","142133","134958","3274","NA","146337","148337","143134","146337","NA","Sternberg task","1","10999","9","yes","1024"
"20","20","1172.7","1172.7","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","9","0","9","9","0","0","9","9","0","0","9","9","9","9","0","10/04/18 21:58:53","The main experiment item","yes","Sternbergtask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-3.csv","legacy","2 1","Kafkaesque Koffka","3.2.5","0","n","0","right","right","NA","right","NA","728","85069","NA","728","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","5","151636","88344","141047","149433","3268","NA","149434","148348","3274","NA","153639","154367","150435","153638","NA","Sternberg task","2","11727","10","yes","1024"
