subject,gender,age
1,f,24
2,m,19
3,f,18
4,f,21
5,f,42
6,f,65
7,m,39
8,f,36
9,m,23
10,f,29
11,m,22
12,m,69
13,m,24
14,m,41
15,f,23
16,m,20
17,m,26
18,f,20
19,m,21
20,f,27
21,m,24
22,m,23
23,f,21
24,f,22
25,f,21
26,m,24
27,f,21
28,m,24
29,f,27
30,m,30
31,m,23
32,f,25
33,f,33
34,m,43
35,m,18
36,m,20
37,m,25
38,f,53
39,m,26
40,m,26
41,f,23
42,f,22
43,m,22
44,f,20
45,f,24
46,m,26
47,m,27
48,m,26
49,m,34
50,f,36
51,f,22
52,f,21
53,f,30
54,m,41
55,m,25
56,f,36
57,f,60
58,m,30
59,m,38
60,m,70
