acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Instruction1,correct_keyboard_response,correct_response,count_CorrectFeedback,count_ExpSequence,count_ExperimentLoop,count_Fixation,count_ISI,count_Instruction1,count_Instructions2,count_MemorySet,count_PracticeLoop,count_Probe,count_ThankYou,count_experiment,count_incorrectFeedback,count_keyboard_response,count_logger,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_PracticeLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_Instruction1,response_Instructions2,response_ThankYou,response_keyboard_response,response_time,response_time_Instruction1,response_time_Instructions2,response_time_ThankYou,response_time_keyboard_response,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_CorrectFeedback,time_ExpSequence,time_ExperimentLoop,time_Fixation,time_ISI,time_Instruction1,time_Instructions2,time_MemorySet,time_PracticeLoop,time_Probe,time_ThankYou,time_experiment,time_incorrectFeedback,time_keyboard_response,time_logger,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,903,903,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/27/19 18:52,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,0,0,E:/Classwork/AQMAED/Stenberg/MA-subject-2.csv,legacy,5 7 8 4 1 2,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,NA,right,903,152975,NA,NA,903,2,legacy,6,1024,2,48000,-16,experiment,2,even,6,NA,159098,NA,159101,161309,2962,NA,160105,155937,163313,NA,2957,NA,163314,164218,Sternberg Task,1,903,1,yes,1024
100,100,893,893,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,10/27/19 18:52,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,1,1,E:/Classwork/AQMAED/Stenberg/MA-subject-2.csv,legacy,6,Kafkaesque Koffka,3.2.8,1,y,0,left,left,NA,NA,left,883,152975,NA,NA,883,2,legacy,1,1024,2,48000,-16,experiment,2,even,6,164281,165367,NA,165369,167576,2962,NA,166374,155937,169580,NA,2957,NA,169580,170464,Sternberg Task,2,1786,2,yes,1024
100,100,913.3333333,913.3333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,2,2,0,2,2,0,0,2,0,2,0,0,2,2,2,10/27/19 18:52,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,2,2,E:/Classwork/AQMAED/Stenberg/MA-subject-2.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.8,4,y,0,left,left,NA,NA,left,954,152975,NA,NA,954,2,legacy,5,1024,2,48000,-16,experiment,2,even,8,170475,171580,NA,171582,173791,2962,NA,172586,155937,175796,NA,2957,NA,175797,176751,Sternberg Task,3,2740,3,yes,1024
100,100,954.75,954.75,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,3,3,0,3,3,0,0,3,0,3,0,0,3,3,3,10/27/19 18:52,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,3,3,E:/Classwork/AQMAED/Stenberg/MA-subject-2.csv,legacy,1 5 2 9,Kafkaesque Koffka,3.2.8,2,y,0,left,left,NA,NA,left,1079,152975,NA,NA,1079,2,legacy,4,1024,2,48000,-16,experiment,2,even,5,176757,177868,NA,177870,180079,2962,NA,178874,155937,182084,NA,2957,NA,182084,183164,Sternberg Task,4,3819,4,yes,1024
100,100,930,930,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,4,4,0,4,4,0,0,4,0,4,0,0,4,4,4,10/27/19 18:52,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,4,4,E:/Classwork/AQMAED/Stenberg/MA-subject-2.csv,legacy,9 6 7 4 5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,NA,right,831,152975,NA,NA,831,2,legacy,5,1024,2,48000,-16,experiment,2,even,3,183170,184275,NA,184276,186484,2962,NA,185279,155937,188489,NA,2957,NA,188489,189320,Sternberg Task,5,4650,5,yes,1024
100,100,923.8333333,923.8333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,5,5,0,5,5,0,0,5,0,5,0,0,5,5,5,10/27/19 18:52,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,5,5,E:/Classwork/AQMAED/Stenberg/MA-subject-2.csv,legacy,2 9 4,Kafkaesque Koffka,3.2.8,3,y,0,left,left,NA,NA,left,893,152975,NA,NA,893,2,legacy,3,1024,2,48000,-16,experiment,2,even,4,189326,190432,NA,190434,192644,2962,NA,191438,155937,194648,NA,2957,NA,194648,195542,Sternberg Task,6,5543,6,yes,1024
100,100,928.1428571,928.1428571,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,6,6,0,6,6,0,0,6,0,6,0,0,6,6,6,10/27/19 18:52,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,6,6,E:/Classwork/AQMAED/Stenberg/MA-subject-2.csv,legacy,3 1 9 4,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,NA,right,954,152975,NA,NA,954,2,legacy,4,1024,2,48000,-16,experiment,2,even,6,195547,196633,NA,196635,198841,2962,NA,197636,155937,200847,NA,2957,NA,200847,201802,Sternberg Task,7,6497,7,yes,1024
100,100,909.125,909.125,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,7,7,0,7,7,0,0,7,0,7,0,0,7,7,7,10/27/19 18:52,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,7,7,E:/Classwork/AQMAED/Stenberg/MA-subject-2.csv,legacy,4 8,Kafkaesque Koffka,3.2.8,1,y,0,left,left,NA,NA,left,776,152975,NA,NA,776,2,legacy,2,1024,2,48000,-16,experiment,2,even,4,201807,202901,NA,202903,205113,2962,NA,203908,155937,207116,NA,2957,NA,207116,207893,Sternberg Task,8,7273,8,yes,1024
100,100,901.1111111,901.1111111,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,8,8,0,8,8,0,0,8,0,8,0,0,8,8,8,10/27/19 18:52,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,8,8,E:/Classwork/AQMAED/Stenberg/MA-subject-2.csv,legacy,2 1,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,NA,right,837,152975,NA,NA,837,2,legacy,2,1024,2,48000,-16,experiment,2,even,5,207898,208996,NA,208998,211207,2962,NA,210003,155937,213212,NA,2957,NA,213212,214050,Sternberg Task,9,8110,9,yes,1024
100,100,865.3,865.3,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,9,9,0,9,9,0,0,9,0,9,0,0,9,9,9,10/27/19 18:52,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,9,9,E:/Classwork/AQMAED/Stenberg/MA-subject-2.csv,legacy,5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,NA,right,543,152975,NA,NA,543,2,legacy,1,1024,2,48000,-16,experiment,2,even,3,214055,215161,NA,215162,217370,2962,NA,216167,155937,219375,NA,2957,NA,219375,219918,Sternberg Task,10,8653,10,yes,1024
100,100,863.4545455,863.4545455,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,10,10,0,10,10,0,0,10,0,10,0,0,10,10,10,10/27/19 18:52,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,10,10,E:/Classwork/AQMAED/Stenberg/MA-subject-2.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,NA,right,845,152975,NA,NA,845,2,legacy,3,1024,2,48000,-16,experiment,2,even,2,219929,221034,NA,221036,223246,2962,NA,222040,155937,225252,NA,2957,NA,225252,226097,Sternberg Task,11,9498,11,yes,1024
100,100,861.8333333,861.8333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,11,11,0,11,11,0,0,11,0,11,0,0,11,11,11,10/27/19 18:52,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,11,11,E:/Classwork/AQMAED/Stenberg/MA-subject-2.csv,legacy,4 3 1 7 9 8,Kafkaesque Koffka,3.2.8,1,y,0,left,left,NA,NA,left,844,152975,NA,NA,844,2,legacy,6,1024,2,48000,-16,experiment,2,even,4,226104,227203,NA,227205,229415,2962,NA,228210,155937,231420,NA,2957,NA,231420,232265,Sternberg Task,12,10342,12,yes,1024
100,100,860.7692308,860.7692308,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,12,12,0,12,12,0,0,12,0,12,0,0,12,12,12,10/27/19 18:52,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,0,11,E:/Classwork/AQMAED/Stenberg/MA-subject-2.csv,legacy,7 8 4 6 9 5,Kafkaesque Koffka,3.2.8,4,y,0,left,left,left,NA,left,848,152975,81019,NA,848,2,legacy,6,1024,2,48000,-16,experiment,2,even,6,232270,314431,314335,314432,316641,2962,233315,315436,155937,318646,NA,2957,NA,318648,319497,Sternberg Task,13,11190,13,yes,1024
100,100,855.1428571,855.1428571,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,13,13,0,13,13,0,0,13,0,13,0,0,13,13,13,10/27/19 18:52,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,1,11,E:/Classwork/AQMAED/Stenberg/MA-subject-2.csv,legacy,2 8 9,Kafkaesque Koffka,3.2.8,0,n,0,right,left,left,NA,right,782,152975,81019,NA,782,2,legacy,3,1024,2,48000,-16,experiment,2,even,6,319506,320597,314335,320599,322808,2962,233315,321603,155937,324814,NA,2957,NA,324814,325596,Sternberg Task,14,11972,14,yes,1024
