acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_keyboard_response,correct_response,count_ISI,count_PracticeLoop,count_correctFeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_incorrectFeedback,count_instruction1,count_instructions2,count_keyboard_response,count_logger,count_memorySet,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_PracticeLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instruction1,response_instructions2,response_keyboard_response,response_thankYou,response_time,response_time_instruction1,response_time_instructions2,response_time_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_PracticeLoop,time_correctFeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_incorrectFeedback,time_instruction1,time_instructions2,time_keyboard_response,time_logger,time_memorySet,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
0,0,2000,2000,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thu Oct 24 13:42:33 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,0,0,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1/CB-subject-2.csv,legacy,2 1,Kafkaesque Koffka,3.2.8,0,n,0,None,1,NA,None,NA,2000,43067,NA,2000,NA,2,legacy,2,1024,2,48000,-16,experiment,2,even,5,48888,46492,NA,46647,3369,NA,46660,NA,3415,NA,50901,52901,47675,50901,NA,Sternberg Task,0,2000,1,yes,1024
0,0,2000,2000,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,Thu Oct 24 13:42:33 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,1,1,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1/CB-subject-2.csv,legacy,5 7 8 4 1 2,Kafkaesque Koffka,3.2.8,0,n,0,None,1,NA,None,NA,2000,43067,NA,2000,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,6,56447,46492,NA,54210,3369,NA,54222,53026,3415,NA,58460,60460,55234,58460,NA,Sternberg Task,0,4000,2,yes,1024
0,0,1554,1554,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,2,0,2,2,0,0,2,2,0,0,2,2,2,2,0,Thu Oct 24 13:42:33 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,2,2,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1/CB-subject-2.csv,legacy,2 9 4,Kafkaesque Koffka,3.2.8,3,y,0,right,1,NA,right,NA,662,43067,NA,662,NA,2,legacy,3,1024,2,48000,-16,experiment,2,even,4,63883,46492,NA,61644,3369,NA,61657,60477,3415,NA,65894,66558,62668,65894,NA,Sternberg Task,0,4662,3,yes,1024
0,0,1665.5,1665.5,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,3,0,3,3,0,0,3,3,0,0,3,3,3,3,0,Thu Oct 24 13:42:33 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,3,3,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1/CB-subject-2.csv,legacy,6,Kafkaesque Koffka,3.2.8,1,y,0,None,1,NA,None,NA,2000,43067,NA,2000,NA,2,legacy,1,1024,2,48000,-16,experiment,2,even,6,69970,46492,NA,67728,3369,NA,67742,66578,3415,NA,71984,73984,68757,71984,NA,Sternberg Task,0,6662,4,yes,1024
20,20,1548.8,1548.8,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,4,0,4,4,0,0,4,4,0,0,4,4,4,4,0,Thu Oct 24 13:42:33 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,4,4,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1/CB-subject-2.csv,legacy,1 5 2 9,Kafkaesque Koffka,3.2.8,2,y,0,left,1,NA,left,NA,1082,43067,NA,1082,NA,2,legacy,4,1024,2,48000,-16,experiment,2,even,5,77398,46492,NA,75158,3369,NA,75170,74000,3415,NA,79412,80495,76185,79411,NA,Sternberg Task,1,7744,5,yes,1024
33.33333333,33.33333333,1459.333333,1459.333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,5,0,5,5,0,0,5,5,0,0,5,5,5,5,0,Thu Oct 24 13:42:33 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,5,5,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1/CB-subject-2.csv,legacy,3 1 9 4,Kafkaesque Koffka,3.2.8,0,n,0,right,1,NA,right,NA,1012,43067,NA,1012,NA,2,legacy,4,1024,2,48000,-16,experiment,2,even,6,83900,46492,80514,81658,3369,NA,81671,74000,3415,NA,85914,86927,82688,85914,NA,Sternberg Task,2,8756,6,yes,1024
42.85714286,42.85714286,1376.714286,1376.714286,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,6,0,6,6,0,0,6,6,0,0,6,6,6,6,0,Thu Oct 24 13:42:33 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,6,6,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1/CB-subject-2.csv,legacy,4 8,Kafkaesque Koffka,3.2.8,1,y,0,left,1,NA,left,NA,881,43067,NA,881,NA,2,legacy,2,1024,2,48000,-16,experiment,2,even,4,90350,46492,86943,88107,3369,NA,88120,74000,3415,NA,92364,93247,89137,92364,NA,Sternberg Task,3,9637,7,yes,1024
37.5,37.5,1283.25,1283.25,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,7,0,7,7,0,0,7,7,0,0,7,7,7,7,0,Thu Oct 24 13:42:33 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,7,7,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1/CB-subject-2.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.8,4,y,0,right,1,NA,right,NA,629,43067,NA,629,NA,2,legacy,5,1024,2,48000,-16,experiment,2,even,8,96656,46492,93263,94415,3369,NA,94428,74000,3415,NA,98672,99303,95444,98671,NA,Sternberg Task,3,10266,8,yes,1024
33.33333333,33.33333333,1362.888889,1362.888889,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,8,0,8,8,0,0,8,8,0,0,8,8,8,8,0,Thu Oct 24 13:42:33 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,8,8,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1/CB-subject-2.csv,legacy,5,Kafkaesque Koffka,3.2.8,0,n,0,None,1,NA,None,NA,2000,43067,NA,2000,NA,2,legacy,1,1024,2,48000,-16,experiment,2,even,3,102732,46492,93263,100494,3369,NA,100507,99325,3415,NA,104747,106747,101520,104746,NA,Sternberg Task,3,12266,9,yes,1024
40,40,1281.6,1281.6,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,9,0,9,9,0,0,9,9,0,0,9,9,9,9,0,Thu Oct 24 13:42:33 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,9,9,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1/CB-subject-2.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.8,0,n,0,right,1,NA,right,NA,550,43067,NA,550,NA,2,legacy,3,1024,2,48000,-16,experiment,2,even,2,110173,46492,93263,107933,3369,NA,107945,106764,3415,NA,112185,112737,108957,112185,NA,Sternberg Task,4,12816,10,yes,1024
