acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Keyboard_response,correct_instruction1,correct_response,count_ISI,count_Keyboard_response,count_PracticeLoop,count_correctFeedback,count_exp_sequence,count_experiment,count_experimentLoop,count_fixation,count_incorrectFeedback,count_instruction1,count_instructions2,count_logger,count_memorySet,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_PracticeLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_Keyboard_response,response_instruction1,response_instructions2,response_thankYou,response_time,response_time_Keyboard_response,response_time_instruction1,response_time_instructions2,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_Keyboard_response,time_PracticeLoop,time_correctFeedback,time_exp_sequence,time_experiment,time_experimentLoop,time_fixation,time_incorrectFeedback,time_instruction1,time_instructions2,time_logger,time_memorySet,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
0,0,2000,2000,black,practice,legacy,legacy,legacy,0,uniform,0,0,undefined,left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,4 8,Kafkaesque Koffka,3.2.8,1,y,0,None,None,right,NA,NA,2000,2000,211857,NA,NA,2,legacy,2,1024,2,48000,-16,experiment,3,odd,4,217497,219503,214526,NA,215281,2660,NA,215284,NA,2667,NA,221503,216290,219503,NA,Sternberg Task,0,2000,1,yes,1024
50,50,1421.5,1421.5,black,practice,legacy,legacy,legacy,0,uniform,1,1,undefined,right,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,2 1,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,NA,NA,843,843,211857,NA,NA,2,legacy,2,1024,2,48000,-16,experiment,3,odd,5,225004,227012,214526,NA,222789,2660,NA,222792,221642,2667,NA,227855,223797,227011,NA,Sternberg Task,1,2843,2,yes,1024
33.33333333,33.33333333,1104.333333,1104.333333,black,practice,legacy,legacy,legacy,0,uniform,0,0,undefined,right,2,2,0,2,2,0,0,2,2,0,0,2,2,2,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,5 7 8 4 1 2,Kafkaesque Koffka,3.2.8,0,n,0,left,left,right,NA,NA,470,470,211857,NA,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,6,231315,233321,214526,227915,229103,2660,NA,229106,221642,2667,NA,233791,230109,233321,NA,Sternberg Task,1,3313,3,yes,1024
50,50,953.25,953.25,black,practice,legacy,legacy,legacy,0,uniform,1,1,undefined,right,3,3,0,3,3,0,0,3,3,0,0,3,3,3,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,9 6 7 4 5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,NA,NA,500,500,211857,NA,NA,2,legacy,5,1024,2,48000,-16,experiment,3,odd,3,237196,239200,214526,227915,234982,2660,NA,234985,233855,2667,NA,239701,235990,239199,NA,Sternberg Task,2,3813,4,yes,1024
60,60,976,976,black,practice,legacy,legacy,legacy,0,uniform,1,1,undefined,left,4,4,0,4,4,0,0,4,4,0,0,4,4,4,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.8,4,y,0,left,left,right,NA,NA,1067,1067,211857,NA,NA,2,legacy,5,1024,2,48000,-16,experiment,3,odd,8,243121,245127,214526,239774,240905,2660,NA,240908,233855,2667,NA,246194,241915,245127,NA,Sternberg Task,3,4880,5,yes,1024
66.66666667,66.66666667,921.3333333,921.3333333,black,practice,legacy,legacy,legacy,0,uniform,1,1,undefined,left,5,5,0,5,5,0,0,5,5,0,0,5,5,5,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,4 3 1 7 9 8,Kafkaesque Koffka,3.2.8,1,y,0,left,left,right,NA,NA,648,648,211857,NA,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,4,249579,251583,214526,246215,247365,2660,NA,247368,233855,2667,NA,252232,248374,251582,NA,Sternberg Task,4,5528,6,yes,1024
71.42857143,71.42857143,964.5714286,964.5714286,black,practice,legacy,legacy,legacy,0,uniform,1,1,undefined,left,6,6,0,6,6,0,0,6,6,0,0,6,6,6,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,1 5 2 9,Kafkaesque Koffka,3.2.8,2,y,0,left,left,right,NA,NA,1224,1224,211857,NA,NA,2,legacy,4,1024,2,48000,-16,experiment,3,odd,5,255705,257712,214526,252300,253491,2660,NA,253493,233855,2667,NA,258937,254498,257711,NA,Sternberg Task,5,6752,7,yes,1024
75,75,908,908,black,practice,legacy,legacy,legacy,0,uniform,1,1,undefined,right,7,7,0,7,7,0,0,7,7,0,0,7,7,7,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,NA,NA,512,512,211857,NA,NA,2,legacy,3,1024,2,48000,-16,experiment,3,odd,2,262337,264344,214526,258957,260122,2660,NA,260124,233855,2667,NA,264857,261131,264343,NA,Sternberg Task,6,7264,8,yes,1024
77.77777778,77.77777778,907.1111111,907.1111111,black,practice,legacy,legacy,legacy,0,uniform,1,1,undefined,left,8,8,0,8,8,0,0,8,8,0,0,8,8,8,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,6,Kafkaesque Koffka,3.2.8,1,y,0,left,left,right,NA,NA,900,900,211857,NA,NA,2,legacy,1,1024,2,48000,-16,experiment,3,odd,6,268271,270278,214526,264919,266060,2660,NA,266062,233855,2667,NA,271179,267065,270277,NA,Sternberg Task,7,8164,9,yes,1024
80,80,909.7,909.7,black,practice,legacy,legacy,legacy,0,uniform,1,1,undefined,right,9,9,0,9,9,0,0,9,9,0,0,9,9,9,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,NA,NA,933,933,211857,NA,NA,2,legacy,1,1024,2,48000,-16,experiment,3,odd,3,274568,276576,214526,271236,272358,2660,NA,272360,233855,2667,NA,277510,273363,276575,NA,Sternberg Task,8,9097,10,yes,1024
