acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_new_keyboard_response,correct_response,count_ISI,count_correctFeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_getting_started,count_incorrectFeeback,count_instruction1,count_instructions2,count_logger,count_memorySet,count_new_keyboard_response,count_practiceLoop,count_probe,count_thankYou,count_welcome,datetime,description,disable_garbage_collection,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instruction1,response_instructions2,response_new_keyboard_response,response_thankYou,response_time,response_time_instruction1,response_time_instructions2,response_time_new_keyboard_response,response_time_thankYou,response_time_welcome,response_welcome,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_correctFeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_getting_started,time_incorrectFeeback,time_instruction1,time_instructions2,time_logger,time_memorySet,time_new_keyboard_response,time_practiceLoop,time_probe,time_thankYou,time_welcome,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,764,764,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,Sun Oct 20 20:45:51 2019,The main experiment item,yes,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/SternbergTask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,0,0,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-1.csv,legacy,6,Kafkaesque Koffka,3.2.8,1,y,0,left,left,NA,left,NA,764,15927,NA,764,NA,NA,NA,2,legacy,1,1024,2,48000,-16,experiment,1,odd,6,21640,NA,19397,3054,NA,19409,NA,NA,3069,NA,24417,20423,23652,19004,23652,NA,NA,Sternberg Task,1,764,1,yes,1024
100,100,971.5,971.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,1,1,1,0,0,1,NA,1,0,0,1,1,1,0,1,0,NA,Sun Oct 20 20:45:51 2019,The main experiment item,yes,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/SternbergTask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,1,1,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-1.csv,legacy,5 7 8 4 1 2,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,1179,15927,NA,1179,NA,NA,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,6,27813,24476,25569,3054,NA,25582,NA,NA,3069,NA,31006,26596,29826,19004,29826,NA,NA,Sternberg Task,2,1943,2,yes,1024
66.66666667,66.66666667,981.6666667,981.6666667,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,2,2,2,0,0,2,NA,2,0,0,2,2,2,0,2,0,NA,Sun Oct 20 20:45:51 2019,The main experiment item,yes,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/SternbergTask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,2,2,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-1.csv,legacy,5,Kafkaesque Koffka,3.2.8,0,n,0,left,left,NA,left,NA,1002,15927,NA,1002,NA,NA,NA,2,legacy,1,1024,2,48000,-16,experiment,1,odd,3,34344,31020,32104,3054,NA,32117,NA,NA,3069,NA,37360,33130,36357,19004,36357,NA,NA,Sternberg Task,2,2945,3,yes,1024
75,75,1080,1080,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,3,3,3,0,0,3,NA,3,0,0,3,3,3,0,3,0,NA,Sun Oct 20 20:45:51 2019,The main experiment item,yes,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/SternbergTask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,3,3,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-1.csv,legacy,1 5 2 9,Kafkaesque Koffka,3.2.8,2,y,0,left,left,NA,left,NA,1375,15927,NA,1375,NA,NA,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,5,40699,31020,38456,3054,NA,38468,NA,37374,3069,NA,44089,39482,42713,19004,42713,NA,NA,Sternberg Task,3,4320,4,yes,1024
80,80,1090.4,1090.4,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,4,4,4,0,0,4,NA,4,0,0,4,4,4,0,4,0,NA,Sun Oct 20 20:45:51 2019,The main experiment item,yes,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/SternbergTask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,4,4,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-1.csv,legacy,2 1,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,1132,15927,NA,1132,NA,NA,NA,2,legacy,2,1024,2,48000,-16,experiment,1,odd,5,47426,44104,45188,3054,NA,45200,NA,37374,3069,NA,50572,46213,49439,19004,49439,NA,NA,Sternberg Task,4,5452,5,yes,1024
83.33333333,83.33333333,1047.333333,1047.333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,5,5,5,0,0,5,NA,5,0,0,5,5,5,0,5,0,NA,Sun Oct 20 20:45:51 2019,The main experiment item,yes,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/SternbergTask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,5,5,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-1.csv,legacy,4 8,Kafkaesque Koffka,3.2.8,1,y,0,left,left,NA,left,NA,832,15927,NA,832,NA,NA,NA,2,legacy,2,1024,2,48000,-16,experiment,1,odd,4,53918,50589,51675,3054,NA,51687,NA,37374,3069,NA,56766,52701,55932,19004,55931,NA,NA,Sternberg Task,5,6284,6,yes,1024
85.71428571,85.71428571,1168.285714,1168.285714,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,6,6,6,0,0,6,NA,6,0,0,6,6,6,0,6,0,NA,Sun Oct 20 20:45:51 2019,The main experiment item,yes,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/SternbergTask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,6,6,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-1.csv,legacy,9 6 7 4 5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,1894,15927,NA,1894,NA,NA,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,3,60111,56781,57867,3054,NA,57880,NA,37374,3069,NA,64020,58895,62125,19004,62125,NA,NA,Sternberg Task,6,8178,7,yes,1024
87.5,87.5,1153.75,1153.75,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,7,7,7,0,0,7,NA,7,0,0,7,7,7,0,7,0,NA,Sun Oct 20 20:45:51 2019,The main experiment item,yes,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/SternbergTask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,7,7,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-1.csv,legacy,4 3 1 7 9 8,Kafkaesque Koffka,3.2.8,1,y,0,left,left,NA,left,NA,1052,15927,NA,1052,NA,NA,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,4,67368,64036,65123,3054,NA,65136,NA,37374,3069,NA,70434,66151,69381,19004,69381,NA,NA,Sternberg Task,7,9230,8,yes,1024
88.88888889,88.88888889,1118.222222,1118.222222,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,8,8,8,0,0,8,NA,8,0,0,8,8,8,0,8,0,NA,Sun Oct 20 20:45:51 2019,The main experiment item,yes,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/SternbergTask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,8,8,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-1.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,834,15927,NA,834,NA,NA,NA,2,legacy,3,1024,2,48000,-16,experiment,1,odd,2,73782,70449,71536,3054,NA,71549,NA,37374,3069,NA,76630,72564,75795,19004,75795,NA,NA,Sternberg Task,8,10064,9,yes,1024
90,90,1117,1117,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,9,9,9,0,0,9,NA,9,0,0,9,9,9,0,9,0,NA,Sun Oct 20 20:45:51 2019,The main experiment item,yes,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/SternbergTask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,9,9,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-1.csv,legacy,2 9 4,Kafkaesque Koffka,3.2.8,3,y,0,left,left,NA,left,NA,1106,15927,NA,1106,NA,NA,NA,2,legacy,3,1024,2,48000,-16,experiment,1,odd,4,79982,76647,77735,3054,NA,77747,NA,37374,3069,NA,83103,78765,81996,19004,81996,NA,NA,Sternberg Task,9,11170,10,yes,1024
90.90909091,90.90909091,1133,1133,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,10,10,10,0,0,10,NA,10,0,0,10,10,10,0,10,0,NA,Sun Oct 20 20:45:51 2019,The main experiment item,yes,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/SternbergTask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,10,10,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-1.csv,legacy,3 1 9 4,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,1293,15927,NA,1293,NA,NA,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,6,86451,83121,84206,3054,NA,84219,NA,37374,3069,NA,89758,85235,88464,19004,88464,NA,NA,Sternberg Task,10,12463,11,yes,1024
91.66666667,91.66666667,1128.833333,1128.833333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,11,11,11,0,0,11,NA,11,0,0,11,11,11,0,11,0,NA,Sun Oct 20 20:45:51 2019,The main experiment item,yes,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/SternbergTask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,11,11,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-1.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.8,4,y,0,left,left,NA,left,NA,1083,15927,NA,1083,NA,NA,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,8,93104,89775,90861,3054,NA,90873,NA,37374,3069,NA,96203,91888,95119,19004,95119,NA,NA,Sternberg Task,11,13546,12,yes,1024
92.30769231,92.30769231,1150.538462,1150.538462,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,12,12,12,0,0,12,NA,12,0,0,12,12,12,0,12,0,NA,Sun Oct 20 20:45:51 2019,The main experiment item,yes,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/SternbergTask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,0,11,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-1.csv,legacy,6 8 9 3 4 9,Kafkaesque Koffka,3.2.8,5,y,0,left,left,left,left,NA,1411,15927,41289,1411,NA,NA,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,4,140892,96218,138647,3054,138545,138660,NA,37374,3069,97254,144318,139675,142906,19004,142906,NA,NA,Sternberg Task,12,14957,13,yes,1024
92.85714286,92.85714286,1119.785714,1119.785714,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,13,13,13,0,0,13,NA,13,0,0,13,13,13,0,13,0,NA,Sun Oct 20 20:45:51 2019,The main experiment item,yes,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/SternbergTask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,1,11,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-1.csv,legacy,7 1 3,Kafkaesque Koffka,3.2.8,2,y,0,left,left,left,left,NA,720,15927,41289,720,NA,NA,NA,2,legacy,3,1024,2,48000,-16,experiment,1,odd,1,147666,144334,145422,3054,138545,145434,NA,37374,3069,97254,150401,146449,149680,19004,149679,NA,NA,Sternberg Task,13,15677,14,yes,1024
93.33333333,93.33333333,1104.066667,1104.066667,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,14,14,14,0,0,14,NA,14,0,0,14,14,14,0,14,0,NA,Sun Oct 20 20:45:51 2019,The main experiment item,yes,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/SternbergTask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,2,11,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-1.csv,legacy,2 4 8 5 1 3,Kafkaesque Koffka,3.2.8,1,y,0,left,left,left,left,NA,884,15927,41289,884,NA,NA,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,2,153748,150417,151503,3054,138545,151516,NA,37374,3069,97254,156647,152531,155762,19004,155761,NA,NA,Sternberg Task,14,16561,15,yes,1024
93.75,93.75,1110.5625,1110.5625,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,15,15,15,0,0,15,NA,15,0,0,15,15,15,0,15,0,NA,Sun Oct 20 20:45:51 2019,The main experiment item,yes,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/SternbergTask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,3,11,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-1.csv,legacy,1 4 3 6 5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,left,right,NA,1208,15927,41289,1208,NA,NA,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,8,159997,156665,157753,3054,138545,157766,NA,37374,3069,97254,163218,158781,162009,19004,162009,NA,NA,Sternberg Task,15,17769,16,yes,1024
94.11764706,94.11764706,1108.470588,1108.470588,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,16,16,16,0,0,16,NA,16,0,0,16,16,16,0,16,0,NA,Sun Oct 20 20:45:51 2019,The main experiment item,yes,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/SternbergTask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,4,11,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-1.csv,legacy,1 4 9 2 5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,left,right,NA,1075,15927,41289,1075,NA,NA,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,7,166563,163233,164320,3054,138545,164332,NA,37374,3069,97254,169653,165346,168577,19004,168577,NA,NA,Sternberg Task,16,18844,17,yes,1024
94.44444444,94.44444444,1083.277778,1083.277778,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,17,17,17,0,0,17,NA,17,0,0,17,17,17,0,17,0,NA,Sun Oct 20 20:45:51 2019,The main experiment item,yes,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/SternbergTask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,5,11,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-1.csv,legacy,2 3,Kafkaesque Koffka,3.2.8,1,y,0,left,left,left,left,NA,655,15927,41289,655,NA,NA,NA,2,legacy,2,1024,2,48000,-16,experiment,1,odd,2,173000,169670,170757,3054,138545,170769,NA,37374,3069,97254,175668,171784,175012,19004,175012,NA,NA,Sternberg Task,17,19499,18,yes,1024
