acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_new_keyboard_response,correct_response,count_ISI,count_correctFeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_getting_started,count_incorrectFeeback,count_instruction1,count_instructions2,count_logger,count_memorySet,count_new_keyboard_response,count_practiceLoop,count_probe,count_thankYou,count_welcome,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instruction1,response_instructions2,response_new_keyboard_response,response_thankYou,response_time,response_time_instruction1,response_time_instructions2,response_time_new_keyboard_response,response_time_thankYou,response_time_welcome,response_welcome,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_correctFeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_getting_started,time_incorrectFeeback,time_instruction1,time_instructions2,time_logger,time_memorySet,time_new_keyboard_response,time_practiceLoop,time_probe,time_thankYou,time_welcome,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,1418,1418,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,Fri Oct 25 19:03:25 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,0,0,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-2.csv,legacy,5 7 8 4 1 2,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,1418,40974,NA,1418,NA,NA,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,6,46330,NA,44085,2737,NA,44097,NA,NA,2751,NA,49762,45111,48343,43737,48343,NA,NA,Sternberg Task,1,1418,1,yes,1024
100,100,1156,1156,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,1,1,1,0,0,1,NA,1,0,0,1,1,1,0,1,0,NA,Fri Oct 25 19:03:25 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,1,1,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-2.csv,legacy,4 3 1 7 9 8,Kafkaesque Koffka,3.2.8,1,y,0,left,left,NA,left,NA,894,40974,NA,894,NA,NA,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,4,53159,49819,50915,2737,NA,50928,NA,NA,2751,NA,56068,51943,55173,43737,55172,NA,NA,Sternberg Task,2,2312,2,yes,1024
100,100,1138.666667,1138.666667,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,2,2,2,0,0,2,NA,2,0,0,2,2,2,0,2,0,NA,Fri Oct 25 19:03:25 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,2,2,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-2.csv,legacy,3 1 9 4,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,1104,40974,NA,1104,NA,NA,NA,2,legacy,4,1024,2,48000,-16,experiment,2,even,6,59412,56084,57170,2737,NA,57182,NA,NA,2751,NA,62530,58196,61425,43737,61425,NA,NA,Sternberg Task,3,3416,3,yes,1024
100,100,1048,1048,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,3,3,3,0,0,3,NA,3,0,0,3,3,3,0,3,0,NA,Fri Oct 25 19:03:25 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,3,3,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-2.csv,legacy,4 8,Kafkaesque Koffka,3.2.8,1,y,0,left,left,NA,left,NA,776,40974,NA,776,NA,NA,NA,2,legacy,2,1024,2,48000,-16,experiment,2,even,4,65873,62546,63630,2737,NA,63643,NA,NA,2751,NA,68664,64656,67886,43737,67886,NA,NA,Sternberg Task,4,4192,4,yes,1024
100,100,1003.8,1003.8,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,4,4,4,0,0,4,NA,4,0,0,4,4,4,0,4,0,NA,Fri Oct 25 19:03:25 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,4,4,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-2.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,827,40974,NA,827,NA,NA,NA,2,legacy,3,1024,2,48000,-16,experiment,2,even,2,72008,68679,69765,2737,NA,69777,NA,NA,2751,NA,74849,70791,74021,43737,74021,NA,NA,Sternberg Task,5,5019,5,yes,1024
100,100,988,988,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,5,5,5,0,0,5,NA,5,0,0,5,5,5,0,5,0,NA,Fri Oct 25 19:03:25 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,5,5,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-2.csv,legacy,2 9 4,Kafkaesque Koffka,3.2.8,3,y,0,left,left,NA,left,NA,909,40974,NA,909,NA,NA,NA,2,legacy,3,1024,2,48000,-16,experiment,2,even,4,78195,74865,75951,2737,NA,75964,NA,NA,2751,NA,81119,76978,80209,43737,80208,NA,NA,Sternberg Task,6,5928,6,yes,1024
100,100,1033.857143,1033.857143,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,6,6,6,0,0,6,NA,6,0,0,6,6,6,0,6,0,NA,Fri Oct 25 19:03:25 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,6,6,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-2.csv,legacy,2 1,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,1309,40974,NA,1309,NA,NA,NA,2,legacy,2,1024,2,48000,-16,experiment,2,even,5,84462,81134,82218,2737,NA,82231,NA,NA,2751,NA,87787,83245,86476,43737,86476,NA,NA,Sternberg Task,7,7237,7,yes,1024
87.5,87.5,1017.125,1017.125,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,7,7,7,0,0,7,NA,7,0,0,7,7,7,0,7,0,NA,Fri Oct 25 19:03:25 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,7,7,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-2.csv,legacy,5,Kafkaesque Koffka,3.2.8,0,n,0,left,left,NA,left,NA,900,40974,NA,900,NA,NA,NA,2,legacy,1,1024,2,48000,-16,experiment,2,even,3,91130,87801,88886,2737,NA,88898,NA,NA,2751,NA,94044,89913,93143,43737,93143,NA,NA,Sternberg Task,7,8137,8,yes,1024
88.88888889,88.88888889,1101.666667,1101.666667,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,8,8,8,0,0,8,NA,8,0,0,8,8,8,0,8,0,NA,Fri Oct 25 19:03:25 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,8,8,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-2.csv,legacy,9 6 7 4 5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,1778,40974,NA,1778,NA,NA,NA,2,legacy,5,1024,2,48000,-16,experiment,2,even,3,97382,87801,95139,2737,NA,95152,NA,94058,2751,NA,101174,96166,99395,43737,99395,NA,NA,Sternberg Task,8,9915,9,yes,1024
90,90,1095.3,1095.3,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,9,9,9,0,0,9,NA,9,0,0,9,9,9,0,9,0,NA,Fri Oct 25 19:03:25 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,9,9,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-2.csv,legacy,1 5 2 9,Kafkaesque Koffka,3.2.8,2,y,0,left,left,NA,left,NA,1038,40974,NA,1038,NA,NA,NA,2,legacy,4,1024,2,48000,-16,experiment,2,even,5,104520,101190,102275,2737,NA,102288,NA,94058,2751,NA,107574,103303,106534,43737,106533,NA,NA,Sternberg Task,9,10953,10,yes,1024
