acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Instruction1,correct_keyboard_response,correct_response,count_ISI,count_Instruction1,count_Instructions2,count_correctFeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_incorrectFeedback,count_keyboard_response,count_logger,count_memorySet,count_practiceloop,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceloop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_Instruction1,response_Instructions2,response_keyboard_response,response_thankYou,response_time,response_time_Instruction1,response_time_Instructions2,response_time_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_Instruction1,time_Instructions2,time_correctFeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_incorrectFeedback,time_keyboard_response,time_logger,time_memorySet,time_practiceloop,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,740,740,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun Oct 27 19:18:10 2019,The main experiment item,yes,SternnbergTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 3,no,mono,no,18,no,white,no,yes,768,legacy,0,0,/Users/kaylicolpitts/Desktop/adv quant/lab 3/KC-subject-3.csv,legacy,3 1 9 4,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,740,23525,NA,740,NA,2,legacy,4,1024,2,48000,-16,experiment,3,odd,6,31008,4846,NA,NA,28768,4822,NA,28781,NA,33020,33762,29793,28382,33020,NA,Sternberg Task,1,740,1,yes,1024
100,100,771.5,771.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,Sun Oct 27 19:18:10 2019,The main experiment item,yes,SternnbergTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 3,no,mono,no,18,no,white,no,yes,768,legacy,1,1,/Users/kaylicolpitts/Desktop/adv quant/lab 3/KC-subject-3.csv,legacy,9 6 7 4 5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,803,23525,NA,803,NA,2,legacy,5,1024,2,48000,-16,experiment,3,odd,3,37205,4846,NA,33833,34967,4822,NA,34979,NA,39217,40021,35991,28382,39217,NA,Sternberg Task,2,1543,2,yes,1024
66.66666667,66.66666667,732.6666667,732.6666667,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,2,0,0,2,2,0,0,2,2,2,2,2,0,2,0,Sun Oct 27 19:18:10 2019,The main experiment item,yes,SternnbergTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 3,no,mono,no,18,no,white,no,yes,768,legacy,2,2,/Users/kaylicolpitts/Desktop/adv quant/lab 3/KC-subject-3.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.8,4,y,0,right,right,NA,right,NA,655,23525,NA,655,NA,2,legacy,5,1024,2,48000,-16,experiment,3,odd,8,43392,4846,NA,40040,41156,4822,NA,41168,NA,45405,46062,42179,28382,45405,NA,Sternberg Task,2,2198,3,yes,1024
75,75,705.25,705.25,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,3,0,0,3,3,0,0,3,3,3,3,3,0,3,0,Sun Oct 27 19:18:10 2019,The main experiment item,yes,SternnbergTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 3,no,mono,no,18,no,white,no,yes,768,legacy,3,3,/Users/kaylicolpitts/Desktop/adv quant/lab 3/KC-subject-3.csv,legacy,5 7 8 4 1 2,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,623,23525,NA,623,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,6,49431,4846,NA,40040,47193,4822,NA,47205,46081,51443,52068,48217,28382,51443,NA,Sternberg Task,3,2821,4,yes,1024
80,80,664.2,664.2,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,4,0,0,4,4,0,0,4,4,4,4,4,0,4,0,Sun Oct 27 19:18:10 2019,The main experiment item,yes,SternnbergTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 3,no,mono,no,18,no,white,no,yes,768,legacy,4,4,/Users/kaylicolpitts/Desktop/adv quant/lab 3/KC-subject-3.csv,legacy,2 1,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,500,23525,NA,500,NA,2,legacy,2,1024,2,48000,-16,experiment,3,odd,5,55438,4846,NA,52082,53200,4822,NA,53212,46081,57450,57951,54224,28382,57450,NA,Sternberg Task,4,3321,5,yes,1024
66.66666667,66.66666667,622.3333333,622.3333333,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,5,0,0,5,5,0,0,5,5,5,5,5,0,5,0,Sun Oct 27 19:18:10 2019,The main experiment item,yes,SternnbergTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 3,no,mono,no,18,no,white,no,yes,768,legacy,5,5,/Users/kaylicolpitts/Desktop/adv quant/lab 3/KC-subject-3.csv,legacy,6,Kafkaesque Koffka,3.2.8,1,y,0,right,right,NA,right,NA,413,23525,NA,413,NA,2,legacy,1,1024,2,48000,-16,experiment,3,odd,6,61310,4846,NA,57965,59069,4822,NA,59081,46081,63327,63742,60093,28382,63327,NA,Sternberg Task,4,3734,6,yes,1024
71.42857143,71.42857143,609.8571429,609.8571429,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,6,0,0,6,6,0,0,6,6,6,6,6,0,6,0,Sun Oct 27 19:18:10 2019,The main experiment item,yes,SternnbergTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 3,no,mono,no,18,no,white,no,yes,768,legacy,6,6,/Users/kaylicolpitts/Desktop/adv quant/lab 3/KC-subject-3.csv,legacy,4 3 1 7 9 8,Kafkaesque Koffka,3.2.8,1,y,0,left,right,NA,left,NA,535,23525,NA,535,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,4,67102,4846,NA,57965,64864,4822,NA,64877,63755,69114,69650,65888,28382,69114,NA,Sternberg Task,5,4269,7,yes,1024
75,75,594.625,594.625,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,7,0,0,7,7,0,0,7,7,7,7,7,0,7,0,Sun Oct 27 19:18:10 2019,The main experiment item,yes,SternnbergTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 3,no,mono,no,18,no,white,no,yes,768,legacy,7,7,/Users/kaylicolpitts/Desktop/adv quant/lab 3/KC-subject-3.csv,legacy,5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,488,23525,NA,488,NA,2,legacy,1,1024,2,48000,-16,experiment,3,odd,3,73009,4846,NA,69665,70773,4822,NA,70784,63755,75022,75511,71797,28382,75022,NA,Sternberg Task,6,4757,8,yes,1024
66.66666667,66.66666667,593.5555556,593.5555556,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,8,0,0,8,8,0,0,8,8,8,8,8,0,8,0,Sun Oct 27 19:18:10 2019,The main experiment item,yes,SternnbergTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 3,no,mono,no,18,no,white,no,yes,768,legacy,8,8,/Users/kaylicolpitts/Desktop/adv quant/lab 3/KC-subject-3.csv,legacy,2 9 4,Kafkaesque Koffka,3.2.8,3,y,0,right,right,NA,right,NA,585,23525,NA,585,NA,2,legacy,3,1024,2,48000,-16,experiment,3,odd,4,78870,4846,NA,75525,76632,4822,NA,76643,63755,80887,81473,77655,28382,80887,NA,Sternberg Task,6,5342,9,yes,1024
70,70,585.8,585.8,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,9,0,0,9,9,0,0,9,9,9,9,9,0,9,0,Sun Oct 27 19:18:10 2019,The main experiment item,yes,SternnbergTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 3,no,mono,no,18,no,white,no,yes,768,legacy,9,9,/Users/kaylicolpitts/Desktop/adv quant/lab 3/KC-subject-3.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,516,23525,NA,516,NA,2,legacy,3,1024,2,48000,-16,experiment,3,odd,2,84833,4846,NA,75525,82595,4822,NA,82607,81487,86845,87362,83619,28382,86844,NA,Sternberg Task,7,5858,10,yes,1024
