acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Instruction1,correct_new_keyboard_response,correct_response,count_Instruction1,count_correctFeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_incorrectFeedback,count_instructions2,count_isi,count_logger,count_memorySet,count_new_keyboard_response,count_practiceLoop,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_Instruction1,response_instructions2,response_new_keyboard_response,response_thankYou,response_time,response_time_Instruction1,response_time_instructions2,response_time_new_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_Instruction1,time_correctFeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_incorrectFeedback,time_instructions2,time_isi,time_logger,time_memorySet,time_new_keyboard_response,time_practiceLoop,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
0,0,2000,2000,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wed Oct 23 07:39:36 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3,no,mono,no,18,no,white,no,yes,768,legacy,0,0,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3/KB-subject-3-F18.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.6,0,n,0,None,left,NA,None,NA,2000,74425,NA,2000,NA,2,legacy,3,1024,2,48000,-16,experiment,3,odd,2,1805,NA,76776,1791,NA,76788,NA,NA,79011,83022,77799,81022,76232,81022,NA,Sternberg task,0,2000,1,yes,1024
50,50,1610,1610,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,Wed Oct 23 07:39:36 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3,no,mono,no,18,no,white,no,yes,768,legacy,1,1,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3/KB-subject-3-F18.csv,legacy,4 3 1 7 9 8,Kafkaesque Koffka,3.2.6,1,y,0,left,left,NA,left,NA,1220,74425,NA,1220,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,4,1805,NA,84368,1791,NA,84379,83244,NA,86603,89836,85391,88615,76232,88615,NA,Sternberg task,1,3220,2,yes,1024
33.33333333,33.33333333,1251.666667,1251.666667,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,0,2,2,0,0,2,2,0,2,2,2,2,0,2,0,Wed Oct 23 07:39:36 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3,no,mono,no,18,no,white,no,yes,768,legacy,2,2,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3/KB-subject-3-F18.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.6,4,y,0,right,left,NA,right,NA,535,74425,NA,535,NA,2,legacy,5,1024,2,48000,-16,experiment,3,odd,8,1805,89851,90962,1791,NA,90974,83244,NA,93196,95746,91985,95209,76232,95209,NA,Sternberg task,1,3755,3,yes,1024
50,50,1121,1121,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,0,3,3,0,0,3,3,0,3,3,3,3,0,3,0,Wed Oct 23 07:39:36 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3,no,mono,no,18,no,white,no,yes,768,legacy,3,3,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3/KB-subject-3-F18.csv,legacy,1 5 2 9,Kafkaesque Koffka,3.2.6,2,y,0,left,left,NA,left,NA,729,74425,NA,729,NA,2,legacy,4,1024,2,48000,-16,experiment,3,odd,5,1805,89851,96872,1791,NA,96883,95759,NA,99105,101847,97894,101116,76232,101116,NA,Sternberg task,2,4484,4,yes,1024
60,60,997.2,997.2,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,0,4,4,0,0,4,4,0,4,4,4,4,0,4,0,Wed Oct 23 07:39:36 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3,no,mono,no,18,no,white,no,yes,768,legacy,4,4,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3/KB-subject-3-F18.csv,legacy,5 7 8 4 1 2,Kafkaesque Koffka,3.2.6,0,n,0,right,left,NA,right,NA,502,74425,NA,502,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,6,1805,101905,103044,1791,NA,103056,95759,NA,105279,107797,104067,107294,76232,107294,NA,Sternberg task,3,4986,5,yes,1024
66.66666667,66.66666667,940.8333333,940.8333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,0,5,5,0,0,5,5,0,5,5,5,5,0,5,0,Wed Oct 23 07:39:36 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3,no,mono,no,18,no,white,no,yes,768,legacy,5,5,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3/KB-subject-3-F18.csv,legacy,2 9 4,Kafkaesque Koffka,3.2.6,3,y,0,left,left,NA,left,NA,659,74425,NA,659,NA,2,legacy,3,1024,2,48000,-16,experiment,3,odd,4,1805,107810,108925,1791,NA,108936,95759,NA,111164,113839,109952,113178,76232,113178,NA,Sternberg task,4,5645,6,yes,1024
71.42857143,71.42857143,935.5714286,935.5714286,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,0,6,6,0,0,6,6,0,6,6,6,6,0,6,0,Wed Oct 23 07:39:36 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3,no,mono,no,18,no,white,no,yes,768,legacy,6,6,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3/KB-subject-3-F18.csv,legacy,6,Kafkaesque Koffka,3.2.6,1,y,0,left,left,NA,left,NA,904,74425,NA,904,NA,2,legacy,1,1024,2,48000,-16,experiment,3,odd,6,1805,113855,114966,1791,NA,114977,95759,NA,117200,120117,115989,119211,76232,119210,NA,Sternberg task,5,6549,7,yes,1024
75,75,879.125,879.125,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,0,7,7,0,0,7,7,0,7,7,7,7,0,7,0,Wed Oct 23 07:39:36 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3,no,mono,no,18,no,white,no,yes,768,legacy,7,7,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3/KB-subject-3-F18.csv,legacy,9 6 7 4 5,Kafkaesque Koffka,3.2.6,0,n,0,right,left,NA,right,NA,484,74425,NA,484,NA,2,legacy,5,1024,2,48000,-16,experiment,3,odd,3,1805,120131,121240,1791,NA,121251,95759,NA,123473,125970,122262,125484,76232,125484,NA,Sternberg task,6,7033,8,yes,1024
77.77777778,77.77777778,841.8888889,841.8888889,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,0,8,8,0,0,8,8,0,8,8,8,8,0,8,0,Wed Oct 23 07:39:36 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3,no,mono,no,18,no,white,no,yes,768,legacy,8,8,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3/KB-subject-3-F18.csv,legacy,5,Kafkaesque Koffka,3.2.6,0,n,0,right,left,NA,right,NA,544,74425,NA,544,NA,2,legacy,1,1024,2,48000,-16,experiment,3,odd,3,1805,125983,127089,1791,NA,127099,95759,NA,129324,131881,128111,131335,76232,131335,NA,Sternberg task,7,7577,9,yes,1024
80,80,804.6,804.6,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,0,9,9,0,0,9,9,0,9,9,9,9,0,9,0,Wed Oct 23 07:39:36 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3,no,mono,no,18,no,white,no,yes,768,legacy,9,9,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3/KB-subject-3-F18.csv,legacy,4 8,Kafkaesque Koffka,3.2.6,1,y,0,left,left,NA,left,NA,469,74425,NA,469,NA,2,legacy,2,1024,2,48000,-16,experiment,3,odd,4,1805,131894,133002,1791,NA,133013,95759,NA,135238,137721,134024,137250,76232,137249,NA,Sternberg task,8,8046,10,yes,1024
