acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_keyboard_response,correct_response,count_ISI,count_correctFeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_incorrectFeedback,count_instruction1,count_instructions2,count_keyboard_response,count_memorySet,count_new_logger,count_new_sketchpad,count_practiceLoop,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instruction1,response_instructions2,response_keyboard_response,response_new_sketchpad,response_thankYou,response_time,response_time_instruction1,response_time_instructions2,response_time_keyboard_response,response_time_new_sketchpad,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_correctFeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_incorrectFeedback,time_instruction1,time_instructions2,time_keyboard_response,time_memorySet,time_new_logger,time_new_sketchpad,time_practiceLoop,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
0,0,610,610,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,10/18/19 9:55,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-1.csv,legacy,5,Kafkaesque Koffka,3.2.8,0,n,0,left,right,NA,left,NA,NA,610,10411,NA,610,NA,NA,2,legacy,1,1024,2,48000,-16,experiment,1,odd,3,15664,NA,13451,2486,NA,13453,NA,2508,NA,17669,14458,18280,NA,12920,17669,NA,Sternberg Task,0,610,1,yes,1024
50,50,800.5,800.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,1,1,1,0,0,1,1,0,0,1,1,1,NA,0,1,0,10/18/19 9:55,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-1.csv,legacy,1 5 2 9,Kafkaesque Koffka,3.2.8,2,y,0,left,right,NA,left,NA,NA,991,10411,NA,991,NA,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,5,21706,NA,19492,2486,NA,19494,18382,2508,NA,23712,20499,24704,NA,12920,23711,NA,Sternberg Task,1,1601,2,yes,1024
66.66666667,66.66666667,765,765,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,2,2,2,0,0,2,2,0,0,2,2,2,NA,0,2,0,10/18/19 9:55,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-1.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.8,4,y,0,left,right,NA,left,NA,NA,694,10411,NA,694,NA,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,8,28076,24733,25861,2486,NA,25863,18382,2508,NA,30081,26869,30775,NA,12920,30081,NA,Sternberg Task,2,2295,3,yes,1024
75,75,760.75,760.75,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,3,3,3,0,0,3,3,0,0,3,3,3,NA,0,3,0,10/18/19 9:55,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-1.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,NA,748,10411,NA,748,NA,NA,2,legacy,3,1024,2,48000,-16,experiment,1,odd,2,34142,30817,31929,2486,NA,31931,18382,2508,NA,36148,32937,36896,NA,12920,36147,NA,Sternberg Task,3,3043,4,yes,1024
80,80,716.4,716.4,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,4,4,4,0,0,4,4,0,0,4,4,4,NA,0,4,0,10/18/19 9:55,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-1.csv,legacy,4 8,Kafkaesque Koffka,3.2.8,1,y,0,left,right,NA,left,NA,NA,539,10411,NA,539,NA,NA,2,legacy,2,1024,2,48000,-16,experiment,1,odd,4,40256,36919,38042,2486,NA,38044,18382,2508,NA,42261,39049,42800,NA,12920,42261,NA,Sternberg Task,4,3582,5,yes,1024
83.33333333,83.33333333,708,708,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,5,5,5,0,0,5,5,0,0,5,5,5,NA,0,5,0,10/18/19 9:55,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-1.csv,legacy,6,Kafkaesque Koffka,3.2.8,1,y,0,left,right,NA,left,NA,NA,666,10411,NA,666,NA,NA,2,legacy,1,1024,2,48000,-16,experiment,1,odd,6,46144,42819,43931,2486,NA,43933,18382,2508,NA,48150,44938,48816,NA,12920,48149,NA,Sternberg Task,5,4248,6,yes,1024
85.71428571,85.71428571,700,700,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,6,6,6,0,0,6,6,0,0,6,6,6,NA,0,6,0,10/18/19 9:55,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-1.csv,legacy,3 1 9 4,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,NA,652,10411,NA,652,NA,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,6,52165,48844,49953,2486,NA,49955,18382,2508,NA,54171,50960,54824,NA,12920,54170,NA,Sternberg Task,6,4900,7,yes,1024
87.5,87.5,706,706,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,7,7,7,0,0,7,7,0,0,7,7,7,NA,0,7,0,10/18/19 9:55,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-1.csv,legacy,2 1,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,NA,748,10411,NA,748,NA,NA,2,legacy,2,1024,2,48000,-16,experiment,1,odd,5,58167,54846,55953,2486,NA,55955,18382,2508,NA,60172,56961,60920,NA,12920,60172,NA,Sternberg Task,7,5648,8,yes,1024
88.88888889,88.88888889,703.3333333,703.3333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,8,8,8,0,0,8,8,0,0,8,8,8,NA,0,8,0,10/18/19 9:55,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-1.csv,legacy,5 7 8 4 1 2,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,NA,682,10411,NA,682,NA,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,6,64264,60946,62049,2486,NA,62052,18382,2508,NA,66269,63058,66952,NA,12920,66269,NA,Sternberg Task,8,6330,9,yes,1024
90,90,702.5,702.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,9,9,9,0,0,9,9,0,0,9,9,9,NA,0,9,0,10/18/19 9:55,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-1.csv,legacy,4 3 1 7 9 8,Kafkaesque Koffka,3.2.8,1,y,0,left,right,NA,left,NA,NA,695,10411,NA,695,NA,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,4,70299,66979,68087,2486,NA,68089,18382,2508,NA,72305,69094,73000,NA,12920,72304,NA,Sternberg Task,9,7025,10,yes,1024
81.81818182,81.81818182,683.3636364,683.3636364,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,10,10,10,0,0,10,10,0,0,10,10,10,NA,0,10,0,10/18/19 9:55,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,10,10,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-1.csv,legacy,2 9 4,Kafkaesque Koffka,3.2.8,3,y,0,right,right,NA,right,NA,NA,492,10411,NA,492,NA,NA,2,legacy,3,1024,2,48000,-16,experiment,1,odd,4,76348,73023,74136,2486,NA,74138,18382,2508,NA,78355,75143,78848,NA,12920,78355,NA,Sternberg Task,9,7517,11,yes,1024
83.33333333,83.33333333,678.5833333,678.5833333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,11,11,11,0,0,11,11,0,0,11,11,11,NA,0,11,0,10/18/19 9:55,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,11,11,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-1.csv,legacy,9 6 7 4 5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,NA,626,10411,NA,626,NA,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,3,82176,73023,79966,2486,NA,79968,78873,2508,NA,84182,80971,84808,NA,12920,84181,NA,Sternberg Task,10,8143,12,yes,1024
