acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_keyboard_response,correct_response,count_ISI,count_correctFeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_incorrectFeedback,count_instruction1,count_instructions2,count_keyboard_response,count_logger,count_memorySet,count_practiceLoop,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instruction1,response_instructions2,response_keyboard_response,response_thankYou,response_time,response_time_instruction1,response_time_instructions2,response_time_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_correctFeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_incorrectFeedback,time_instruction1,time_instructions2,time_keyboard_response,time_logger,time_memorySet,time_practiceLoop,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,840,840,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/24/19 12:30,The main experiment item,yes,Sternbergtask SL.osexp,C:/Users/Sarah Linan/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/Sarah Linan/Desktop/subject-S3.csv,legacy,2 9 4,Kafkaesque Koffka,3.2.8,3,y,0,left,right,NA,left,NA,840,5933,NA,840,NA,2,legacy,3,1024,2,48000,-16,experiment,3,odd,4,11064,NA,8855,1996,NA,8859,NA,2003,NA,13069,13910,9861,7938,13069,NA,Sternberg task,1,840,1,yes,1024
100,100,727,727,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,10/24/19 12:30,The main experiment item,yes,Sternbergtask SL.osexp,C:/Users/Sarah Linan/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/Sarah Linan/Desktop/subject-S3.csv,legacy,4 8,Kafkaesque Koffka,3.2.8,1,y,0,left,right,NA,left,NA,614,5933,NA,614,NA,2,legacy,2,1024,2,48000,-16,experiment,3,odd,4,17465,14088,15254,1996,NA,15257,NA,2003,NA,19469,20084,16261,7938,19469,NA,Sternberg task,2,1454,2,yes,1024
66.66666667,66.66666667,769.6666667,769.6666667,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,2,2,2,0,0,2,2,0,0,2,2,2,0,2,0,10/24/19 12:30,The main experiment item,yes,Sternbergtask SL.osexp,C:/Users/Sarah Linan/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/Sarah Linan/Desktop/subject-S3.csv,legacy,9 6 7 4 5,Kafkaesque Koffka,3.2.8,0,n,0,left,right,NA,left,NA,855,5933,NA,855,NA,2,legacy,5,1024,2,48000,-16,experiment,3,odd,3,23549,20169,21338,1996,NA,21341,NA,2003,NA,25553,26409,22345,7938,25553,NA,Sternberg task,2,2309,3,yes,1024
75,75,757,757,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,3,3,3,0,0,3,3,0,0,3,3,3,0,3,0,10/24/19 12:30,The main experiment item,yes,Sternbergtask SL.osexp,C:/Users/Sarah Linan/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/Sarah Linan/Desktop/subject-S3.csv,legacy,1 5 2 9,Kafkaesque Koffka,3.2.8,2,y,0,left,right,NA,left,NA,719,5933,NA,719,NA,2,legacy,4,1024,2,48000,-16,experiment,3,odd,5,29867,20169,27660,1996,NA,27663,26495,2003,NA,31870,32590,28665,7938,31870,NA,Sternberg task,3,3028,4,yes,1024
80,80,813.2,813.2,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,4,4,4,0,0,4,4,0,0,4,4,4,0,4,0,10/24/19 12:30,The main experiment item,yes,Sternbergtask SL.osexp,C:/Users/Sarah Linan/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/Sarah Linan/Desktop/subject-S3.csv,legacy,2 1,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,1038,5933,NA,1038,NA,2,legacy,2,1024,2,48000,-16,experiment,3,odd,5,36052,32686,33844,1996,NA,33846,26495,2003,NA,38056,39094,34848,7938,38055,NA,Sternberg task,4,4066,5,yes,1024
66.66666667,66.66666667,849.8333333,849.8333333,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,5,5,5,0,0,5,5,0,0,5,5,5,0,5,0,10/24/19 12:30,The main experiment item,yes,Sternbergtask SL.osexp,C:/Users/Sarah Linan/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/Sarah Linan/Desktop/subject-S3.csv,legacy,5,Kafkaesque Koffka,3.2.8,0,n,0,left,right,NA,left,NA,1033,5933,NA,1033,NA,2,legacy,1,1024,2,48000,-16,experiment,3,odd,3,42538,39173,40329,1996,NA,40332,26495,2003,NA,44542,45575,41335,7938,44541,NA,Sternberg task,4,5099,6,yes,1024
71.42857143,71.42857143,829.8571429,829.8571429,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,6,6,6,0,0,6,6,0,0,6,6,6,0,6,0,10/24/19 12:30,The main experiment item,yes,Sternbergtask SL.osexp,C:/Users/Sarah Linan/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/Sarah Linan/Desktop/subject-S3.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.8,4,y,0,left,right,NA,left,NA,710,5933,NA,710,NA,2,legacy,5,1024,2,48000,-16,experiment,3,odd,8,49034,39173,46824,1996,NA,46827,45664,2003,NA,51038,51748,47830,7938,51038,NA,Sternberg task,5,5809,7,yes,1024
75,75,885.875,885.875,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,7,7,7,0,0,7,7,0,0,7,7,7,0,7,0,10/24/19 12:30,The main experiment item,yes,Sternbergtask SL.osexp,C:/Users/Sarah Linan/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/Sarah Linan/Desktop/subject-S3.csv,legacy,3 1 9 4,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,1278,5933,NA,1278,NA,2,legacy,4,1024,2,48000,-16,experiment,3,odd,6,55213,51831,53002,1996,NA,53005,45664,2003,NA,57215,58494,54009,7938,57215,NA,Sternberg task,6,7087,8,yes,1024
77.77777778,77.77777778,865.8888889,865.8888889,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,8,8,8,0,0,8,8,0,0,8,8,8,0,8,0,10/24/19 12:30,The main experiment item,yes,Sternbergtask SL.osexp,C:/Users/Sarah Linan/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/Sarah Linan/Desktop/subject-S3.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,706,5933,NA,706,NA,2,legacy,3,1024,2,48000,-16,experiment,3,odd,2,61959,58590,59750,1996,NA,59753,45664,2003,NA,63961,64668,60755,7938,63961,NA,Sternberg task,7,7793,9,yes,1024
70,70,848.2,848.2,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,9,9,9,0,0,9,9,0,0,9,9,9,0,9,0,10/24/19 12:30,The main experiment item,yes,Sternbergtask SL.osexp,C:/Users/Sarah Linan/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/Sarah Linan/Desktop/subject-S3.csv,legacy,4 3 1 7 9 8,Kafkaesque Koffka,3.2.8,1,y,0,right,right,NA,right,NA,689,5933,NA,689,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,4,68131,64747,65923,1996,NA,65926,45664,2003,NA,70135,70824,66928,7938,70135,NA,Sternberg task,7,8482,10,yes,1024
