acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_keyboard_response,correct_response,count_ISI,count_correctFeedback,count_experiment,count_experimentLoop,count_fixation,count_incorrectFeedback,count_instruction1,count_instructions2,count_keyboard_response,count_logger,count_memorySet,count_memorySet_1,count_practiceLoop,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_incorrectFeedback,response_instruction1,response_instructions2,response_keyboard_response,response_thankYou,response_time,response_time_incorrectFeedback,response_time_instruction1,response_time_instructions2,response_time_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_correctFeedback,time_experiment,time_experimentLoop,time_fixation,time_incorrectFeedback,time_instruction1,time_instructions2,time_keyboard_response,time_logger,time_memorySet,time_memorySet_1,time_practiceLoop,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,751,751,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun Oct 20 20:49:33 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,no,768,legacy,0,0,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,1 5 2 9,Kafkaesque Koffka,3.2.8,2,y,0,left,NA,right,NA,left,NA,751,NA,520589,NA,751,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,5,528621,NA,5284,NA,526364,NA,5350,NA,530647,531401,526335,527392,525956,530647,NA,Sternberg task,1,751,1,yes,1024
100,100,624.5,624.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,Sun Oct 20 20:49:33 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,no,768,legacy,1,1,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.8,0,n,0,right,NA,right,NA,right,NA,498,NA,520589,NA,498,NA,2,legacy,3,1024,2,48000,-16,experiment,1,odd,2,535370,531716,5284,NA,533114,NA,5350,NA,537400,537901,533084,534142,525956,537399,NA,Sternberg task,2,1249,2,yes,1024
100,100,565,565,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,2,2,0,0,2,2,0,0,2,2,2,2,0,2,0,Sun Oct 20 20:49:33 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,no,768,legacy,2,2,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,4 8,Kafkaesque Koffka,3.2.8,1,y,0,left,NA,right,NA,left,NA,446,NA,520589,NA,446,NA,2,legacy,2,1024,2,48000,-16,experiment,1,odd,4,541545,537940,5284,NA,539291,NA,5350,NA,543573,544022,539265,540318,525956,543573,NA,Sternberg task,3,1695,3,yes,1024
75,75,568,568,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,3,3,0,0,3,3,0,0,3,3,3,3,0,3,0,Sun Oct 20 20:49:33 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,no,768,legacy,3,3,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.8,4,y,0,right,NA,right,NA,right,NA,577,NA,520589,NA,577,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,8,547671,544057,5284,NA,545419,NA,5350,NA,549698,550278,545391,546445,525956,549698,NA,Sternberg task,3,2272,4,yes,1024
80,80,699.4,699.4,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,4,4,0,0,4,4,0,0,4,4,4,4,0,4,0,Sun Oct 20 20:49:33 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,no,768,legacy,4,4,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,right,NA,right,NA,1225,132,520589,NA,1225,NA,2,legacy,1,1024,2,48000,-16,experiment,1,odd,3,553079,544057,5284,NA,550824,550315,5350,NA,555106,556334,550796,551852,525956,555105,NA,Sternberg task,4,3497,5,yes,1024
83.33333333,83.33333333,675.8333333,675.8333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,5,5,0,0,5,5,0,0,5,5,5,5,0,5,0,Sun Oct 20 20:49:33 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,no,768,legacy,5,5,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,2 9 4,Kafkaesque Koffka,3.2.8,3,y,0,left,left,right,NA,left,NA,558,132,520589,NA,558,NA,2,legacy,3,1024,2,48000,-16,experiment,1,odd,4,559986,556370,5284,NA,557733,550315,5350,NA,562013,562575,557700,558759,525956,562013,NA,Sternberg task,5,4055,6,yes,1024
85.71428571,85.71428571,666.4285714,666.4285714,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,6,6,0,0,6,6,0,0,6,6,6,6,0,6,0,Sun Oct 20 20:49:33 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,no,768,legacy,6,6,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,6,Kafkaesque Koffka,3.2.8,1,y,0,left,left,right,NA,left,NA,610,132,520589,NA,610,NA,2,legacy,1,1024,2,48000,-16,experiment,1,odd,6,566221,562610,5284,NA,563968,550315,5350,NA,568248,568862,563939,564994,525956,568248,NA,Sternberg task,6,4665,7,yes,1024
87.5,87.5,657.625,657.625,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,7,7,0,0,7,7,0,0,7,7,7,7,0,7,0,Sun Oct 20 20:49:33 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,no,768,legacy,7,7,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,9 6 7 4 5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,right,NA,right,NA,596,132,520589,NA,596,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,3,572511,568900,5284,NA,570258,550315,5350,NA,574541,575141,570226,571285,525956,574540,NA,Sternberg task,7,5261,8,yes,1024
88.88888889,88.88888889,667.1111111,667.1111111,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,8,8,0,0,8,8,0,0,8,8,8,8,0,8,0,Sun Oct 20 20:49:33 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,no,768,legacy,8,8,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,5 7 8 4 1 2,Kafkaesque Koffka,3.2.8,0,n,0,right,left,right,NA,right,NA,743,132,520589,NA,743,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,6,578787,575178,5284,NA,576535,550315,5350,NA,580813,581559,576505,577561,525956,580813,NA,Sternberg task,8,6004,9,yes,1024
90,90,660,660,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,9,9,0,0,9,9,0,0,9,9,9,9,0,9,0,Sun Oct 20 20:49:33 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,no,768,legacy,9,9,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,2 1,Kafkaesque Koffka,3.2.8,0,n,0,right,left,right,NA,right,NA,596,132,520589,NA,596,NA,2,legacy,2,1024,2,48000,-16,experiment,1,odd,5,585218,581607,5284,NA,582965,550315,5350,NA,587245,587845,582938,583992,525956,587245,NA,Sternberg task,9,6600,10,yes,1024
