acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_keyboard_response,correct_response,count_ISI,count_correctFeedback,count_experiment,count_experimentLoop,count_fixation,count_incorrectFeedback,count_instruction1,count_instructions2,count_keyboard_response,count_logger,count_memorySet,count_memorySet_1,count_practiceLoop,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instruction1,response_instructions2,response_keyboard_response,response_thankYou,response_time,response_time_instruction1,response_time_instructions2,response_time_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_correctFeedback,time_experiment,time_experimentLoop,time_fixation,time_incorrectFeedback,time_instruction1,time_instructions2,time_keyboard_response,time_logger,time_memorySet,time_memorySet_1,time_practiceLoop,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,775,775,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat Oct 26 21:08:59 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,0,/Users/Linzi/Desktop/LM-subject-2M26.csv,legacy,4 8,Kafkaesque Koffka,3.2.8,1,y,0,left,space,NA,left,NA,775,52940,NA,775,NA,2,legacy,2,1024,2,48000,-16,experiment,2,even,4,61630,NA,5441,NA,59376,NA,5477,NA,63657,64435,59349,60404,58436,63657,NA,Sternberg task,1,775,1,yes,1024
100,100,706,706,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,Sat Oct 26 21:08:59 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,1,/Users/Linzi/Desktop/LM-subject-2M26.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.8,4,y,0,left,space,NA,left,NA,637,52940,NA,637,NA,2,legacy,5,1024,2,48000,-16,experiment,2,even,8,68222,64633,5441,NA,65968,NA,5477,NA,70248,70888,65943,66995,58436,70248,NA,Sternberg task,2,1412,2,yes,1024
100,100,693.6666667,693.6666667,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,2,2,0,0,2,2,0,0,2,2,2,2,0,2,0,Sat Oct 26 21:08:59 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,2,/Users/Linzi/Desktop/LM-subject-2M26.csv,legacy,9 6 7 4 5,Kafkaesque Koffka,3.2.8,0,n,0,right,space,NA,right,NA,669,52940,NA,669,NA,2,legacy,5,1024,2,48000,-16,experiment,2,even,3,74479,70919,5441,NA,72228,NA,5477,NA,76506,77179,72202,73254,58436,76505,NA,Sternberg task,3,2081,3,yes,1024
100,100,740.25,740.25,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,3,3,0,0,3,3,0,0,3,3,3,3,0,3,0,Sat Oct 26 21:08:59 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,3,3,/Users/Linzi/Desktop/LM-subject-2M26.csv,legacy,2 9 4,Kafkaesque Koffka,3.2.8,3,y,0,left,space,NA,left,NA,880,52940,NA,880,NA,2,legacy,3,1024,2,48000,-16,experiment,2,even,4,80776,77211,5441,NA,78524,NA,5477,NA,82802,83685,78497,79550,58436,82802,NA,Sternberg task,4,2961,4,yes,1024
80,80,735.8,735.8,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,4,4,0,0,4,4,0,0,4,4,4,4,0,4,0,Sat Oct 26 21:08:59 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,4,4,/Users/Linzi/Desktop/LM-subject-2M26.csv,legacy,6,Kafkaesque Koffka,3.2.8,1,y,0,right,space,NA,right,NA,718,52940,NA,718,NA,2,legacy,1,1024,2,48000,-16,experiment,2,even,6,87274,83717,5441,NA,85021,NA,5477,NA,89301,90022,84996,86048,58436,89301,NA,Sternberg task,4,3679,5,yes,1024
83.33333333,83.33333333,753.5,753.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,5,5,0,0,5,5,0,0,5,5,5,5,0,5,0,Sat Oct 26 21:08:59 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,5,5,/Users/Linzi/Desktop/LM-subject-2M26.csv,legacy,1 5 2 9,Kafkaesque Koffka,3.2.8,2,y,0,left,space,NA,left,NA,842,52940,NA,842,NA,2,legacy,4,1024,2,48000,-16,experiment,2,even,5,93613,83717,5441,NA,91362,90054,5477,NA,95641,96486,91335,92388,58436,95640,NA,Sternberg task,5,4521,6,yes,1024
85.71428571,85.71428571,756.8571429,756.8571429,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,6,6,0,0,6,6,0,0,6,6,6,6,0,6,0,Sat Oct 26 21:08:59 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,6,6,/Users/Linzi/Desktop/LM-subject-2M26.csv,legacy,3 1 9 4,Kafkaesque Koffka,3.2.8,0,n,0,right,space,NA,right,NA,777,52940,NA,777,NA,2,legacy,4,1024,2,48000,-16,experiment,2,even,6,100077,96517,5441,NA,97825,90054,5477,NA,102105,102885,97798,98851,58436,102105,NA,Sternberg task,6,5298,7,yes,1024
87.5,87.5,779.375,779.375,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,7,7,0,0,7,7,0,0,7,7,7,7,0,7,0,Sat Oct 26 21:08:59 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,7,7,/Users/Linzi/Desktop/LM-subject-2M26.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.8,0,n,0,right,space,NA,right,NA,937,52940,NA,937,NA,2,legacy,3,1024,2,48000,-16,experiment,2,even,2,106476,102916,5441,NA,104223,90054,5477,NA,108502,109442,104197,105249,58436,108501,NA,Sternberg task,7,6235,8,yes,1024
88.88888889,88.88888889,762.1111111,762.1111111,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,8,8,0,0,8,8,0,0,8,8,8,8,0,8,0,Sat Oct 26 21:08:59 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,8,8,/Users/Linzi/Desktop/LM-subject-2M26.csv,legacy,4 3 1 7 9 8,Kafkaesque Koffka,3.2.8,1,y,0,left,space,NA,left,NA,624,52940,NA,624,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,4,113034,109473,5441,NA,110782,90054,5477,NA,115061,115688,110756,111808,58436,115060,NA,Sternberg task,8,6859,9,yes,1024
90,90,747.7,747.7,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,9,9,0,0,9,9,0,0,9,9,9,9,0,9,0,Sat Oct 26 21:08:59 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,9,9,/Users/Linzi/Desktop/LM-subject-2M26.csv,legacy,5,Kafkaesque Koffka,3.2.8,0,n,0,right,space,NA,right,NA,618,52940,NA,618,NA,2,legacy,1,1024,2,48000,-16,experiment,2,even,3,119275,115721,5441,NA,117023,90054,5477,NA,121301,121922,116998,118049,58436,121301,NA,Sternberg task,9,7477,10,yes,1024
