acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instructions1,correct_new_keyboard_response,correct_response,count_ISI,count_correctFeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_incorrectFeedback,count_instructions1,count_instructions2,count_logger,count_memorySet,count_new_keyboard_response,count_practiceLoop,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instructions1,response_instructions2,response_new_keyboard_response,response_thankYou,response_time,response_time_instructions1,response_time_instructions2,response_time_new_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_correctFeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_incorrectFeedback,time_instructions1,time_instructions2,time_logger,time_memorySet,time_new_keyboard_response,time_practiceLoop,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,795,795,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/14/19 14:04,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-2.csv,legacy,4 3 1 7 9 8,Kafkaesque Koffka,3.2.8,1,y,0,left,left,NA,left,NA,795,410332,NA,795,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,4,415259,NA,413055,2207,NA,413057,NA,2213,NA,418056,414058,417260,412546,417260,NA,Sternberg task,1,795,1,yes,1024
100,100,758,758,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,10/14/19 14:04,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-2.csv,legacy,4 8,Kafkaesque Koffka,3.2.8,1,y,0,left,left,NA,left,NA,721,410332,NA,721,NA,2,legacy,2,1024,2,48000,-16,experiment,2,even,4,421415,418130,419211,2207,NA,419213,NA,2213,NA,424137,420214,423416,412546,423416,NA,Sternberg task,2,1516,2,yes,1024
66.66666667,66.66666667,1172,1172,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,2,2,2,0,0,2,2,0,0,2,2,2,0,2,0,10/14/19 14:04,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-2.csv,legacy,5 7 8 4 1 2,Kafkaesque Koffka,3.2.8,0,n,0,None,left,NA,None,NA,2000,410332,NA,2000,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,6,427425,424145,425220,2207,NA,425222,NA,2213,NA,431426,426223,429426,412546,429426,NA,Sternberg task,2,3516,3,yes,1024
75,75,1265.25,1265.25,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,3,3,3,0,0,3,3,0,0,3,3,3,0,3,0,10/14/19 14:04,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-2.csv,legacy,6,Kafkaesque Koffka,3.2.8,1,y,0,left,left,NA,left,NA,1545,410332,NA,1545,NA,2,legacy,1,1024,2,48000,-16,experiment,2,even,6,434711,424145,432506,2207,NA,432508,431434,2213,NA,438257,433509,436712,412546,436712,NA,Sternberg task,3,5061,4,yes,1024
60,60,1290.4,1290.4,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,4,4,4,0,0,4,4,0,0,4,4,4,0,4,0,10/14/19 14:04,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-2.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.8,0,n,0,left,left,NA,left,NA,1391,410332,NA,1391,NA,2,legacy,3,1024,2,48000,-16,experiment,2,even,2,441538,438263,439334,2207,NA,439336,431434,2213,NA,444931,440337,443539,412546,443539,NA,Sternberg task,3,6452,5,yes,1024
50,50,1209.833333,1209.833333,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,5,5,5,0,0,5,5,0,0,5,5,5,0,5,0,10/14/19 14:04,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-2.csv,legacy,2 1,Kafkaesque Koffka,3.2.8,0,n,0,left,left,NA,left,NA,807,410332,NA,807,NA,2,legacy,2,1024,2,48000,-16,experiment,2,even,5,448211,438263,446007,2207,NA,446009,444938,2213,NA,451019,447010,450212,412546,450212,NA,Sternberg task,3,7259,6,yes,1024
57.14285714,57.14285714,1198,1198,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,6,6,6,0,0,6,6,0,0,6,6,6,0,6,0,10/14/19 14:04,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-2.csv,legacy,9 6 7 4 5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,1127,410332,NA,1127,NA,2,legacy,5,1024,2,48000,-16,experiment,2,even,3,454300,438263,452096,2207,NA,452098,451027,2213,NA,457429,453099,456301,412546,456301,NA,Sternberg task,4,8386,7,yes,1024
62.5,62.5,1183.375,1183.375,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,7,7,7,0,0,7,7,0,0,7,7,7,0,7,0,10/14/19 14:04,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-2.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.8,4,y,0,left,left,NA,left,NA,1081,410332,NA,1081,NA,2,legacy,5,1024,2,48000,-16,experiment,2,even,8,460709,457436,458506,2207,NA,458507,451027,2213,NA,463791,459508,462710,412546,462710,NA,Sternberg task,5,9467,8,yes,1024
66.66666667,66.66666667,1197.444444,1197.444444,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,8,8,8,0,0,8,8,0,0,8,8,8,0,8,0,10/14/19 14:04,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-2.csv,legacy,3 1 9 4,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,1310,410332,NA,1310,NA,2,legacy,4,1024,2,48000,-16,experiment,2,even,6,467069,463795,464866,2207,NA,464867,451027,2213,NA,470380,465868,469070,412546,469070,NA,Sternberg task,6,10777,9,yes,1024
70,70,1184,1184,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,9,9,9,0,0,9,9,0,0,9,9,9,0,9,0,10/14/19 14:04,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-2.csv,legacy,5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,1063,410332,NA,1063,NA,2,legacy,1,1024,2,48000,-16,experiment,2,even,3,473664,470387,471460,2207,NA,471462,451027,2213,NA,476730,472463,475667,412546,475666,NA,Sternberg task,7,11840,10,yes,1024
